year,bula_h,migback,plh0188,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Berlin,No migration background,Agree completely,0.11420,32,283,0.07707,0.15132
1990,Berlin,No migration background,Agree,0.39901,111,283,0.34185,0.45616
1990,Berlin,No migration background,Disagree,0.37082,107,283,0.31445,0.42720
1990,Berlin,No migration background,Disagree completely,0.11598,33,283,0.07860,0.15335
1990,Brandenburg,No migration background,Agree completely,0.18453,129,707,0.15592,0.21315
1990,Brandenburg,No migration background,Agree,0.39732,278,707,0.36122,0.43341
1990,Brandenburg,No migration background,Disagree,0.31423,227,707,0.27999,0.34847
1990,Brandenburg,No migration background,Disagree completely,0.10392,73,707,0.08141,0.12643
1990,Mecklenburg-Western Pomerania,No migration background,Agree completely,0.16730,77,494,0.13436,0.20025
1990,Mecklenburg-Western Pomerania,No migration background,Agree,0.38953,197,494,0.34648,0.43257
1990,Mecklenburg-Western Pomerania,No migration background,Disagree,0.36164,176,494,0.31923,0.40405
1990,Mecklenburg-Western Pomerania,No migration background,Disagree completely,0.08153,44,494,0.05737,0.10569
1990,Saxony,No migration background,Agree completely,0.19066,246,1291,0.16922,0.21210
1990,Saxony,No migration background,Agree,0.46831,603,1291,0.44108,0.49554
1990,Saxony,No migration background,Disagree,0.28280,372,1291,0.25822,0.30737
1990,Saxony,No migration background,Disagree completely,0.05823,70,1291,0.04545,0.07101
1990,Saxony-Anhalt,No migration background,Agree completely,0.16182,122,772,0.13583,0.18782
1990,Saxony-Anhalt,No migration background,Agree,0.47640,364,772,0.44114,0.51165
1990,Saxony-Anhalt,No migration background,Disagree,0.29547,237,772,0.26326,0.32767
1990,Saxony-Anhalt,No migration background,Disagree completely,0.06631,49,772,0.04875,0.08388
1990,Thuringa,No migration background,Agree completely,0.21920,154,714,0.18883,0.24956
1990,Thuringa,No migration background,Agree,0.45199,329,714,0.41545,0.48852
1990,Thuringa,No migration background,Disagree,0.25512,184,714,0.22312,0.28712
1990,Thuringa,No migration background,Disagree completely,0.07369,47,714,0.05452,0.09287
1991,Berlin,No migration background,Agree,0.35874,98,230,0.29661,0.42086
1991,Berlin,No migration background,Disagree,0.37466,95,230,0.31197,0.43736
1991,Berlin,No migration background,Disagree completely,0.14877,37,230,0.10268,0.19486
1991,Brandenburg,No migration background,Agree completely,0.14121,101,657,0.11456,0.16786
1991,Brandenburg,No migration background,Agree,0.37178,249,657,0.33480,0.40876
1991,Brandenburg,No migration background,Disagree,0.36783,228,657,0.33093,0.40473
1991,Brandenburg,No migration background,Disagree completely,0.11918,79,657,0.09439,0.14397
1991,Mecklenburg-Western Pomerania,No migration background,Agree completely,0.12319,55,454,0.09293,0.15346
1991,Mecklenburg-Western Pomerania,No migration background,Agree,0.38216,179,454,0.33741,0.42691
1991,Mecklenburg-Western Pomerania,No migration background,Disagree,0.36712,166,454,0.32273,0.41151
1991,Mecklenburg-Western Pomerania,No migration background,Disagree completely,0.12753,54,454,0.09681,0.15825
1991,Saxony,No migration background,Agree completely,0.14446,177,1183,0.12442,0.16451
1991,Saxony,No migration background,Agree,0.42919,510,1183,0.40098,0.45741
1991,Saxony,No migration background,Disagree,0.32670,390,1183,0.29996,0.35344
1991,Saxony,No migration background,Disagree completely,0.09964,106,1183,0.08257,0.11672
1991,Saxony-Anhalt,No migration background,Agree completely,0.18129,134,757,0.15383,0.20876
1991,Saxony-Anhalt,No migration background,Agree,0.43205,317,757,0.39674,0.46736
1991,Saxony-Anhalt,No migration background,Disagree,0.30023,237,757,0.26756,0.33290
1991,Saxony-Anhalt,No migration background,Disagree completely,0.08643,69,757,0.06640,0.10646
1991,Thuringa,No migration background,Agree completely,0.13617,89,667,0.11012,0.16222
1991,Thuringa,No migration background,Agree,0.43268,298,667,0.39505,0.47030
1991,Thuringa,No migration background,Disagree,0.33672,223,667,0.30082,0.37261
1991,Thuringa,No migration background,Disagree completely,0.09444,57,667,0.07223,0.11665
1992,Schleswig-Holstein,No migration background,Agree completely,0.18424,49,220,0.13290,0.23559
1992,Schleswig-Holstein,No migration background,Agree,0.47925,110,220,0.41308,0.54542
1992,Schleswig-Holstein,No migration background,Disagree,0.28406,61,220,0.22433,0.34378
