"plh0188","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","kein Migrationshintergrund","7","0.234370803511391","0.103096690342667","0.365644916680114"
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","kein Migrationshintergrund","317","0.201631563253129","0.181885640322746","0.221377486183513"
"Stimmt ganz u.gar","1990","Hauptschule","direkter Migrationshintergrund","13","","",""
"Stimmt ganz u.gar","1990","Hauptschule","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar","1990","Realschule","kein Migrationshintergrund","291","","",""
"Stimmt ganz u.gar","1990","Realschule","direkter Migrationshintergrund","2","","",""
"Stimmt ganz u.gar","1990","Realschule","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar","1990","(Fach-)Abitur","kein Migrationshintergrund","24","","",""
"Stimmt ganz u.gar","1990","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Stimmt ganz u.gar","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar","1990","AkademikerIn","kein Migrationshintergrund","119","","",""
"Stimmt ganz u.gar","1990","AkademikerIn","direkter Migrationshintergrund","4","0.139581881849082","0.0263767437881021","0.252787019910061"
"Stimmt ganz u.gar","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher","1990","(noch) kein Abschluss","kein Migrationshintergrund","21","","",""
"Stimmt eher","1990","(noch) kein Abschluss","direkter Migrationshintergrund","4","1","1","1"
"Stimmt eher","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Stimmt eher","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher","1990","Hauptschule","kein Migrationshintergrund","682","0.427502011467975","0.403154613005705","0.451849409930245"
"Stimmt eher","1990","Hauptschule","direkter Migrationshintergrund","42","0.517826427027733","0.408330767260719","0.627322086794747"
"Stimmt eher","1990","Hauptschule","indirekter Migrationshintergrund","1","","",""
"Stimmt eher","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher","1990","Realschule","kein Migrationshintergrund","724","0.470467524469747","0.445579239301885","0.495355809637609"
"Stimmt eher","1990","Realschule","direkter Migrationshintergrund","10","","",""
"Stimmt eher","1990","Realschule","indirekter Migrationshintergrund","","","",""
"Stimmt eher","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher","1990","(Fach-)Abitur","kein Migrationshintergrund","51","0.418722007867839","0.332235588219837","0.505208427515841"
"Stimmt eher","1990","(Fach-)Abitur","direkter Migrationshintergrund","2","","",""
"Stimmt eher","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Stimmt eher","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher","1990","AkademikerIn","kein Migrationshintergrund","401","0.423012752770412","0.391646583770056","0.454378921770768"
"Stimmt eher","1990","AkademikerIn","direkter Migrationshintergrund","19","","",""
"Stimmt eher","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Stimmt eher","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher nicht","1990","(noch) kein Abschluss","kein Migrationshintergrund","9","0.202131908351362","0.0776801371066483","0.326583679596076"
"Stimmt eher nicht","1990","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Stimmt eher nicht","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Stimmt eher nicht","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher nicht","1990","Hauptschule","kein Migrationshintergrund","471","0.291436170597013","0.269071746726443","0.313800594467582"
"Stimmt eher nicht","1990","Hauptschule","direkter Migrationshintergrund","21","","",""
"Stimmt eher nicht","1990","Hauptschule","indirekter Migrationshintergrund","","","",""
"Stimmt eher nicht","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher nicht","1990","Realschule","kein Migrationshintergrund","430","0.276778693239682","0.254469401511002","0.299087984968362"
"Stimmt eher nicht","1990","Realschule","direkter Migrationshintergrund","5","0.265389773048456","0.0554985844546128","0.475280961642299"
"Stimmt eher nicht","1990","Realschule","indirekter Migrationshintergrund","1","","",""
"Stimmt eher nicht","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher nicht","1990","(Fach-)Abitur","kein Migrationshintergrund","47","0.362326161069351","0.278062130090277","0.446590192048424"
"Stimmt eher nicht","1990","(Fach-)Abitur","direkter Migrationshintergrund","2","","",""
"Stimmt eher nicht","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Stimmt eher nicht","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher nicht","1990","AkademikerIn","kein Migrationshintergrund","341","0.355967351907928","0.325568256076566","0.386366447739291"
"Stimmt eher nicht","1990","AkademikerIn","direkter Migrationshintergrund","11","","",""
"Stimmt eher nicht","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Stimmt eher nicht","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar nicht","1990","(noch) kein Abschluss","kein Migrationshintergrund","3","","",""
"Stimmt ganz u.gar nicht","1990","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Stimmt ganz u.gar nicht","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar nicht","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar nicht","1990","Hauptschule","kein Migrationshintergrund","116","","",""
"Stimmt ganz u.gar nicht","1990","Hauptschule","direkter Migrationshintergrund","4","0.0616398514823053","0.00893887441841316","0.114340828546197"
"Stimmt ganz u.gar nicht","1990","Hauptschule","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar nicht","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar nicht","1990","Realschule","kein Migrationshintergrund","100","","",""
"Stimmt ganz u.gar nicht","1990","Realschule","direkter Migrationshintergrund","","","",""
"Stimmt ganz u.gar nicht","1990","Realschule","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar nicht","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar nicht","1990","(Fach-)Abitur","kein Migrationshintergrund","3","","",""
"Stimmt ganz u.gar nicht","1990","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Stimmt ganz u.gar nicht","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar nicht","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar nicht","1990","AkademikerIn","kein Migrationshintergrund","92","0.102087640761505","0.0828653474817792","0.12130993404123"
"Stimmt ganz u.gar nicht","1990","AkademikerIn","direkter Migrationshintergrund","2","","",""
"Stimmt ganz u.gar nicht","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar nicht","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar","1991","(noch) kein Abschluss","kein Migrationshintergrund","5","0.128172462738426","0.0355159940163404","0.220828931460512"
"Stimmt ganz u.gar","1991","(noch) kein Abschluss","direkter Migrationshintergrund","2","","",""
"Stimmt ganz u.gar","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar","1991","Hauptschule","kein Migrationshintergrund","214","","",""
"Stimmt ganz u.gar","1991","Hauptschule","direkter Migrationshintergrund","24","","",""
"Stimmt ganz u.gar","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar","1991","Realschule","kein Migrationshintergrund","239","","",""
"Stimmt ganz u.gar","1991","Realschule","direkter Migrationshintergrund","4","0.223863379801616","0.0313005523589172","0.416426207244315"
"Stimmt ganz u.gar","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar","1991","(Fach-)Abitur","kein Migrationshintergrund","23","","",""
"Stimmt ganz u.gar","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Stimmt ganz u.gar","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar","1991","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar","1991","AkademikerIn","kein Migrationshintergrund","111","","",""
"Stimmt ganz u.gar","1991","AkademikerIn","direkter Migrationshintergrund","1","","",""
"Stimmt ganz u.gar","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar","1991","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher","1991","(noch) kein Abschluss","kein Migrationshintergrund","27","","",""
"Stimmt eher","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Stimmt eher","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Stimmt eher","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher","1991","Hauptschule","kein Migrationshintergrund","551","0.388546793875918","0.363168264977051","0.413925322774785"
"Stimmt eher","1991","Hauptschule","direkter Migrationshintergrund","24","","",""
"Stimmt eher","1991","Hauptschule","indirekter Migrationshintergrund","1","","",""
"Stimmt eher","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher","1991","Realschule","kein Migrationshintergrund","667","0.44341823234991","0.418185051335796","0.468651413364023"
"Stimmt eher","1991","Realschule","direkter Migrationshintergrund","8","0.285600751686226","0.0769297955500597","0.494271707822393"
"Stimmt eher","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Stimmt eher","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher","1991","(Fach-)Abitur","kein Migrationshintergrund","54","0.471896394599304","0.381440253626012","0.562352535572597"
"Stimmt eher","1991","(Fach-)Abitur","direkter Migrationshintergrund","4","0.835228702494627","0.510061619664884","1.16039578532437"
"Stimmt eher","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Stimmt eher","1991","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher","1991","AkademikerIn","kein Migrationshintergrund","361","0.383713743970849","0.352273547292195","0.415153940649504"
"Stimmt eher","1991","AkademikerIn","direkter Migrationshintergrund","18","","",""
"Stimmt eher","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Stimmt eher","1991","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher nicht","1991","(noch) kein Abschluss","kein Migrationshintergrund","16","","",""
"Stimmt eher nicht","1991","(noch) kein Abschluss","direkter Migrationshintergrund","2","","",""
"Stimmt eher nicht","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Stimmt eher nicht","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher nicht","1991","Hauptschule","kein Migrationshintergrund","477","0.33874826535183","0.31410574533255","0.363390785371109"
"Stimmt eher nicht","1991","Hauptschule","direkter Migrationshintergrund","22","","",""
"Stimmt eher nicht","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Stimmt eher nicht","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher nicht","1991","Realschule","kein Migrationshintergrund","461","0.305511994254501","0.282115690590748","0.328908297918255"
"Stimmt eher nicht","1991","Realschule","direkter Migrationshintergrund","6","0.490535868512157","0.259593279863236","0.721478457161079"
"Stimmt eher nicht","1991","Realschule","indirekter Migrationshintergrund","1","","",""
"Stimmt eher nicht","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher nicht","1991","(Fach-)Abitur","kein Migrationshintergrund","31","0.262985845384007","0.183212232452834","0.342759458315179"
"Stimmt eher nicht","1991","(Fach-)Abitur","direkter Migrationshintergrund","1","","",""
"Stimmt eher nicht","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Stimmt eher nicht","1991","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt eher nicht","1991","AkademikerIn","kein Migrationshintergrund","355","0.40201652977987","0.370316703654195","0.433716355905546"
"Stimmt eher nicht","1991","AkademikerIn","direkter Migrationshintergrund","12","","",""
"Stimmt eher nicht","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Stimmt eher nicht","1991","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar nicht","1991","(noch) kein Abschluss","kein Migrationshintergrund","2","","",""
"Stimmt ganz u.gar nicht","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Stimmt ganz u.gar nicht","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar nicht","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar nicht","1991","Hauptschule","kein Migrationshintergrund","175","","",""
"Stimmt ganz u.gar nicht","1991","Hauptschule","direkter Migrationshintergrund","8","0.0921927127970931","0.0279911027872922","0.156394322806894"
"Stimmt ganz u.gar nicht","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar nicht","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar nicht","1991","Realschule","kein Migrationshintergrund","122","","",""
"Stimmt ganz u.gar nicht","1991","Realschule","direkter Migrationshintergrund","","","",""
"Stimmt ganz u.gar nicht","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Stimmt ganz u.gar nicht","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Stimmt ganz u.gar nicht","1991","(Fach-)Abitur","kein Migrationshintergrund","9","0.0726948720169569","0.0256493405559417","0.119740403477972"
