"plh0188","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Hamburg","","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Niedersachsen","","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Bremen","","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Hessen","","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Bayern","","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Saarland","","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Berlin","","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Brandenburg","3","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Mecklenburg-Vorpommern","1","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Sachsen","1","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Sachsen-Anhalt","2","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Thueringen","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","Schleswig-Holstein","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","Hamburg","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","Niedersachsen","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","Bremen","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","Nordrhein-Westfalen","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","Hessen","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","Rheinland-Pfalz,Saarland","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","Baden-Wuerttemberg","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","Bayern","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","Saarland","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","Berlin","8","0.128233220689708","0.0414349453716224","0.215031496007794"
"Stimmt ganz u.gar","1990","Hauptschule","Brandenburg","57","0.219549986778161","0.16989856213969","0.269201411416631"
"Stimmt ganz u.gar","1990","Hauptschule","Mecklenburg-Vorpommern","32","0.199609845628584","0.142012287056468","0.257207404200699"
"Stimmt ganz u.gar","1990","Hauptschule","Sachsen","105","","",""
"Stimmt ganz u.gar","1990","Hauptschule","Sachsen-Anhalt","55","0.178218924225998","0.136090672496672","0.220347175955324"
"Stimmt ganz u.gar","1990","Hauptschule","Thueringen","73","0.230368126956306","0.183495427886287","0.277240826026325"
"Stimmt ganz u.gar","1990","Realschule","Schleswig-Holstein","","","",""
"Stimmt ganz u.gar","1990","Realschule","Hamburg","","","",""
"Stimmt ganz u.gar","1990","Realschule","Niedersachsen","","","",""
"Stimmt ganz u.gar","1990","Realschule","Bremen","","","",""
"Stimmt ganz u.gar","1990","Realschule","Nordrhein-Westfalen","","","",""
"Stimmt ganz u.gar","1990","Realschule","Hessen","","","",""
"Stimmt ganz u.gar","1990","Realschule","Rheinland-Pfalz,Saarland","","","",""
"Stimmt ganz u.gar","1990","Realschule","Baden-Wuerttemberg","","","",""
"Stimmt ganz u.gar","1990","Realschule","Bayern","","","",""
"Stimmt ganz u.gar","1990","Realschule","Saarland","","","",""
"Stimmt ganz u.gar","1990","Realschule","Berlin","14","","",""
"Stimmt ganz u.gar","1990","Realschule","Brandenburg","51","0.20337628419071","0.1536799230052","0.25307264537622"
