"plh0188","year","age_gr","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Stimmt ganz u.gar","1990","17-34","Staedtischer Raum","91","0.170072286215045","0.138759448017232","0.201385124412857"
"Stimmt ganz u.gar","1990","17-34","Laendlicher Raum","188","0.173305786523146","0.150855817166711","0.195755755879582"
"Stimmt ganz u.gar","1990","35-65","Staedtischer Raum","133","0.176016775467085","0.14925625795372","0.20277729298045"
"Stimmt ganz u.gar","1990","35-65","Laendlicher Raum","266","0.175725365279153","0.156329140912864","0.195121589645443"
"Stimmt ganz u.gar","1990","66 +","Staedtischer Raum","18","","",""
"Stimmt ganz u.gar","1990","66 +","Laendlicher Raum","67","0.229309023405439","0.180925242650072","0.277692804160806"
"Stimmt eher","1990","17-34","Staedtischer Raum","265","0.482028631551658","0.440382485284475","0.523674777818841"
"Stimmt eher","1990","17-34","Laendlicher Raum","527","0.483076200199826","0.453437588525765","0.512714811873887"
"Stimmt eher","1990","35-65","Staedtischer Raum","322","0.409637834188504","0.375082302323666","0.444193366053342"
"Stimmt eher","1990","35-65","Laendlicher Raum","629","0.424941140068396","0.399747869964027","0.450134410172764"
"Stimmt eher","1990","66 +","Staedtischer Raum","63","0.499087835054989","0.411435726858672","0.586739943251307"
"Stimmt eher","1990","66 +","Laendlicher Raum","116","0.405134988859847","0.348633722636454","0.461636255083239"
"Stimmt eher nicht","1990","17-34","Staedtischer Raum","154","0.280700206578523","0.243249341038789","0.318151072118257"
"Stimmt eher nicht","1990","17-34","Laendlicher Raum","308","0.278432718631946","0.25184780082237","0.305017636441522"
"Stimmt eher nicht","1990","35-65","Staedtischer Raum","254","0.318677516105734","0.285935127038582","0.351419905172887"
"Stimmt eher nicht","1990","35-65","Laendlicher Raum","484","0.329905631316667","0.305943422275617","0.353867840357717"
"Stimmt eher nicht","1990","66 +","Staedtischer Raum","34","0.249261499326972","0.173427313165287","0.325095685488656"
"Stimmt eher nicht","1990","66 +","Laendlicher Raum","83","0.277903195754816","0.226345491136816","0.329460900372817"
"Stimmt ganz u.gar nicht","1990","17-34","Staedtischer Raum","43","0.0671988756547738","0.0463318255357868","0.0880659257737607"
"Stimmt ganz u.gar nicht","1990","17-34","Laendlicher Raum","69","0.065185294645081","0.0505441727600839","0.0798264165300782"
"Stimmt ganz u.gar nicht","1990","35-65","Staedtischer Raum","69","0.0956678742386761","0.0749995467615638","0.116336201715789"
"Stimmt ganz u.gar nicht","1990","35-65","Laendlicher Raum","100","0.0694278633357844","0.0564738026780542","0.0823819239935147"
"Stimmt ganz u.gar nicht","1990","66 +","Staedtischer Raum","10","","",""
"Stimmt ganz u.gar nicht","1990","66 +","Laendlicher Raum","24","","",""
"Stimmt ganz u.gar","1991","17-34","Staedtischer Raum","83","0.170349802636138","0.137063283757132","0.203636321515144"
"Stimmt ganz u.gar","1991","17-34","Laendlicher Raum","155","0.154868035094137","0.132556442957824","0.177179627230451"
"Stimmt ganz u.gar","1991","35-65","Staedtischer Raum","97","0.134635582025903","0.110092272348503","0.159178891703303"
"Stimmt ganz u.gar","1991","35-65","Laendlicher Raum","230","0.152135138745448","0.133585095311351","0.170685182179545"
"Stimmt ganz u.gar","1991","66 +","Staedtischer Raum","15","","",""
"Stimmt ganz u.gar","1991","66 +","Laendlicher Raum","36","0.138094529960853","0.0969431630601608","0.179245896861545"
"Stimmt eher","1991","17-34","Staedtischer Raum","237","0.480809967868227","0.436571512443651","0.525048423292802"
"Stimmt eher","1991","17-34","Laendlicher Raum","446","0.435669241397863","0.405089577001289","0.466248905794438"
"Stimmt eher","1991","35-65","Staedtischer Raum","279","0.369750503421335","0.335039727268872","0.404461279573798"
"Stimmt eher","1991","35-65","Laendlicher Raum","562","0.389250505208854","0.364067184535602","0.414433825882106"
"Stimmt eher","1991","66 +","Staedtischer Raum","43","0.351630567160473","0.263980905918121","0.439280228402825"
"Stimmt eher","1991","66 +","Laendlicher Raum","114","0.401944471139351","0.343462770497322","0.46042617178138"
"Stimmt eher nicht","1991","17-34","Staedtischer Raum","143","0.290414068282952","0.250220054727744","0.33060808183816"
"Stimmt eher nicht","1991","17-34","Laendlicher Raum","317","0.313329871700137","0.284723526039411","0.341936217360863"
"Stimmt eher nicht","1991","35-65","Staedtischer Raum","274","0.371239968826156","0.336500472994928","0.405979464657385"
"Stimmt eher nicht","1991","35-65","Laendlicher Raum","494","0.347841006086426","0.323241070028668","0.372440942144184"
"Stimmt eher nicht","1991","66 +","Staedtischer Raum","37","0.304718565220234","0.220224649088883","0.389212481351584"
"Stimmt eher nicht","1991","66 +","Laendlicher Raum","94","0.36069557773078","0.303417231263733","0.417973924197827"
"Stimmt ganz u.gar nicht","1991","17-34","Staedtischer Raum","27","","",""
"Stimmt ganz u.gar nicht","1991","17-34","Laendlicher Raum","92","0.0961328518078625","0.0779536162083552","0.11431208740737"
"Stimmt ganz u.gar nicht","1991","35-65","Staedtischer Raum","93","0.124373945726606","0.100645039060551","0.148102852392661"
"Stimmt ganz u.gar nicht","1991","35-65","Laendlicher Raum","154","0.110773349959272","0.0945630621837568","0.126983637734788"
"Stimmt ganz u.gar nicht","1991","66 +","Staedtischer Raum","19","","",""
"Stimmt ganz u.gar nicht","1991","66 +","Laendlicher Raum","26","","",""
"Stimmt ganz u.gar","1992","17-34","Staedtischer Raum","421","0.187524376097969","0.171603382812534","0.203445369383403"
"Stimmt ganz u.gar","1992","17-34","Laendlicher Raum","251","0.147279296716631","0.129676647306651","0.164881946126611"
"Stimmt ganz u.gar","1992","35-65","Staedtischer Raum","436","0.127604051822375","0.11635596154879","0.138852142095959"
"Stimmt ganz u.gar","1992","35-65","Laendlicher Raum","282","0.133880755328535","0.119625475813405","0.148136034843665"
"Stimmt ganz u.gar","1992","66 +","Staedtischer Raum","85","0.097247787957145","0.0776714749078217","0.116824101006468"
"Stimmt ganz u.gar","1992","66 +","Laendlicher Raum","62","0.117641028498525","0.0896242437062116","0.145657813290839"
