year,plh0188,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1990,Agree,0.44504995458673935,18165,0.43782276085709754,0.45227714831638116
1990,Disagree,0.30495004541326065,18165,0.29825488894496044,0.31164520188156086
1990,Agree completely,0.17688465031789283,18165,0.171335662207776,0.18243363842800966
1990,Disagree completely,0.07311534968210717,18165,0.0693295686060571,0.07690113075815724
1991,Agree,0.41448159730574935,17756,0.4072354625828088,0.4217277320286899
1991,Disagree,0.3343757517440462,17756,0.32743645501889146,0.34131504846920097
1991,Agree completely,0.1508299254269906,17756,0.1455658197182183,0.15609403113576292
1991,Disagree completely,0.10031272552321385,17756,0.09589389538652979,0.10473155565989792
1992,Agree,0.4706688596491228,17350,0.46324161402437747,0.47809610527386814
1992,Disagree,0.3146016081871345,17350,0.3076919217174761,0.3215112946567929
1992,Agree completely,0.14245248538011696,17350,0.1372516819017906,0.1476532888584433
1992,Disagree completely,0.07227704678362573,17350,0.0684238988580857,0.07613019470916577
1993,Agree,0.4273871661037765,16993,0.4199490608466699,0.43482527136088306
1993,Disagree,0.35976358612219833,16993,0.352547531198248,0.36697964104614866
1993,Agree completely,0.11022413263739637,16993,0.10551544697806259,0.11493281829673016
1993,Disagree completely,0.1026251151366288,16993,0.09806227948074366,0.10718795079251393
1995,Agree,0.5250416099258587,17246,0.5175885172100376,0.5324947026416798
1995,Disagree,0.28075351793009534,17246,0.2740467487942731,0.2874602870659176
1995,Agree completely,0.14502950522015434,17246,0.13977398602251537,0.15028502441779332
1995,Disagree completely,0.04917536692389166,17246,0.0459480924920776,0.05240264135570573
1996,Agree,0.49380912097208335,16862,0.486262748446762,0.5013554934974047
1996,Disagree,0.3142351764977313,16862,0.3072284279723482,0.32124192502311444
1996,Agree completely,0.1341998000461432,16862,0.12905478908740414,0.13934481100488227
1996,Disagree completely,0.057755902484042144,16862,0.05423477759682544,0.06127702737125885
1997,Agree,0.418102098340119,16487,0.41057288121218316,0.4256313154680549
1997,Disagree,0.39680551205762604,16487,0.38933753830842643,0.40427348580682565
1997,Disagree completely,0.09880989664891951,16487,0.09425484105568928,0.10336495224214974
1997,Agree completely,0.08628249295333543,16487,0.08199648899497838,0.09056849691169247
2008,Agree,0.47043541515120024,23673,0.4640771462140086,0.4767936840883919
2008,Disagree,0.35420347085108594,23673,0.34811085660192814,0.36029608510024375
2008,Agree completely,0.10791852852540788,23673,0.10396595743870508,0.11187109961211068
2008,Disagree completely,0.06744258547230593,23673,0.06424785431364975,0.07063731663096211
2013,Agree,0.5820736640408771,44486,0.577490311775696,0.5866570163060583
2013,Disagree,0.22503725782414308,44486,0.2211565404239872,0.22891797522429896
2013,Agree completely,0.1598360655737705,44486,0.1564306995370034,0.1632414316105376
2013,Disagree completely,0.03305301256120928,44486,0.031391700380684714,0.034714324741733846
2018,Agree,0.5322884751355174,43121,0.5275789813652582,0.5369979689057766
2018,Disagree,0.25045172440883023,43121,0.24636219366676573,0.2545412551508947
2018,Agree completely,0.16929845235289495,43121,0.16575879956501158,0.17283810514077833
2018,Disagree completely,0.047961348102757484,43121,0.04594444682695047,0.049978249378564495
