year,regtyp,rentown,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,No answer / don't know,Tenant,No,0.88980,40,40,0.79152,0.98808
1991,Urban regions,Owner,"Yes, Regularly",0.09783,113,1326,0.08183,0.11382
1991,Urban regions,Owner,"Yes, Occasionally",0.05824,57,1326,0.04563,0.07085
1991,Urban regions,Owner,No,0.84393,1156,1326,0.82439,0.86347
1991,Urban regions,Tenant,"Yes, Regularly",0.05209,83,2981,0.04411,0.06007
1991,Urban regions,Tenant,"Yes, Occasionally",0.03635,62,2981,0.02963,0.04307
1991,Urban regions,Tenant,No,0.91157,2836,2981,0.90137,0.92176
1991,Rural regions,Owner,No,0.92408,931,931,0.90706,0.94110
1991,Rural regions,Tenant,No,0.93621,1173,1173,0.92222,0.95020
1994,Urban regions,Owner,"Yes, Regularly",0.11397,116,1315,0.09678,0.13115
1994,Urban regions,Owner,"Yes, Occasionally",0.06016,65,1315,0.04731,0.07302
1994,Urban regions,Owner,No,0.82587,1134,1315,0.80537,0.84637
1994,Urban regions,Tenant,"Yes, Regularly",0.05362,88,2900,0.04542,0.06183
1994,Urban regions,Tenant,"Yes, Occasionally",0.03408,57,2900,0.02748,0.04069
1994,Urban regions,Tenant,No,0.91229,2755,2900,0.90199,0.92259
1994,Rural regions,Owner,"Yes, Regularly",0.04936,32,935,0.03547,0.06326
1994,Rural regions,Owner,No,0.89706,903,935,0.87757,0.91655
1994,Rural regions,Tenant,No,0.93697,1139,1139,0.92285,0.95109
1999,Urban regions,Owner,"Yes, Regularly",0.11621,138,1650,0.10074,0.13167
1999,Urban regions,Owner,"Yes, Occasionally",0.05787,76,1650,0.04660,0.06914
1999,Urban regions,Owner,No,0.82593,1436,1650,0.80762,0.84423
1999,Urban regions,Tenant,"Yes, Regularly",0.05225,101,3027,0.04432,0.06018
1999,Urban regions,Tenant,"Yes, Occasionally",0.03586,68,3027,0.02923,0.04248
1999,Urban regions,Tenant,No,0.91189,2858,3027,0.90179,0.92199
1999,Rural regions,Owner,"Yes, Regularly",0.06539,47,1192,0.05135,0.07944
1999,Rural regions,Owner,"Yes, Occasionally",0.04385,34,1192,0.03222,0.05548
1999,Rural regions,Owner,No,0.89075,1111,1192,0.87304,0.90847
1999,Rural regions,Tenant,No,0.96194,1198,1198,0.95110,0.97278
2000,Urban regions,Owner,"Yes, Regularly",0.11141,316,3467,0.10094,0.12189
2000,Urban regions,Owner,"Yes, Occasionally",0.05204,153,3467,0.04464,0.05943
2000,Urban regions,Owner,No,0.83655,2998,3467,0.82424,0.84886
2000,Urban regions,Tenant,"Yes, Regularly",0.04513,179,5045,0.03940,0.05086
2000,Urban regions,Tenant,"Yes, Occasionally",0.02599,102,5045,0.02160,0.03038
2000,Urban regions,Tenant,No,0.92888,4764,5045,0.92178,0.93597
2000,Rural regions,Owner,"Yes, Regularly",0.05540,92,2303,0.04606,0.06475
2000,Rural regions,Owner,"Yes, Occasionally",0.02960,51,2303,0.02268,0.03653
2000,Rural regions,Owner,No,0.91499,2160,2303,0.90360,0.92639
2000,Rural regions,Tenant,"Yes, Regularly",0.02461,37,1991,0.01780,0.03142
2000,Rural regions,Tenant,No,0.95909,1954,1991,0.95038,0.96779
2001,Urban regions,Owner,"Yes, Regularly",0.13221,336,3128,0.12033,0.14408
2001,Urban regions,Owner,"Yes, Occasionally",0.05513,150,3128,0.04713,0.06313
2001,Urban regions,Owner,No,0.81267,2642,3128,0.79899,0.82634
