year,hhtyp,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Single-person household,"Yes, Regularly",0.08881,93,1277,0.07320,0.10442
1991,Single-person household,"Yes, Occasionally",0.07018,76,1277,0.05617,0.08420
1991,Single-person household,No,0.84100,1108,1277,0.82094,0.86107
1991,Couple without children,"Yes, Regularly",0.05329,68,1621,0.04235,0.06422
1991,Couple without children,"Yes, Occasionally",0.03778,48,1621,0.02849,0.04706
1991,Couple without children,No,0.90894,1505,1621,0.89493,0.92295
1991,Single parent,No,0.93656,359,359,0.91131,0.96181
1991,Couple with children,"Yes, Regularly",0.03423,61,2972,0.02769,0.04076
1991,Couple with children,"Yes, Occasionally",0.01853,32,2972,0.01368,0.02338
1991,Couple with children,No,0.94724,2879,2972,0.93921,0.95528
1991,Multi-generational household,No,0.95148,147,147,0.91662,0.98633
1991,Other Combinations,No,0.93847,142,142,0.89880,0.97813
1994,Single-person household,"Yes, Regularly",0.08772,82,1323,0.07247,0.10297
1994,Single-person household,"Yes, Occasionally",0.07158,70,1323,0.05768,0.08547
1994,Single-person household,No,0.84070,1171,1323,0.82097,0.86043
1994,Couple without children,"Yes, Regularly",0.05775,70,1735,0.04677,0.06873
1994,Couple without children,"Yes, Occasionally",0.03682,44,1735,0.02796,0.04569
1994,Couple without children,No,0.90543,1621,1735,0.89166,0.91920
1994,Single parent,No,0.92418,331,331,0.89562,0.95274
1994,Couple with children,"Yes, Regularly",0.04481,75,2650,0.03693,0.05269
1994,Couple with children,"Yes, Occasionally",0.02363,42,2650,0.01785,0.02942
1994,Couple with children,No,0.93156,2533,2650,0.92194,0.94117
1994,Multi-generational household,No,0.86515,120,120,0.80379,0.92652
1994,Other Combinations,No,0.94247,156,156,0.90581,0.97913
1999,Single-person household,"Yes, Regularly",0.08680,105,1627,0.07312,0.10049
1999,Single-person household,"Yes, Occasionally",0.05859,74,1627,0.04718,0.07001
1999,Single-person household,No,0.85461,1448,1627,0.83747,0.87174
1999,Couple without children,"Yes, Regularly",0.06954,103,2141,0.05876,0.08032
1999,Couple without children,"Yes, Occasionally",0.03330,51,2141,0.02570,0.04090
1999,Couple without children,No,0.89716,1987,2141,0.88429,0.91003
1999,Single parent,No,0.93370,427,427,0.91007,0.95733
1999,Couple with children,"Yes, Regularly",0.04884,84,2716,0.04073,0.05695
1999,Couple with children,"Yes, Occasionally",0.01960,45,2716,0.01438,0.02481
1999,Couple with children,No,0.93156,2587,2716,0.92207,0.94106
1999,Multi-generational household,No,0.91208,92,92,0.85390,0.97027
1999,Other Combinations,No,0.88212,62,62,0.80119,0.96304
2000,Single-person household,"Yes, Regularly",0.08400,234,3229,0.07443,0.09357
2000,Single-person household,"Yes, Occasionally",0.04541,127,3229,0.03823,0.05259
2000,Single-person household,No,0.87059,2868,3229,0.85901,0.88216
2000,Couple without children,"Yes, Regularly",0.05640,194,3937,0.04920,0.06361
2000,Couple without children,"Yes, Occasionally",0.02859,100,3937,0.02339,0.03380
2000,Couple without children,No,0.91500,3643,3937,0.90629,0.92372
2000,Single parent,No,0.94536,719,719,0.92874,0.96198
