year,hhtyp,regtyp,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Urban regions,Yes,0.04179,46,1011,0.02945,0.05413
1996,Single-person household,Urban regions,No,0.95821,965,1011,0.94587,0.97055
1996,Single-person household,Rural regions,No,0.94345,401,401,0.92081,0.96608
1996,Couple without children,Urban regions,Yes,0.07428,95,1234,0.05965,0.08892
1996,Couple without children,Urban regions,No,0.92572,1139,1234,0.91108,0.94035
1996,Couple without children,Rural regions,Yes,0.09268,61,607,0.06959,0.11577
1996,Couple without children,Rural regions,No,0.90732,546,607,0.88423,0.93041
1996,Single parent,Urban regions,Yes,0.17082,43,260,0.12498,0.21666
1996,Single parent,Urban regions,No,0.82918,217,260,0.78334,0.87502
1996,Single parent,Rural regions,No,0.88814,114,114,0.83002,0.94625
1996,Couple with children,Urban regions,Yes,0.13568,233,1732,0.11955,0.15181
1996,Couple with children,Urban regions,No,0.86432,1499,1732,0.84819,0.88045
1996,Couple with children,Rural regions,Yes,0.15235,156,954,0.12953,0.17517
1996,Couple with children,Rural regions,No,0.84765,798,954,0.82483,0.87047
1996,Multi-generational household,Urban regions,No,0.86601,70,70,0.78563,0.94639
1996,Multi-generational household,Rural regions,No,0.79966,40,40,0.67404,0.92528
1996,Other Combinations,Urban regions,No,0.88461,83,83,0.81546,0.95377
1996,Other Combinations,Rural regions,No,0.88016,59,59,0.79658,0.96375
2001,Single-person household,Urban regions,Yes,0.04258,83,2062,0.03386,0.05130
2001,Single-person household,Urban regions,No,0.95742,1979,2062,0.94870,0.96614
2001,Single-person household,Rural regions,Yes,0.05596,51,864,0.04062,0.07129
2001,Single-person household,Rural regions,No,0.94404,813,864,0.92871,0.95938
2001,Couple without children,Urban regions,Yes,0.06490,156,2377,0.05499,0.07481
2001,Couple without children,Urban regions,No,0.93510,2221,2377,0.92519,0.94501
2001,Couple without children,Rural regions,Yes,0.06147,80,1212,0.04794,0.07499
2001,Couple without children,Rural regions,No,0.93853,1132,1212,0.92501,0.95206
2001,Single parent,Urban regions,Yes,0.06838,35,467,0.04546,0.09129
2001,Single parent,Urban regions,No,0.93162,432,467,0.90871,0.95454
2001,Single parent,Rural regions,No,0.92373,220,220,0.88858,0.95888
2001,Couple with children,Urban regions,Yes,0.09586,254,2689,0.08473,0.10699
2001,Couple with children,Urban regions,No,0.90414,2435,2689,0.89301,0.91527
2001,Couple with children,Rural regions,Yes,0.12368,200,1486,0.10694,0.14043
2001,Couple with children,Rural regions,No,0.87632,1286,1486,0.85957,0.89306
2001,Multi-generational household,Urban regions,No,0.93401,98,98,0.88460,0.98342
2001,Multi-generational household,Rural regions,No,0.83972,47,47,0.73370,0.94574
2001,Other Combinations,Urban regions,No,0.94104,77,77,0.88808,0.99400
2001,Other Combinations,Rural regions,No,0.83627,39,39,0.71862,0.95392
2006,Single-person household,Urban regions,Yes,0.02617,57,2260,0.01959,0.03276
2006,Single-person household,Urban regions,No,0.97383,2203,2260,0.96724,0.98041
2006,Single-person household,Rural regions,Yes,0.04432,42,1028,0.03174,0.05691
2006,Single-person household,Rural regions,No,0.95568,986,1028,0.94309,0.96826
2006,Couple without children,Urban regions,Yes,0.04667,125,2787,0.03884,0.05450
2006,Couple without children,Urban regions,No,0.95333,2662,2787,0.94550,0.96116
2006,Couple without children,Rural regions,Yes,0.05584,76,1371,0.04368,0.06800
2006,Couple without children,Rural regions,No,0.94416,1295,1371,0.93200,0.95632
2006,Single parent,Urban regions,Yes,0.07750,36,495,0.05392,0.10107
2006,Single parent,Urban regions,No,0.92250,459,495,0.89893,0.94608
2006,Single parent,Rural regions,No,0.94961,260,260,0.92297,0.97625
2006,Couple with children,Urban regions,Yes,0.06607,165,2499,0.05633,0.07581
2006,Couple with children,Urban regions,No,0.93393,2334,2499,0.92419,0.94367
2006,Couple with children,Rural regions,Yes,0.10624,138,1338,0.08972,0.12276
2006,Couple with children,Rural regions,No,0.89376,1200,1338,0.87724,0.91028
2006,Multi-generational household,Urban regions,No,0.87438,54,54,0.78516,0.96361
2006,Multi-generational household,Rural regions,No,0.91015,39,39,0.81922,1.00107
2006,Other Combinations,Urban regions,No,0.99450,65,65,0.97639,1.01262
2006,Other Combinations,Rural regions,No,0.89978,36,36,0.80030,0.99927
2011,Single-person household,Urban regions,Yes,0.02371,56,2389,0.01760,0.02981
2011,Single-person household,Urban regions,No,0.97460,2333,2389,0.96829,0.98091
2011,Single-person household,Rural regions,Yes,0.03486,38,1121,0.02411,0.04560
2011,Single-person household,Rural regions,No,0.96300,1083,1121,0.95195,0.97406
2011,Couple without children,Urban regions,Yes,0.03869,95,2772,0.03151,0.04587
2011,Couple without children,Urban regions,No,0.96128,2677,2772,0.95409,0.96846
2011,Couple without children,Rural regions,Yes,0.04113,66,1599,0.03139,0.05086
2011,Couple without children,Rural regions,No,0.95811,1533,1599,0.94828,0.96793
2011,Single parent,Urban regions,No,0.49710,495,495,0.45301,0.54119
2011,Single parent,Rural regions,No,0.50957,253,253,0.44785,0.57129
2011,Couple with children,Urban regions,Yes,0.03954,111,2087,0.03117,0.04790
2011,Couple with children,Urban regions,No,0.75583,1976,2087,0.73740,0.77427
2011,Couple with children,Rural regions,Yes,0.05209,78,1153,0.03926,0.06493
2011,Couple with children,Rural regions,No,0.74025,1075,1153,0.71493,0.76557
2011,Multi-generational household,Urban regions,No,0.86607,44,44,0.76427,0.96787
2011,Multi-generational household,Rural regions,No,0.72859,35,35,0.57911,0.87807
2011,Other Combinations,Urban regions,No,0.92854,59,59,0.86224,0.99483
2011,Other Combinations,Rural regions,No,0.75637,32,32,0.60525,0.90748
2016,Single-person household,Urban regions,Yes,0.01675,34,2319,0.01152,0.02197
2016,Single-person household,Urban regions,No,0.97691,2285,2319,0.97080,0.98302
2016,Single-person household,Rural regions,No,0.96299,1039,1039,0.95151,0.97448
2016,Couple without children,Urban regions,Yes,0.02522,59,2568,0.01915,0.03128
2016,Couple without children,Urban regions,No,0.97387,2509,2568,0.96770,0.98004
2016,Couple without children,Rural regions,Yes,0.02711,48,1529,0.01897,0.03526
2016,Couple without children,Rural regions,No,0.97236,1481,1529,0.96414,0.98058
2016,Single parent,Urban regions,Yes,0.03782,41,992,0.02594,0.04970
2016,Single parent,Urban regions,No,0.95537,951,992,0.94251,0.96822
2016,Single parent,Rural regions,No,0.96156,513,513,0.94491,0.97821
2016,Couple with children,Urban regions,Yes,0.03680,117,3297,0.03038,0.04323
2016,Couple with children,Urban regions,No,0.95565,3180,3297,0.94862,0.96268
2016,Couple with children,Rural regions,Yes,0.04049,82,1693,0.03110,0.04988
2016,Couple with children,Rural regions,No,0.95188,1611,1693,0.94168,0.96208
2016,Multi-generational household,Urban regions,No,0.96597,61,61,0.92009,1.01185
2016,Multi-generational household,Rural regions,No,0.98916,43,43,0.95785,1.02048
2016,Other Combinations,Urban regions,No,0.91267,129,129,0.86376,0.96158
2016,Other Combinations,Rural regions,No,0.91214,54,54,0.83592,0.98836
2021,Single-person household,Urban regions,No,0.97729,2224,2224,0.97110,0.98348
2021,Single-person household,Rural regions,No,0.97109,920,920,0.96026,0.98192
2021,Couple without children,Urban regions,Yes,0.01547,31,2217,0.01033,0.02061
2021,Couple without children,Urban regions,No,0.98243,2186,2217,0.97696,0.98790
2021,Couple without children,Rural regions,Yes,0.04454,44,1197,0.03285,0.05623
2021,Couple without children,Rural regions,No,0.95351,1153,1197,0.94158,0.96545
2021,Single parent,Urban regions,No,0.95407,556,556,0.93666,0.97149
2021,Single parent,Rural regions,No,0.97985,317,317,0.96435,0.99534
2021,Couple with children,Urban regions,Yes,0.02794,61,2101,0.02089,0.03499
2021,Couple with children,Urban regions,No,0.94838,2040,2101,0.93892,0.95785
2021,Couple with children,Rural regions,Yes,0.02660,50,1061,0.01691,0.03629
2021,Couple with children,Rural regions,No,0.95233,1011,1061,0.93951,0.96516
2021,Multi-generational household,Urban regions,No,0.95580,46,46,0.89574,1.01585
