,Unnamed: 0,year,hhtyp,quintil_oecd_hh,pet_bird,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Single-person household,1st Quintile,No,1.0,406,6220,0.93251,1.06551
1,1,1996,Single-person household,2nd Quintile,No,1.0,276,6220,0.94272,1.06947
2,2,1996,Single-person household,3rd Quintile,No,1.0,258,6220,0.91921,1.07854
3,3,1996,Single-person household,4th Quintile,No,1.0,238,6220,0.92709,1.07348
4,4,1996,Single-person household,5th Quintile,No,1.0,185,6220,0.93152,1.07169
5,5,1996,Couple without children,1st Quintile,No,1.0,209,6220,0.90363,1.10145
6,6,1996,Couple without children,2nd Quintile,No,1.0,299,6220,0.93353,1.07956
7,7,1996,Couple without children,3rd Quintile,Yes,0.11825,46,6220,0.09198,0.14638
8,8,1996,Couple without children,3rd Quintile,No,0.88175,343,6220,0.82304,0.94374
9,9,1996,Couple without children,4th Quintile,Yes,0.07969,39,6220,0.06524,0.09285
10,10,1996,Couple without children,4th Quintile,No,0.92031,388,6220,0.86005,0.98982
11,11,1996,Couple without children,5th Quintile,No,1.0,445,6220,0.94148,1.05634
12,12,1996,Single parent,1st Quintile,No,1.0,146,6220,0.87239,1.12944
13,13,1996,Single parent,2nd Quintile,No,1.0,60,6220,0.81895,1.1842
14,14,1996,Single parent,3rd Quintile,No,1.0,50,6220,0.86288,1.17773
15,15,1996,Single parent,4th Quintile,No,1.0,42,6220,0.83352,1.17821
16,16,1996,Single parent,5th Quintile,No,1.0,33,6220,0.82894,1.20652
17,17,1996,Couple with children,1st Quintile,Yes,0.1523,75,6220,0.13263,0.17507
18,18,1996,Couple with children,1st Quintile,No,0.8477,426,6220,0.77607,0.93384
19,19,1996,Couple with children,2nd Quintile,Yes,0.16152,110,6220,0.14167,0.18832
20,20,1996,Couple with children,2nd Quintile,No,0.83848,588,6220,0.78881,0.89492
21,21,1996,Couple with children,3rd Quintile,Yes,0.17163,110,6220,0.14465,0.196
22,22,1996,Couple with children,3rd Quintile,No,0.82837,501,6220,0.77946,0.88683
23,23,1996,Couple with children,4th Quintile,Yes,0.11216,57,6220,0.09254,0.13372
24,24,1996,Couple with children,4th Quintile,No,0.88784,449,6220,0.82916,0.95244
25,25,1996,Couple with children,5th Quintile,Yes,0.10116,37,6220,0.08356,0.11996
26,26,1996,Couple with children,5th Quintile,No,0.89884,333,6220,0.83816,0.96958
27,27,1996,Other Combinations,3rd Quintile,No,1.0,31,6220,0.83569,1.19717
28,28,1996,Other Combinations,4th Quintile,No,1.0,40,6220,0.80451,1.19868
29,29,2001,Single-person household,1st Quintile,Yes,0.05676,50,11369,0.04942,0.0659
30,30,2001,Single-person household,1st Quintile,No,0.94324,783,11369,0.91262,0.97336
31,31,2001,Single-person household,2nd Quintile,Yes,0.05946,36,11369,0.05144,0.06908
32,32,2001,Single-person household,2nd Quintile,No,0.94054,588,11369,0.90839,0.97132
33,33,2001,Single-person household,3rd Quintile,No,1.0,506,11369,0.96375,1.04251
34,34,2001,Single-person household,4th Quintile,No,1.0,470,11369,0.94955,1.04854
35,35,2001,Single-person household,5th Quintile,No,1.0,443,11369,0.96056,1.03468
36,36,2001,Couple without children,1st Quintile,No,1.0,386,11369,0.94791,1.05466
37,37,2001,Couple without children,2nd Quintile,Yes,0.07126,48,11369,0.06251,0.07919
38,38,2001,Couple without children,2nd Quintile,No,0.92874,567,11369,0.88341,0.96755
39,39,2001,Couple without children,3rd Quintile,Yes,0.07205,49,11369,0.06111,0.08257
40,40,2001,Couple without children,3rd Quintile,No,0.92795,688,11369,0.8915,0.96308
41,41,2001,Couple without children,4th Quintile,Yes,0.06658,66,11369,0.05494,0.07723
42,42,2001,Couple without children,4th Quintile,No,0.93342,787,11369,0.89072,0.97508
43,43,2001,Couple without children,5th Quintile,Yes,0.04779,44,11369,0.03939,0.05534
44,44,2001,Couple without children,5th Quintile,No,0.95221,925,11369,0.92494,0.98395
45,45,2001,Single parent,1st Quintile,Yes,0.108,33,11369,0.0825,0.12477
46,46,2001,Single parent,1st Quintile,No,0.892,268,11369,0.8229,0.95587
47,47,2001,Single parent,2nd Quintile,No,1.0,159,11369,0.90246,1.09592
48,48,2001,Single parent,3rd Quintile,No,1.0,110,11369,0.91851,1.1051
49,49,2001,Single parent,4th Quintile,No,1.0,69,11369,0.87445,1.13504
50,50,2001,Single parent,5th Quintile,No,1.0,46,11369,0.85794,1.16448
51,51,2001,Couple with children,1st Quintile,Yes,0.14155,91,11369,0.11927,0.16286
52,52,2001,Couple with children,1st Quintile,No,0.85845,521,11369,0.79958,0.91283
53,53,2001,Couple with children,2nd Quintile,Yes,0.13449,136,11369,0.12252,0.15065
54,54,2001,Couple with children,2nd Quintile,No,0.86551,856,11369,0.83337,0.90496
55,55,2001,Couple with children,3rd Quintile,Yes,0.10309,113,11369,0.09398,0.11428
56,56,2001,Couple with children,3rd Quintile,No,0.89691,911,11369,0.86565,0.9357
57,57,2001,Couple with children,4th Quintile,Yes,0.0838,74,11369,0.072,0.09485
58,58,2001,Couple with children,4th Quintile,No,0.9162,820,11369,0.87563,0.95526
59,59,2001,Couple with children,5th Quintile,Yes,0.06646,40,11369,0.05565,0.07882
60,60,2001,Couple with children,5th Quintile,No,0.93354,613,11369,0.89562,0.97581
61,61,2001,Multi-generational household,2nd Quintile,No,1.0,42,11369,0.8289,1.18012
62,62,2001,Multi-generational household,3rd Quintile,No,1.0,31,11369,0.78602,1.19424
63,63,2006,Single-person household,1st Quintile,Yes,0.03768,32,11938,0.03083,0.04416
64,64,2006,Single-person household,1st Quintile,No,0.96232,814,11938,0.9292,0.99723
65,65,2006,Single-person household,2nd Quintile,No,1.0,629,11938,0.96115,1.04191
66,66,2006,Single-person household,3rd Quintile,No,1.0,586,11938,0.95029,1.05151
67,67,2006,Single-person household,4th Quintile,No,1.0,564,11938,0.94629,1.04852
68,68,2006,Single-person household,5th Quintile,No,1.0,591,11938,0.95194,1.05133
69,69,2006,Couple without children,1st Quintile,No,1.0,405,11938,0.93261,1.06429
70,70,2006,Couple without children,2nd Quintile,Yes,0.05984,35,11938,0.04997,0.06986
71,71,2006,Couple without children,2nd Quintile,No,0.94016,624,11938,0.88798,0.98997
72,72,2006,Couple without children,3rd Quintile,Yes,0.04779,35,11938,0.03607,0.06076
73,73,2006,Couple without children,3rd Quintile,No,0.95221,739,11938,0.90844,0.99836
74,74,2006,Couple without children,4th Quintile,Yes,0.04421,44,11938,0.03747,0.05372
75,75,2006,Couple without children,4th Quintile,No,0.95579,777,11938,0.90514,1.00005
76,76,2006,Couple without children,5th Quintile,Yes,0.04581,62,11938,0.0363,0.05566
77,77,2006,Couple without children,5th Quintile,No,0.95419,1411,11938,0.91482,1.00338
78,78,2006,Single parent,1st Quintile,No,1.0,312,11938,0.92625,1.07189
79,79,2006,Single parent,2nd Quintile,No,1.0,149,11938,0.89756,1.09939
80,80,2006,Single parent,3rd Quintile,No,1.0,109,11938,0.86827,1.12781
81,81,2006,Single parent,4th Quintile,No,1.0,91,11938,0.87929,1.14331
82,82,2006,Single parent,5th Quintile,No,1.0,58,11938,0.81149,1.22401
83,83,2006,Couple with children,1st Quintile,Yes,0.10067,49,11938,0.08314,0.12446
84,84,2006,Couple with children,1st Quintile,No,0.89933,390,11938,0.83052,0.95506
85,85,2006,Couple with children,2nd Quintile,Yes,0.08571,67,11938,0.0659,0.10986
86,86,2006,Couple with children,2nd Quintile,No,0.91429,648,11938,0.86611,0.9622
87,87,2006,Couple with children,3rd Quintile,Yes,0.09122,77,11938,0.07238,0.10554
88,88,2006,Couple with children,3rd Quintile,No,0.90878,796,11938,0.85851,0.95695
89,89,2006,Couple with children,4th Quintile,Yes,0.07359,66,11938,0.05805,0.09149
90,90,2006,Couple with children,4th Quintile,No,0.92641,868,11938,0.87354,0.97359
91,91,2006,Couple with children,5th Quintile,Yes,0.04344,44,11938,0.03229,0.05453
92,92,2006,Couple with children,5th Quintile,No,0.95656,832,11938,0.89152,1.03004
93,93,2006,Other Combinations,5th Quintile,No,1.0,34,11938,0.73029,1.28093
94,94,2011,Single-person household,1st Quintile,No,1.0,993,11691,0.9608,1.03607
95,95,2011,Single-person household,2nd Quintile,No,1.0,704,11691,0.95718,1.04845
96,96,2011,Single-person household,3rd Quintile,No,1.0,622,11691,0.95397,1.04651
97,97,2011,Single-person household,4th Quintile,No,1.0,536,11691,0.94254,1.03982
98,98,2011,Single-person household,5th Quintile,No,1.0,558,11691,0.94582,1.06023
99,99,2011,Couple without children,1st Quintile,Yes,0.05896,32,11691,0.04496,0.07424
100,100,2011,Couple without children,1st Quintile,No,0.94104,431,11691,0.85761,1.02169
101,101,2011,Couple without children,2nd Quintile,Yes,0.03766,33,11691,0.02937,0.04774
102,102,2011,Couple without children,2nd Quintile,No,0.96234,718,11691,0.91325,1.02741
103,103,2011,Couple without children,3rd Quintile,No,1.0,757,11691,0.94567,1.06726
104,104,2011,Couple without children,4th Quintile,Yes,0.04598,37,11691,0.03432,0.05923
105,105,2011,Couple without children,4th Quintile,No,0.95402,928,11691,0.89502,1.00699
106,106,2011,Couple without children,5th Quintile,No,1.0,1376,11691,0.94898,1.04669
107,107,2011,Single parent,1st Quintile,No,1.0,306,11691,0.87863,1.14257
108,108,2011,Single parent,2nd Quintile,No,1.0,168,11691,0.89003,1.1486
109,109,2011,Single parent,3rd Quintile,No,1.0,137,11691,0.83793,1.19059
110,110,2011,Single parent,4th Quintile,No,1.0,78,11691,0.77533,1.22191
111,111,2011,Single parent,5th Quintile,No,1.0,59,11691,0.79802,1.20142
112,112,2011,Couple with children,1st Quintile,Yes,0.09403,44,11691,0.07165,0.12249
113,113,2011,Couple with children,1st Quintile,No,0.90597,354,11691,0.80854,1.01471
114,114,2011,Couple with children,2nd Quintile,Yes,0.06266,40,11691,0.04467,0.09156
115,115,2011,Couple with children,2nd Quintile,No,0.93734,532,11691,0.84369,1.02658
116,116,2011,Couple with children,3rd Quintile,Yes,0.04779,40,11691,0.03531,0.06651
117,117,2011,Couple with children,3rd Quintile,No,0.95221,720,11691,0.89553,1.03178
