year,quintil_oecd_hh,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Yes,0.09807,155,1411,0.08255,0.11359
1996,1st Quintile,No,0.90193,1256,1411,0.88641,0.91745
1996,2nd Quintile,Yes,0.10599,176,1401,0.08987,0.12212
1996,2nd Quintile,No,0.89401,1225,1401,0.87788,0.91013
1996,3rd Quintile,Yes,0.11007,178,1394,0.09363,0.12650
1996,3rd Quintile,No,0.88993,1216,1394,0.87350,0.90637
1996,4th Quintile,Yes,0.08933,123,1298,0.07381,0.10486
1996,4th Quintile,No,0.91067,1175,1298,0.89514,0.92619
1996,5th Quintile,Yes,0.04937,67,1122,0.03668,0.06205
1996,5th Quintile,No,0.95063,1055,1122,0.93795,0.96332
2001,1st Quintile,Yes,0.08630,215,2231,0.07465,0.09796
2001,1st Quintile,No,0.91370,2016,2231,0.90204,0.92535
2001,2nd Quintile,Yes,0.07597,214,2460,0.06550,0.08644
2001,2nd Quintile,No,0.92403,2246,2460,0.91356,0.93450
2001,3rd Quintile,Yes,0.07381,193,2436,0.06343,0.08420
2001,3rd Quintile,No,0.92619,2243,2436,0.91580,0.93657
2001,4th Quintile,Yes,0.06543,177,2369,0.05547,0.07539
2001,4th Quintile,No,0.93457,2192,2369,0.92461,0.94453
2001,5th Quintile,Yes,0.04565,102,2181,0.03689,0.05441
2001,5th Quintile,No,0.95435,2079,2181,0.94559,0.96311
2006,1st Quintile,Yes,0.05705,133,2096,0.04712,0.06698
2006,1st Quintile,No,0.94295,1963,2096,0.93302,0.95288
2006,2nd Quintile,Yes,0.05760,139,2222,0.04791,0.06729
2006,2nd Quintile,No,0.94240,2083,2222,0.93271,0.95209
2006,3rd Quintile,Yes,0.05901,144,2387,0.04956,0.06847
2006,3rd Quintile,No,0.94099,2243,2387,0.93153,0.95044
2006,4th Quintile,Yes,0.04841,136,2493,0.03998,0.05683
2006,4th Quintile,No,0.95159,2357,2493,0.94317,0.96002
2006,5th Quintile,Yes,0.03417,120,3061,0.02773,0.04061
2006,5th Quintile,No,0.96583,2941,3061,0.95939,0.97227
2011,1st Quintile,Yes,0.04485,128,2255,0.03631,0.05340
2011,1st Quintile,No,0.95515,2127,2255,0.94660,0.96369
2011,2nd Quintile,Yes,0.04180,102,2239,0.03351,0.05009
2011,2nd Quintile,No,0.95820,2137,2239,0.94991,0.96649
2011,3rd Quintile,Yes,0.04170,102,2375,0.03366,0.04974
2011,3rd Quintile,No,0.95830,2273,2375,0.95026,0.96634
2011,4th Quintile,Yes,0.04243,94,2436,0.03443,0.05044
2011,4th Quintile,No,0.95757,2342,2436,0.94956,0.96557
2011,5th Quintile,Yes,0.01950,63,2776,0.01436,0.02465
2011,5th Quintile,No,0.98050,2713,2776,0.97535,0.98564
2016,1st Quintile,Yes,0.03670,124,3096,0.03007,0.04332
2016,1st Quintile,No,0.96330,2972,3096,0.95668,0.96993
2016,2nd Quintile,Yes,0.03006,105,3041,0.02399,0.03613
2016,2nd Quintile,No,0.96994,2936,3041,0.96387,0.97601
2016,3rd Quintile,Yes,0.02931,99,2743,0.02299,0.03562
2016,3rd Quintile,No,0.97069,2644,2743,0.96438,0.97701
2016,4th Quintile,Yes,0.02705,71,2662,0.02088,0.03321
2016,4th Quintile,No,0.97295,2591,2662,0.96679,0.97912
2016,5th Quintile,Yes,0.01446,47,2755,0.01000,0.01892
2016,5th Quintile,No,0.98554,2708,2755,0.98108,0.99000
2021,1st Quintile,Yes,0.02331,54,2042,0.01677,0.02986
2021,1st Quintile,No,0.97669,1988,2042,0.97014,0.98323
2021,2nd Quintile,Yes,0.02850,65,2184,0.02152,0.03548
2021,2nd Quintile,No,0.97150,2119,2184,0.96452,0.97848
2021,3rd Quintile,Yes,0.01561,52,2024,0.01020,0.02101
2021,3rd Quintile,No,0.98439,1972,2024,0.97899,0.98980
2021,4th Quintile,Yes,0.02531,57,2078,0.01856,0.03207
2021,4th Quintile,No,0.97469,2021,2078,0.96793,0.98144
2021,5th Quintile,Yes,0.00917,31,2709,0.00558,0.01276
2021,5th Quintile,No,0.99083,2678,2709,0.98724,0.99442
