,Unnamed: 0,year,regtyp,pet_bird,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Urban regions,Yes,0.08548,434,6631,0.07981,0.09099
1,1,1996,Urban regions,No,0.91452,3963,6631,0.89351,0.93614
2,2,1996,Rural regions,Yes,0.10319,266,6631,0.093,0.11411
3,3,1996,Rural regions,No,0.89681,1968,6631,0.86632,0.92554
4,4,2001,Urban regions,Yes,0.06438,539,11680,0.06097,0.06725
5,5,2001,Urban regions,No,0.93562,7228,11680,0.92267,0.94977
6,6,2001,Rural regions,Yes,0.08084,362,11680,0.07588,0.08647
7,7,2001,Rural regions,No,0.91916,3551,11680,0.90149,0.93659
8,8,2006,Urban regions,Yes,0.04511,391,12265,0.04194,0.04878
9,9,2006,Urban regions,No,0.95489,7755,12265,0.94032,0.97017
10,10,2006,Rural regions,Yes,0.06462,281,12265,0.0581,0.07179
11,11,2006,Rural regions,No,0.93538,3838,12265,0.91359,0.96025
12,12,2011,Urban regions,Yes,0.03459,288,12084,0.03029,0.03854
13,13,2011,Urban regions,No,0.96541,7571,12084,0.94509,0.98442
14,14,2011,Rural regions,Yes,0.04474,201,12084,0.03876,0.05102
15,15,2011,Rural regions,No,0.95526,4024,12084,0.92378,0.98397
16,16,2016,Urban regions,Yes,0.02544,262,14302,0.02263,0.02855
17,17,2016,Urban regions,No,0.97456,9103,14302,0.94602,0.99687
18,18,2016,Rural regions,Yes,0.03194,184,14302,0.02687,0.03678
19,19,2016,Rural regions,No,0.96806,4753,14302,0.94547,0.99908
20,20,2021,Urban regions,Yes,0.01621,135,11055,0.01278,0.01953
21,21,2021,Urban regions,No,0.98379,7265,11055,0.95811,1.0106
22,22,2021,Rural regions,Yes,0.02942,125,11055,0.0225,0.03727
23,23,2021,Rural regions,No,0.97058,3530,11055,0.93705,1.01221
