,Unnamed: 0,year,hhtyp,sampreg,pet_bird,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Single-person household,West,Yes,0.04439,50,6539,0.03717,0.05202
1,1,1996,Single-person household,West,No,0.95561,1039,6539,0.92768,0.98578
2,2,1996,Single-person household,East,No,1.0,327,6539,0.95443,1.04909
3,3,1996,Couple without children,West,Yes,0.07765,106,6539,0.06527,0.09026
4,4,1996,Couple without children,West,No,0.92235,1200,6539,0.88587,0.9631
5,5,1996,Couple without children,East,Yes,0.08762,50,6539,0.07666,0.09957
6,6,1996,Couple without children,East,No,0.91238,485,6539,0.87424,0.96142
7,7,1996,Single parent,West,Yes,0.15632,38,6539,0.12744,0.20215
8,8,1996,Single parent,West,No,0.84368,240,6539,0.76695,0.92468
9,9,1996,Single parent,East,No,1.0,91,6539,0.92202,1.09476
10,10,1996,Couple with children,West,Yes,0.13409,251,6539,0.12439,0.14618
11,11,1996,Couple with children,West,No,0.86591,1671,6539,0.82903,0.90156
12,12,1996,Couple with children,East,Yes,0.17115,138,6539,0.15842,0.18724
13,13,1996,Couple with children,East,No,0.82885,626,6539,0.7963,0.86747
14,14,1996,Multi-generational household,West,No,1.0,85,6539,0.83844,1.20338
15,15,1996,Other Combinations,West,No,1.0,90,6539,0.85494,1.15876
16,16,1996,Other Combinations,East,No,1.0,52,6539,0.84388,1.18879
17,17,2001,Single-person household,West,Yes,0.04307,91,11585,0.03898,0.04621
18,18,2001,Single-person household,West,No,0.95693,2129,11585,0.94146,0.973
19,19,2001,Single-person household,East,Yes,0.05987,43,11585,0.05181,0.06818
20,20,2001,Single-person household,East,No,0.94013,663,11585,0.91544,0.97285
21,21,2001,Couple without children,West,Yes,0.05913,157,11585,0.05431,0.06401
22,22,2001,Couple without children,West,No,0.94087,2507,11585,0.92262,0.95919
23,23,2001,Couple without children,East,Yes,0.08368,79,11585,0.07296,0.09327
24,24,2001,Couple without children,East,No,0.91632,846,11585,0.88607,0.94352
25,25,2001,Single parent,West,Yes,0.06451,34,11585,0.0522,0.07785
26,26,2001,Single parent,West,No,0.93549,480,11585,0.88962,0.98619
27,27,2001,Single parent,East,No,1.0,172,11585,0.91224,1.0833
28,28,2001,Couple with children,West,Yes,0.09442,299,11585,0.08788,0.10163
29,29,2001,Couple with children,West,No,0.90558,2909,11585,0.88143,0.92368
30,30,2001,Couple with children,East,Yes,0.15492,155,11585,0.14357,0.16509
31,31,2001,Couple with children,East,No,0.84508,812,11585,0.81523,0.88183
32,32,2001,Multi-generational household,West,No,1.0,121,11585,0.90944,1.12901
33,33,2001,Other Combinations,West,No,1.0,88,11585,0.90145,1.10084
34,34,2006,Single-person household,West,Yes,0.02842,66,12186,0.02543,0.03186
35,35,2006,Single-person household,West,No,0.97158,2406,12186,0.95103,0.98874
36,36,2006,Single-person household,East,Yes,0.04355,33,12186,0.03701,0.05154
37,37,2006,Single-person household,East,No,0.95645,783,12186,0.922,0.99046
38,38,2006,Couple without children,West,Yes,0.04403,130,12186,0.03933,0.05059
39,39,2006,Couple without children,West,No,0.95597,3002,12186,0.9279,0.97957
40,40,2006,Couple without children,East,Yes,0.07232,71,12186,0.06103,0.08324
41,41,2006,Couple without children,East,No,0.92768,955,12186,0.8865,0.97977
42,42,2006,Single parent,West,Yes,0.05638,31,12186,0.04319,0.06969
43,43,2006,Single parent,West,No,0.94362,551,12186,0.89058,0.99104
44,44,2006,Single parent,East,No,1.0,168,12186,0.90824,1.13937
45,45,2006,Couple with children,West,Yes,0.07155,202,12186,0.06247,0.08093
46,46,2006,Couple with children,West,No,0.92845,2782,12186,0.89837,0.96095
47,47,2006,Couple with children,East,Yes,0.11803,101,12186,0.10023,0.14094
48,48,2006,Couple with children,East,No,0.88197,752,12186,0.82924,0.94127
49,49,2006,Multi-generational household,West,No,1.0,72,12186,0.81759,1.22809
50,50,2006,Other Combinations,West,No,1.0,81,12186,0.84105,1.22055
51,51,2011,Single-person household,West,Yes,0.02712,65,11972,0.02393,0.0313
52,52,2011,Single-person household,West,No,0.97288,2557,11972,0.94861,0.99515
53,53,2011,Single-person household,East,No,1.0,859,11972,0.95949,1.04534
54,54,2011,Couple without children,West,Yes,0.03606,109,11972,0.03074,0.04199
55,55,2011,Couple without children,West,No,0.96394,3172,11972,0.93622,0.98805
56,56,2011,Couple without children,East,Yes,0.0542,52,11972,0.04433,0.06638
57,57,2011,Couple without children,East,No,0.9458,1038,11972,0.88458,1.00004
58,58,2011,Single parent,West,No,1.0,564,11972,0.9088,1.07732
59,59,2011,Single parent,East,No,1.0,184,11972,0.8854,1.13959
60,60,2011,Couple with children,West,Yes,0.04879,130,11972,0.03992,0.05973
61,61,2011,Couple with children,West,No,0.95121,2436,11972,0.91457,0.99272
62,62,2011,Couple with children,East,Yes,0.0907,59,11972,0.06921,0.11342
63,63,2011,Couple with children,East,No,0.9093,615,11972,0.83787,1.00117
64,64,2011,Multi-generational household,West,No,1.0,61,11972,0.72659,1.26578
65,65,2011,Other Combinations,West,No,1.0,71,11972,0.81558,1.22881
66,66,2016,Single-person household,West,Yes,0.01775,34,14190,0.01499,0.02056
67,67,2016,Single-person household,West,No,0.98225,2501,14190,0.95562,1.00948
68,68,2016,Single-person household,East,No,1.0,823,14190,0.95287,1.06387
69,69,2016,Couple without children,West,Yes,0.02209,65,14190,0.0177,0.02648
70,70,2016,Couple without children,West,No,0.97791,3020,14190,0.94725,1.00986
71,71,2016,Couple without children,East,Yes,0.04385,42,14190,0.03597,0.05342
72,72,2016,Couple without children,East,No,0.95615,970,14190,0.90343,1.01602
73,73,2016,Single parent,West,Yes,0.03183,44,14190,0.02217,0.04224
74,74,2016,Single parent,West,No,0.96817,1144,14190,0.91162,1.03848
75,75,2016,Single parent,East,No,1.0,320,14190,0.8642,1.12959
76,76,2016,Couple with children,West,Yes,0.03542,150,14190,0.02814,0.04336
77,77,2016,Couple with children,West,No,0.96458,4019,14190,0.92082,1.00061
78,78,2016,Couple with children,East,Yes,0.05479,49,14190,0.03922,0.06966
79,79,2016,Couple with children,East,No,0.94521,772,14190,0.85584,1.03498
80,80,2016,Multi-generational household,West,No,1.0,80,14190,0.77565,1.30145
81,81,2016,Other Combinations,West,No,1.0,157,14190,0.83635,1.14791
82,82,2021,Single-person household,West,No,1.0,2455,10815,0.96401,1.04198
83,83,2021,Single-person household,East,No,1.0,696,10815,0.91913,1.07598
84,84,2021,Couple without children,West,Yes,0.02197,48,10815,0.01602,0.02937
85,85,2021,Couple without children,West,No,0.97803,2535,10815,0.93355,1.0257
86,86,2021,Couple without children,East,No,1.0,788,10815,0.8954,1.09803
87,87,2021,Single parent,West,No,1.0,636,10815,0.88442,1.09816
88,88,2021,Single parent,East,No,1.0,235,10815,0.8641,1.16729
89,89,2021,Couple with children,West,Yes,0.02917,87,10815,0.02196,0.03682
90,90,2021,Couple with children,West,No,0.97083,2507,10815,0.92289,1.01682
91,91,2021,Couple with children,East,No,1.0,521,10815,0.87962,1.13078
92,92,2021,Multi-generational household,West,No,1.0,58,10815,0.63652,1.4938
93,93,2021,Other Combinations,West,No,1.0,211,10815,0.83676,1.18595
94,94,2021,Other Combinations,East,No,1.0,38,10815,0.67846,1.37257
