,Unnamed: 0,year,pet_bird,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Yes,0.0908,700,6631,0.08548,0.09672
1,1,1996,No,0.9092,5931,6631,0.89039,0.92677
2,2,2001,Yes,0.06939,901,11680,0.06624,0.07242
3,3,2001,No,0.93061,10779,11680,0.91946,0.94114
4,4,2006,Yes,0.05122,672,12265,0.04804,0.05398
5,5,2006,No,0.94878,11593,12265,0.93509,0.96037
6,6,2011,Yes,0.0378,489,12084,0.03495,0.04154
7,7,2011,No,0.9622,11595,12084,0.94689,0.97964
8,8,2016,Yes,0.0275,446,14302,0.02525,0.03074
9,9,2016,No,0.9725,13856,14302,0.95554,0.99135
10,10,2021,Yes,0.02038,260,11056,0.01722,0.02354
11,11,2021,No,0.97962,10796,11056,0.95857,1.00339
