year,bula_h,hhtyp,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Single-person household,No,0.98049,36,36,0.93466,1.02631
1996,Schleswig-Holstein,Couple without children,No,0.92783,40,40,0.84661,1.00904
1996,Schleswig-Holstein,Couple with children,No,0.82954,47,47,0.72087,0.93821
1996,Hamburg,Single-person household,No,0.92025,40,40,0.83522,1.00527
1996,Lower Saxony,Single-person household,No,0.94824,109,109,0.90645,0.99002
1996,Lower Saxony,Couple without children,No,0.91032,141,141,0.86300,0.95765
1996,Lower Saxony,Couple with children,Yes,0.15407,34,198,0.10366,0.20449
1996,Lower Saxony,Couple with children,No,0.84593,164,198,0.79551,0.89634
1996,North Rhine-Westphalia,Single-person household,No,0.96053,278,278,0.93761,0.98346
1996,North Rhine-Westphalia,Couple without children,No,0.90032,307,307,0.86676,0.93389
1996,North Rhine-Westphalia,Single parent,No,0.84902,68,68,0.76328,0.93475
1996,North Rhine-Westphalia,Couple with children,Yes,0.14945,79,540,0.11935,0.17955
1996,North Rhine-Westphalia,Couple with children,No,0.85055,461,540,0.82045,0.88065
1996,Hesse,Single-person household,No,0.96605,96,96,0.92964,1.00247
1996,Hesse,Couple without children,No,0.93888,137,137,0.89861,0.97914
1996,Hesse,Couple with children,No,0.86104,164,164,0.80794,0.91415
1996,"Rhineland-Palatinate, Saarland",Single-person household,No,0.91935,59,59,0.84927,0.98943
1996,"Rhineland-Palatinate, Saarland",Couple without children,No,0.92947,91,91,0.87657,0.98237
1996,"Rhineland-Palatinate, Saarland",Couple with children,No,0.87528,122,122,0.81640,0.93415
1996,Baden-Wuerttemberg,Single-person household,No,0.96159,163,163,0.93199,0.99118
1996,Baden-Wuerttemberg,Couple without children,No,0.93659,199,199,0.90264,0.97053
1996,Baden-Wuerttemberg,Single parent,No,0.81389,38,38,0.68848,0.93930
1996,Baden-Wuerttemberg,Couple with children,Yes,0.12107,40,369,0.08774,0.15440
1996,Baden-Wuerttemberg,Couple with children,No,0.87893,329,369,0.84560,0.91226
1996,Bavaria,Single-person household,No,0.96220,188,188,0.93486,0.98953
1996,Bavaria,Couple without children,No,0.92701,213,213,0.89199,0.96202
1996,Bavaria,Single parent,No,0.88977,44,44,0.79616,0.98338
1996,Bavaria,Couple with children,Yes,0.10603,39,351,0.07378,0.13829
1996,Bavaria,Couple with children,No,0.89397,312,351,0.86171,0.92622
1996,Berlin,Single-person household,No,0.97333,89,89,0.93966,1.00699
1996,Berlin,Couple without children,No,0.95112,74,74,0.90165,1.00058
1996,Berlin,Couple with children,No,0.88126,93,93,0.81515,0.94736
1996,Brandenburg,Single-person household,No,0.98621,59,59,0.95619,1.01622
1996,Brandenburg,Couple without children,No,0.92470,80,80,0.86651,0.98289
1996,Brandenburg,Couple with children,No,0.84054,94,94,0.76613,0.91495
1996,Mecklenburg-Western Pomerania,Single-person household,No,0.89503,33,33,0.78882,1.00123
1996,Mecklenburg-Western Pomerania,Couple without children,No,0.90800,51,51,0.82789,0.98812
1996,Mecklenburg-Western Pomerania,Couple with children,No,0.79177,70,70,0.69596,0.88758
1996,Saxony,Single-person household,No,0.93405,88,88,0.88190,0.98621
1996,Saxony,Couple without children,No,0.88994,148,148,0.83934,0.94053
