year,regtyp,sampreg,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,West,Yes,0.08351,361,3770,0.07468,0.09234
1996,Urban regions,West,No,0.91649,3409,3770,0.90766,0.92532
1996,Urban regions,East,Yes,0.10387,74,638,0.08018,0.12757
1996,Urban regions,East,No,0.89613,564,638,0.87243,0.91982
1996,Rural regions,West,Yes,0.10179,107,1023,0.08325,0.12033
1996,Rural regions,West,No,0.89821,916,1023,0.87967,0.91675
1996,Rural regions,East,Yes,0.10621,158,1200,0.08877,0.12365
1996,Rural regions,East,No,0.89379,1042,1200,0.87635,0.91123
2001,Urban regions,West,Yes,0.06309,455,6828,0.05732,0.06885
2001,Urban regions,West,No,0.93691,6373,6828,0.93115,0.94268
2001,Urban regions,East,Yes,0.07854,86,955,0.06147,0.09561
2001,Urban regions,East,No,0.92146,869,955,0.90439,0.93853
2001,Rural regions,West,Yes,0.06748,148,2009,0.05651,0.07845
2001,Rural regions,West,No,0.93252,1861,2009,0.92155,0.94349
2001,Rural regions,East,Yes,0.10008,212,1888,0.08654,0.11362
2001,Rural regions,East,No,0.89992,1676,1888,0.88638,0.91346
2006,Urban regions,West,Yes,0.04428,325,7176,0.03952,0.04904
2006,Urban regions,West,No,0.95572,6851,7176,0.95096,0.96048
2006,Urban regions,East,Yes,0.05180,66,992,0.03800,0.06560
2006,Urban regions,East,No,0.94820,926,992,0.93440,0.96200
2006,Rural regions,West,Yes,0.05237,118,2161,0.04297,0.06176
2006,Rural regions,West,No,0.94763,2043,2161,0.93824,0.95703
2006,Rural regions,East,Yes,0.08442,163,1936,0.07203,0.09681
2006,Rural regions,East,No,0.91558,1773,1936,0.90319,0.92797
2011,Urban regions,West,Yes,0.03152,241,6851,0.02738,0.03566
2011,Urban regions,West,No,0.89349,6610,6851,0.88618,0.90079
2011,Urban regions,East,Yes,0.03642,48,1022,0.02493,0.04791
2011,Urban regions,East,No,0.88574,974,1022,0.86623,0.90526
2011,Rural regions,West,Yes,0.03468,90,2341,0.02727,0.04210
2011,Rural regions,West,No,0.87923,2251,2341,0.86603,0.89243
2011,Rural regions,East,Yes,0.05227,110,1870,0.04218,0.06236
2011,Rural regions,East,No,0.87990,1760,1870,0.86516,0.89463
2016,Urban regions,West,Yes,0.02469,227,8255,0.02134,0.02804
2016,Urban regions,West,No,0.96990,8028,8255,0.96621,0.97359
2016,Urban regions,East,Yes,0.03017,35,1122,0.02016,0.04018
2016,Urban regions,East,No,0.96366,1087,1122,0.95271,0.97462
2016,Rural regions,West,Yes,0.02246,80,2973,0.01713,0.02778
2016,Rural regions,West,No,0.97270,2893,2973,0.96684,0.97856
2016,Rural regions,East,Yes,0.04846,104,1952,0.03893,0.05799
2016,Rural regions,East,No,0.94650,1848,1952,0.93651,0.95648
2021,Urban regions,West,Yes,0.01644,120,6511,0.01335,0.01953
2021,Urban regions,West,No,0.97140,6391,6511,0.96735,0.97545
2021,Urban regions,East,No,0.96986,883,883,0.95858,0.98115
2021,Rural regions,West,Yes,0.02464,64,2153,0.01809,0.03119
2021,Rural regions,West,No,0.96525,2089,2153,0.95751,0.97299
2021,Rural regions,East,Yes,0.03769,61,1493,0.02803,0.04736
2021,Rural regions,East,No,0.95774,1432,1493,0.94753,0.96795
