year,hhtyp,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Yes,0.04573,67,1433,0.03491,0.05655
1996,Single-person household,No,0.95427,1366,1433,0.94345,0.96509
1996,Couple without children,Yes,0.07969,156,1841,0.06731,0.09206
1996,Couple without children,No,0.92031,1685,1841,0.90794,0.93269
1996,Single parent,Yes,0.15294,56,387,0.11703,0.18884
1996,Single parent,No,0.84706,331,387,0.81116,0.88297
1996,Couple with children,Yes,0.14113,389,2686,0.12796,0.15429
1996,Couple with children,No,0.85887,2297,2686,0.84571,0.87204
1996,Multi-generational household,No,0.83675,110,110,0.76737,0.90614
1996,Other Combinations,No,0.88276,142,142,0.82965,0.93586
2001,Single-person household,Yes,0.04625,134,2926,0.03864,0.05386
2001,Single-person household,No,0.95375,2792,2926,0.94614,0.96136
2001,Couple without children,Yes,0.06383,236,3589,0.05583,0.07183
2001,Couple without children,No,0.93617,3353,3589,0.92817,0.94417
2001,Single parent,Yes,0.07082,54,706,0.05189,0.08976
2001,Single parent,No,0.92918,652,706,0.91024,0.94811
2001,Couple with children,Yes,0.10506,454,4175,0.09576,0.11436
2001,Couple with children,No,0.89494,3721,4175,0.88564,0.90424
2001,Multi-generational household,No,0.89847,145,145,0.84914,0.94780
2001,Other Combinations,No,0.91029,116,116,0.85806,0.96252
2006,Single-person household,Yes,0.03136,99,3288,0.02540,0.03732
2006,Single-person household,No,0.96864,3189,3288,0.96268,0.97460
2006,Couple without children,Yes,0.04962,201,4158,0.04302,0.05622
2006,Couple without children,No,0.95038,3957,4158,0.94378,0.95698
2006,Single parent,Yes,0.06836,53,772,0.05054,0.08617
2006,Single parent,No,0.93164,719,772,0.91383,0.94946
2006,Couple with children,Yes,0.07931,303,3837,0.07075,0.08786
2006,Couple with children,No,0.92069,3534,3837,0.91214,0.92925
2006,Multi-generational household,No,0.89058,93,93,0.82679,0.95437
2006,Other Combinations,No,0.95938,101,101,0.92069,0.99807
2011,Single-person household,Yes,0.02691,94,3510,0.02155,0.03226
2011,Single-person household,No,0.97127,3416,3510,0.96575,0.97680
2011,Couple without children,Yes,0.03953,161,4371,0.03375,0.04530
2011,Couple without children,No,0.96018,4210,4371,0.95439,0.96598
2011,Single parent,Yes,0.02386,36,784,0.01317,0.03454
2011,Single parent,No,0.50099,748,784,0.46597,0.53601
2011,Couple with children,Yes,0.04366,189,3240,0.03662,0.05070
2011,Couple with children,No,0.75072,3051,3240,0.73582,0.76562
2011,Multi-generational household,No,0.80647,79,79,0.71879,0.89414
2011,Other Combinations,No,0.87259,91,91,0.80371,0.94148
2016,Single-person household,Yes,0.02097,64,3388,0.01615,0.02580
2016,Single-person household,No,0.97281,3324,3388,0.96734,0.97829
2016,Couple without children,Yes,0.02588,107,4097,0.02101,0.03074
2016,Couple without children,No,0.97335,3990,4097,0.96842,0.97828
2016,Single parent,Yes,0.03609,60,1524,0.02672,0.04546
2016,Single parent,No,0.95753,1464,1524,0.94741,0.96766
2016,Couple with children,Yes,0.03794,199,4990,0.03264,0.04324
2016,Couple with children,No,0.95449,4791,4990,0.94870,0.96027
2016,Multi-generational household,No,0.97430,104,104,0.94373,1.00486
2016,Other Combinations,No,0.91254,183,183,0.87150,0.95359
2021,Single-person household,Yes,0.01415,43,3188,0.01005,0.01825
2021,Single-person household,No,0.97543,3145,3188,0.97006,0.98081
2021,Couple without children,Yes,0.02478,75,3414,0.01956,0.02999
2021,Couple without children,No,0.97317,3339,3414,0.96775,0.97859
2021,Single parent,No,0.96328,873,873,0.95080,0.97576
2021,Couple with children,Yes,0.02752,111,3162,0.02182,0.03322
2021,Couple with children,No,0.94963,3051,3162,0.94200,0.95725
2021,Multi-generational household,No,0.95108,72,72,0.90090,1.00125
2021,Other Combinations,No,0.96611,260,260,0.94408,0.98815
