year,quintil_oecd_hh,sampreg,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,2nd Quintile,West,Yes,0.03738,59,1498,0.02777,0.04699
2011,2nd Quintile,West,No,0.96262,1439,1498,0.95301,0.97223
2011,2nd Quintile,East,Yes,0.05567,43,741,0.03915,0.07219
2011,2nd Quintile,East,No,0.94433,698,741,0.92781,0.96085
2011,3rd Quintile,West,Yes,0.03958,67,1721,0.03037,0.04880
2011,3rd Quintile,West,No,0.96042,1654,1721,0.95120,0.96963
2011,3rd Quintile,East,Yes,0.04949,35,654,0.03285,0.06613
2011,3rd Quintile,East,No,0.95051,619,654,0.93387,0.96715
2011,4th Quintile,West,Yes,0.04275,77,1980,0.03384,0.05166
2011,4th Quintile,West,No,0.95725,1903,1980,0.94834,0.96616
2011,4th Quintile,East,No,0.95953,439,439,0.94108,0.97799
2011,5th Quintile,West,Yes,0.01975,55,2451,0.01424,0.02526
2011,5th Quintile,West,No,0.98025,2396,2451,0.97474,0.98576
2011,5th Quintile,East,No,0.98349,317,317,0.96943,0.99754
2016,1st Quintile,West,Yes,0.02961,78,2276,0.02265,0.03658
2016,1st Quintile,West,No,0.97039,2198,2276,0.96342,0.97735
2016,1st Quintile,East,Yes,0.05839,46,820,0.04234,0.07445
2016,1st Quintile,East,No,0.94161,774,820,0.92555,0.95766
2016,2nd Quintile,West,Yes,0.02646,67,2242,0.01981,0.03310
2016,2nd Quintile,West,No,0.97354,2175,2242,0.96690,0.98019
2016,2nd Quintile,East,Yes,0.04242,38,799,0.02844,0.05641
2016,2nd Quintile,East,No,0.95758,761,799,0.94359,0.97156
2016,3rd Quintile,West,Yes,0.02810,69,2071,0.02098,0.03522
2016,3rd Quintile,West,No,0.97190,2002,2071,0.96478,0.97902
2016,3rd Quintile,East,No,0.96614,642,642,0.95214,0.98014
2016,4th Quintile,West,Yes,0.02534,54,2205,0.01878,0.03190
2016,4th Quintile,West,No,0.97466,2151,2205,0.96810,0.98122
2016,4th Quintile,East,No,0.96198,440,440,0.94409,0.97987
2016,5th Quintile,West,Yes,0.01385,39,2429,0.00920,0.01850
2016,5th Quintile,West,No,0.98615,2390,2429,0.98150,0.99080
2016,5th Quintile,East,No,0.97898,318,318,0.96319,0.99477
2021,1st Quintile,West,Yes,0.02092,36,1508,0.01369,0.02815
2021,1st Quintile,West,No,0.97908,1472,1508,0.97185,0.98631
2021,1st Quintile,East,No,0.96836,516,516,0.95324,0.98348
2021,2nd Quintile,West,Yes,0.02421,40,1617,0.01672,0.03170
2021,2nd Quintile,West,No,0.97579,1577,1617,0.96830,0.98328
2021,2nd Quintile,East,No,0.95559,542,542,0.93823,0.97295
2021,3rd Quintile,West,Yes,0.01474,36,1549,0.00874,0.02075
2021,3rd Quintile,West,No,0.98526,1513,1549,0.97925,0.99126
2021,3rd Quintile,East,No,0.98068,459,459,0.96807,0.99329
2021,4th Quintile,West,Yes,0.02513,46,1688,0.01766,0.03260
2021,4th Quintile,West,No,0.97487,1642,1688,0.96740,0.98234
2021,4th Quintile,East,No,0.97358,379,379,0.95742,0.98975
2021,5th Quintile,West,No,0.99074,2262,2262,0.98679,0.99469
2021,5th Quintile,East,No,0.99163,416,416,0.98286,1.00039
