"year","bildungsniveau","migback","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Fach-)Abitur","direkter Migrationshintergrund","5.64","3.5","178","0","2","9","13","20","4.81","6.47","0","26","4","6"
"1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","kein Migrationshintergrund","8.66","3.5","277","1","2","11","28","43","7.44","9.88","0","57","3","5"
"1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","direkter Migrationshintergrund","8.73","7.5","616","1","4","13","16","23","8.26","9.2","0","30","8","10"
"1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","kein Migrationshintergrund","5.22","2.5","30","1","1","7","13","20","3.35","7.09","0","20","2","5"
"1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1984","AkademikerIn","direkter Migrationshintergrund","10.18","5.5","91","1","2","16","29","33","8.35","12.01","0","34","4","10"
"1984","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","AkademikerIn","kein Migrationshintergrund","11.41","8.5","524","1","3","18","26","38","10.59","12.23","0","50","7","10"
"1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1984","Hauptschule","direkter Migrationshintergrund","8.18","5.5","1222","1","3","12","18","31","7.83","8.53","0","44","6","7"
"1984","Hauptschule","indirekter Migrationshintergrund","5.74","2.5","45","0","0","11","17","21","3.58","7.9","0","33","2","4"
"1984","Hauptschule","kein Migrationshintergrund","12.07","9.5","2844","1","4","18","27","42","11.7","12.44","0","59","9","10"
"1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1984","Realschule","direkter Migrationshintergrund","9.87","4.5","76","1","2","14","25","38","7.88","11.86","0","38","2","6"
"1984","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","Realschule","kein Migrationshintergrund","8.95","4.5","1072","1","2","13","24","38","8.42","9.48","0","51","5","6"
"1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","direkter Migrationshintergrund","5.98","3.5","140","0","1","10","14","21","4.98","6.98","0","27","4","6"
"1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","kein Migrationshintergrund","8.51","3.5","258","1","2","11","24","43","7.24","9.78","0","58","4","5"
"1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1985","(noch) kein Abschluss","direkter Migrationshintergrund","9.8","9.5","473","2","5","14","17","24","9.26","10.34","0","38","9","12"
"1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1985","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1985","AkademikerIn","direkter Migrationshintergrund","9.33","5.5","75","1","3","16","21","33","7.41","11.25","0","33","4","7"
"1985","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1985","AkademikerIn","kein Migrationshintergrund","11.1","7.5","486","1","3","17","25","35","10.28","11.92","0","39","7","10"
"1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1985","Hauptschule","direkter Migrationshintergrund","8.43","6.5","1055","1","3","13","18","32","8.03","8.83","0","36","6","7"
"1985","Hauptschule","indirekter Migrationshintergrund","5.73","2.5","41","1","1","6","20","20","3.99","7.47","0","20","2","4"
"1985","Hauptschule","kein Migrationshintergrund","11.78","8.5","2494","1","4","17","27","41","11.39","12.17","0","67","8","10"
"1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1985","Realschule","direkter Migrationshintergrund","9.04","3.5","82","1","2","15","24","40","7.17","10.91","0","40","2","5"
"1985","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1985","Realschule","kein Migrationshintergrund","8.85","5.5","1005","1","2","13","23","36","8.32","9.38","0","49","5","6"
"1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","kein Migrationshintergrund","2.35","0.5","67","0","0","1","6","31","1.2","3.5","0","31","1","1"
"1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1986","AkademikerIn","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","AkademikerIn","kein Migrationshintergrund","3.35","0.5","87","0","0","4","13","22","2.2","4.5","0","22","1","1"
"1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1986","Hauptschule","direkter Migrationshintergrund","2.19","0.5","124","0","0","1","9","13","1.58","2.8","0","25","1","1"
"1986","Hauptschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","Hauptschule","kein Migrationshintergrund","3.94","0.5","321","0","1","4","14","32","3.19","4.69","0","44","1","1"
"1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1986","Realschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","Realschule","kein Migrationshintergrund","3.24","0.5","194","0","1","3","11","28","2.51","3.97","0","28","1","1"
"1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","direkter Migrationshintergrund","1.6","0.5","35","0","0","1","2","23","-0.41","3.61","0","23","1","1"
"1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","kein Migrationshintergrund","1.48","0.5","81","0","1","1","3","14","0.87","2.09","0","14","1","1"
"1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","direkter Migrationshintergrund","2.79","0.5","42","0","1","1","9","20","1.24","4.34","0","20","1","1"
"1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1987","AkademikerIn","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1987","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1987","AkademikerIn","kein Migrationshintergrund","3.84","0.5","106","0","1","2","15","26","2.68","5","0","26","1","1"
