,Unnamed: 0,year,quintil_oecd_hh,regtyp,hlc0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,1st Quintile,Urban regions,No,1.0,1925,14157,0.951,1.05438
1,1,2016,1st Quintile,Rural regions,No,1.0,1103,14157,0.91577,1.07196
2,2,2016,2nd Quintile,Urban regions,Yes,0.01841,40,14157,0.01222,0.02612
3,3,2016,2nd Quintile,Urban regions,No,0.98159,1864,14157,0.93362,1.03392
4,4,2016,2nd Quintile,Rural regions,No,1.0,1173,14157,0.9431,1.07219
5,5,2016,3rd Quintile,Urban regions,Yes,0.02,54,14157,0.01432,0.02492
6,6,2016,3rd Quintile,Urban regions,No,0.98,1651,14157,0.93243,1.02328
7,7,2016,3rd Quintile,Rural regions,No,1.0,1024,14157,0.93551,1.07367
8,8,2016,4th Quintile,Urban regions,Yes,0.01975,61,14157,0.0144,0.0251
9,9,2016,4th Quintile,Urban regions,No,0.98025,1707,14157,0.93133,1.02669
10,10,2016,4th Quintile,Rural regions,No,1.0,861,14157,0.9378,1.06965
11,11,2016,5th Quintile,Urban regions,Yes,0.04109,85,14157,0.03064,0.05017
12,12,2016,5th Quintile,Urban regions,No,0.95891,1933,14157,0.91944,0.99921
13,13,2016,5th Quintile,Rural regions,No,1.0,676,14157,0.92716,1.08378
14,14,2017,1st Quintile,Urban regions,No,1.0,1988,15533,0.95331,1.05737
15,15,2017,1st Quintile,Rural regions,No,1.0,1145,15533,0.92912,1.06366
16,16,2017,2nd Quintile,Urban regions,Yes,0.022,47,15533,0.01573,0.02859
17,17,2017,2nd Quintile,Urban regions,No,0.978,1930,15533,0.92962,1.01696
18,18,2017,2nd Quintile,Rural regions,No,1.0,1247,15533,0.94892,1.05568
19,19,2017,3rd Quintile,Urban regions,Yes,0.01626,52,15533,0.01284,0.02026
20,20,2017,3rd Quintile,Urban regions,No,0.98374,1844,15533,0.93881,1.03328
21,21,2017,3rd Quintile,Rural regions,No,1.0,1153,15533,0.94486,1.06536
22,22,2017,4th Quintile,Urban regions,Yes,0.02061,73,15533,0.01631,0.02676
23,23,2017,4th Quintile,Urban regions,No,0.97939,1929,15533,0.93494,1.02038
24,24,2017,4th Quintile,Rural regions,Yes,0.02736,31,15533,0.01617,0.03963
25,25,2017,4th Quintile,Rural regions,No,0.97264,1010,15533,0.91168,1.03302
26,26,2017,5th Quintile,Urban regions,Yes,0.0321,94,15533,0.02527,0.03874
27,27,2017,5th Quintile,Urban regions,No,0.9679,2219,15533,0.92772,1.01428
28,28,2017,5th Quintile,Rural regions,No,1.0,771,15533,0.93808,1.07905
29,29,2018,1st Quintile,Urban regions,Yes,0.01943,40,15373,0.01283,0.02777
30,30,2018,1st Quintile,Urban regions,No,0.98057,2047,15373,0.94046,1.03421
31,31,2018,1st Quintile,Rural regions,No,1.0,1162,15373,0.93285,1.06858
32,32,2018,2nd Quintile,Urban regions,Yes,0.01407,43,15373,0.00903,0.01883
33,33,2018,2nd Quintile,Urban regions,No,0.98593,2042,15373,0.94447,1.02675
34,34,2018,2nd Quintile,Rural regions,No,1.0,1271,15373,0.94164,1.06142
35,35,2018,3rd Quintile,Urban regions,Yes,0.02099,51,15373,0.01465,0.02828
36,36,2018,3rd Quintile,Urban regions,No,0.97901,1772,15373,0.93689,1.02882
37,37,2018,3rd Quintile,Rural regions,Yes,0.01951,33,15373,0.01481,0.02516
38,38,2018,3rd Quintile,Rural regions,No,0.98049,1062,15373,0.92526,1.05639
39,39,2018,4th Quintile,Urban regions,Yes,0.03031,63,15373,0.0241,0.03657
40,40,2018,4th Quintile,Urban regions,No,0.96969,1853,15373,0.92784,1.01929
41,41,2018,4th Quintile,Rural regions,Yes,0.02033,31,15373,0.01436,0.02628
42,42,2018,4th Quintile,Rural regions,No,0.97967,919,15373,0.91044,1.04292
43,43,2018,5th Quintile,Urban regions,Yes,0.02792,88,15373,0.02353,0.0341
44,44,2018,5th Quintile,Urban regions,No,0.97208,2148,15373,0.93015,1.01288
45,45,2018,5th Quintile,Rural regions,No,1.0,748,15373,0.92593,1.08393
46,46,2019,1st Quintile,Urban regions,Yes,0.01554,48,15565,0.01086,0.02182
47,47,2019,1st Quintile,Urban regions,No,0.98446,1756,15565,0.93726,1.04009
48,48,2019,1st Quintile,Rural regions,No,1.0,993,15565,0.91867,1.07655
49,49,2019,2nd Quintile,Urban regions,Yes,0.02374,51,15565,0.01677,0.03072
50,50,2019,2nd Quintile,Urban regions,No,0.97626,1703,15565,0.92943,1.02619
51,51,2019,2nd Quintile,Rural regions,No,1.0,1127,15565,0.93442,1.06225
52,52,2019,3rd Quintile,Urban regions,Yes,0.02748,60,15565,0.02025,0.03704
53,53,2019,3rd Quintile,Urban regions,No,0.97252,1695,15565,0.92191,1.02131
54,54,2019,3rd Quintile,Rural regions,No,1.0,1061,15565,0.93113,1.07081
55,55,2019,4th Quintile,Urban regions,Yes,0.02752,66,15565,0.02173,0.03414
56,56,2019,4th Quintile,Urban regions,No,0.97248,1825,15565,0.92478,1.02495
57,57,2019,4th Quintile,Rural regions,No,1.0,969,15565,0.92082,1.07588
58,58,2019,5th Quintile,Urban regions,Yes,0.02913,111,15565,0.0219,0.03761
59,59,2019,5th Quintile,Urban regions,No,0.97087,2969,15565,0.92285,1.02564
60,60,2019,5th Quintile,Rural regions,Yes,0.01041,31,15565,0.00537,0.01614
61,61,2019,5th Quintile,Rural regions,No,0.98959,1100,15565,0.90408,1.09166
62,62,2020,1st Quintile,Urban regions,Yes,0.0242,52,16163,0.01498,0.03481
63,63,2020,1st Quintile,Urban regions,No,0.9758,2278,16163,0.92142,1.03328
64,64,2020,1st Quintile,Rural regions,No,1.0,1097,16163,0.92888,1.08026
65,65,2020,2nd Quintile,Urban regions,Yes,0.01685,47,16163,0.01248,0.02156
66,66,2020,2nd Quintile,Urban regions,No,0.98315,1998,16163,0.92633,1.03555
67,67,2020,2nd Quintile,Rural regions,No,1.0,1230,16163,0.93187,1.07926
68,68,2020,3rd Quintile,Urban regions,Yes,0.02922,71,16163,0.02112,0.03821
69,69,2020,3rd Quintile,Urban regions,No,0.97078,1844,16163,0.92462,1.02936
70,70,2020,3rd Quintile,Rural regions,No,1.0,1007,16163,0.93613,1.06524
71,71,2020,4th Quintile,Urban regions,Yes,0.02882,70,16163,0.02264,0.03617
72,72,2020,4th Quintile,Urban regions,No,0.97118,1831,16163,0.91901,1.02762
73,73,2020,4th Quintile,Rural regions,No,1.0,903,16163,0.94637,1.08304
74,74,2020,5th Quintile,Urban regions,Yes,0.03795,123,16163,0.03028,0.04783
75,75,2020,5th Quintile,Urban regions,No,0.96205,2631,16163,0.92009,1.00472
76,76,2020,5th Quintile,Rural regions,Yes,0.02883,33,16163,0.01846,0.04356
77,77,2020,5th Quintile,Rural regions,No,0.97117,948,16163,0.87625,1.07184
78,78,2021,1st Quintile,Urban regions,Yes,0.03773,40,10975,0.02258,0.05619
79,79,2021,1st Quintile,Urban regions,No,0.96227,1312,10975,0.90334,1.02543
80,80,2021,1st Quintile,Rural regions,No,1.0,697,10975,0.92219,1.10441
81,81,2021,2nd Quintile,Urban regions,Yes,0.01666,32,10975,0.01024,0.02173
82,82,2021,2nd Quintile,Urban regions,No,0.98334,1309,10975,0.9164,1.03679
83,83,2021,2nd Quintile,Rural regions,No,1.0,837,10975,0.91082,1.08631
84,84,2021,3rd Quintile,Urban regions,Yes,0.03165,53,10975,0.02267,0.04577
