"hlc0180","year","hhtyp","quintil","n","percent","lower_confidence","upper_confidence"
"ja","2016","1-Pers.- Haushalt","1","","","",""
"ja","2016","1-Pers.- Haushalt","2","","","",""
"ja","2016","1-Pers.- Haushalt","3","","","",""
"ja","2016","1-Pers.- Haushalt","4","","","",""
"ja","2016","1-Pers.- Haushalt","5","","","",""
"ja","2016","(Ehe-)Paar ohne Kind(er)","1","","","",""
"ja","2016","(Ehe-)Paar ohne Kind(er)","2","","","",""
"ja","2016","(Ehe-)Paar ohne Kind(er)","3","","","",""
"ja","2016","(Ehe-)Paar ohne Kind(er)","4","40","0.00986930944938796","0.0057609319322203","0.0139776869665556"
"ja","2016","(Ehe-)Paar ohne Kind(er)","5","102","0.0320638328147346","0.0260838991029921","0.0380437665264771"
"ja","2016","Alleinerziehende","1","","","",""
"ja","2016","Alleinerziehende","2","","","",""
"ja","2016","Alleinerziehende","3","","","",""
"ja","2016","Alleinerziehende","4","","","",""
"ja","2016","Alleinerziehende","5","","","",""
"ja","2016","Paar mit Kind(ern)","1","","","",""
"ja","2016","Paar mit Kind(ern)","2","84","0.0223270802496663","0.0174785590817801","0.0271756014175525"
"ja","2016","Paar mit Kind(ern)","3","114","0.0188860380063601","0.0145951485729225","0.0231769274397976"
"ja","2016","Paar mit Kind(ern)","4","200","0.0268948522062096","0.0225250340046933","0.0312646704077258"
"ja","2016","Paar mit Kind(ern)","5","311","0.0551939540313086","0.0488420262714238","0.0615458817911934"
"ja","2016","Sonstige","1","","","",""
"ja","2016","Sonstige","2","","","",""
"ja","2016","Sonstige","3","","","",""
"ja","2016","Sonstige","4","","","",""
"ja","2016","Sonstige","5","","","",""
"nein","2016","1-Pers.- Haushalt","1","580","0.988756856085741","0.980227471848379","0.997286240323103"
"nein","2016","1-Pers.- Haushalt","2","478","0.98824056225573","0.978636609243741","0.997844515267719"
"nein","2016","1-Pers.- Haushalt","3","593","0.993168628244859","0.986572332240071","0.999764924249647"
"nein","2016","1-Pers.- Haushalt","4","896","0.978656231515146","0.969286532788892","0.9880259302414"
"nein","2016","1-Pers.- Haushalt","5","780","0.981450078129097","0.972094301363912","0.990805854894283"
"nein","2016","(Ehe-)Paar ohne Kind(er)","1","486","0.987311490934823","0.977421453564976","0.997201528304669"
"nein","2016","(Ehe-)Paar ohne Kind(er)","2","732","0.991137459227063","0.984375602284878","0.997899316169248"
"nein","2016","(Ehe-)Paar ohne Kind(er)","3","1376","0.990238479123613","0.985069921842342","0.995407036404885"
"nein","2016","(Ehe-)Paar ohne Kind(er)","4","2184","0.990130690550612","0.986022313033444","0.99423906806778"
"nein","2016","(Ehe-)Paar ohne Kind(er)","5","3232","0.967936167185265","0.961956233473523","0.973916100897008"
