year,regtyp,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Yes,0.02282,262,9358,0.01980,0.02585
2016,Urban regions,No,0.97718,9096,9358,0.97415,0.98020
2016,Rural regions,Yes,0.01394,93,4918,0.01066,0.01722
2016,Rural regions,No,0.98606,4825,4918,0.98278,0.98934
2017,Urban regions,Yes,0.02198,296,10227,0.01914,0.02482
2017,Urban regions,No,0.97802,9931,10227,0.97518,0.98086
2017,Rural regions,Yes,0.01575,117,5425,0.01244,0.01907
2017,Rural regions,No,0.98425,5308,5425,0.98093,0.98756
2018,Urban regions,Yes,0.02303,286,10166,0.02011,0.02594
2018,Urban regions,No,0.97697,9880,10166,0.97406,0.97989
2018,Rural regions,Yes,0.01532,120,5269,0.01201,0.01864
2018,Rural regions,No,0.98468,5149,5269,0.98136,0.98799
2019,No answer / don't know,Yes,0.06755,33,467,0.04477,0.09034
2019,No answer / don't know,No,0.93245,434,467,0.90966,0.95523
2019,Urban regions,Yes,0.02487,336,10300,0.02187,0.02788
2019,Urban regions,No,0.97513,9964,10300,0.97212,0.97813
2019,Rural regions,Yes,0.01223,114,5351,0.00928,0.01517
2019,Rural regions,No,0.98777,5237,5351,0.98483,0.99072
2020,Urban regions,Yes,0.02781,364,10990,0.02474,0.03089
2020,Urban regions,No,0.97219,10626,10990,0.96911,0.97526
2020,Rural regions,Yes,0.01735,116,5285,0.01383,0.02087
2020,Rural regions,No,0.98265,5169,5285,0.97913,0.98617
2021,Urban regions,Yes,0.02729,264,7417,0.02358,0.03100
2021,Urban regions,No,0.97271,7153,7417,0.96900,0.97642
2021,Rural regions,Yes,0.02222,108,3653,0.01744,0.02700
2021,Rural regions,No,0.97778,3545,3653,0.97300,0.98256
2022,Urban regions,Yes,0.02839,458,13111,0.02555,0.03123
2022,Urban regions,No,0.97161,12653,13111,0.96877,0.97445
2022,Rural regions,Yes,0.02122,158,6040,0.01759,0.02486
2022,Rural regions,No,0.97878,5882,6040,0.97514,0.98241
