"hlc0180","year","sampreg","n","percent","lower_confidence","upper_confidence"
"ja","2016","Ostdeutschland","180","0.019381474172312","0.0161839633378571","0.0225789850067669"
"ja","2016","Westdeutschland","872","0.0234992051351734","0.0217730100687119","0.0252254002016349"
"nein","2016","Ostdeutschland","6961","0.980618525827688","0.977421014993233","0.983816036662143"
"nein","2016","Westdeutschland","28711","0.976500794864827","0.974774599798365","0.978226989931288"
"ja","2017","Ostdeutschland","218","0.0216147255817919","0.0183990134026768","0.0248304377609069"
"ja","2017","Westdeutschland","944","0.0235464768974034","0.0218765173190393","0.0252164364757674"
"nein","2017","Ostdeutschland","7638","0.978385274418208","0.975169562239093","0.981600986597323"
"nein","2017","Westdeutschland","30727","0.976453523102597","0.974783563524233","0.978123482680961"
"ja","2018","Ostdeutschland","211","0.0226012293353969","0.0192988093135856","0.0259036493572082"
"ja","2018","Westdeutschland","867","0.0229747199417354","0.0212939336543344","0.0246555062291365"
"nein","2018","Ostdeutschland","7570","0.977398770664603","0.974096350642792","0.980701190686414"
"nein","2018","Westdeutschland","29656","0.977025280058265","0.975344493770864","0.978706066345666"
"ja","2019","Ostdeutschland","245","0.0216031068911349","0.0184554364786487","0.0247507773036211"
"ja","2019","Westdeutschland","1100","0.0270074365818876","0.025208066862783","0.0288068063009921"
"nein","2019","Ostdeutschland","7950","0.978396893108865","0.975249222696379","0.981544563521351"
"nein","2019","Westdeutschland","30078","0.972992563418113","0.971193193699008","0.974791933137217"
"ja","2020","Ostdeutschland","245","0.0301390001486373","0.0263125338703551","0.0339654664269194"
"ja","2020","Westdeutschland","1048","0.0287576249411975","0.026898778042966","0.030616471839429"
"nein","2020","Ostdeutschland","7424","0.969860999851363","0.966034533573081","0.973687466129645"
"nein","2020","Westdeutschland","30004","0.971242375058803","0.969383528160571","0.973101221957034"
