,Unnamed: 0,year,hhtyp,sampreg,hlc0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Single-person household,West,Yes,0.01498,46,14132,0.01181,0.01872
1,1,2016,Single-person household,West,No,0.98502,2485,14132,0.95662,1.01249
2,2,2016,Single-person household,East,No,1.0,842,14132,0.94233,1.06207
3,3,2016,Couple without children,West,Yes,0.02002,66,14132,0.01441,0.02483
4,4,2016,Couple without children,West,No,0.97998,3013,14132,0.94691,1.013
5,5,2016,Couple without children,East,No,1.0,992,14132,0.94424,1.06024
6,6,2016,Single parent,West,No,1.0,1160,14132,0.93596,1.06769
7,7,2016,Single parent,East,No,1.0,330,14132,0.88504,1.1272
8,8,2016,Couple with children,West,Yes,0.03243,149,14132,0.0266,0.03993
9,9,2016,Couple with children,West,No,0.96757,4011,14132,0.92701,1.00319
10,10,2016,Couple with children,East,No,1.0,791,14132,0.91827,1.08792
11,11,2016,Multi-generational household,West,No,1.0,84,14132,0.7837,1.25348
12,12,2016,Other Combinations,West,No,1.0,163,14132,0.86228,1.13196
13,13,2017,Single-person household,West,Yes,0.0119,53,15544,0.00945,0.01534
14,14,2017,Single-person household,West,No,0.9881,2804,15544,0.96127,1.01457
15,15,2017,Single-person household,East,No,1.0,948,15544,0.95583,1.05082
16,16,2017,Couple without children,West,Yes,0.02139,82,15544,0.0172,0.02596
17,17,2017,Couple without children,West,No,0.97861,3392,15544,0.94838,1.00978
18,18,2017,Couple without children,East,No,1.0,1111,15544,0.95285,1.05617
19,19,2017,Single parent,West,No,1.0,1168,15544,0.9377,1.0736
20,20,2017,Single parent,East,No,1.0,334,15544,0.88026,1.13836
21,21,2017,Couple with children,West,Yes,0.03151,161,15544,0.02511,0.03785
22,22,2017,Couple with children,West,No,0.96849,4239,15544,0.93852,1.00796
23,23,2017,Couple with children,East,Yes,0.02863,34,15544,0.02086,0.03697
24,24,2017,Couple with children,East,No,0.97137,876,15544,0.89547,1.05905
25,25,2017,Multi-generational household,West,No,1.0,87,15544,0.7699,1.27322
26,26,2017,Other Combinations,West,No,1.0,220,15544,0.87812,1.12802
27,27,2017,Other Combinations,East,No,1.0,35,15544,0.77937,1.25215
28,28,2018,Single-person household,West,Yes,0.01714,71,15331,0.01396,0.02003
29,29,2018,Single-person household,West,No,0.98286,2928,15331,0.95381,1.01266
30,30,2018,Single-person household,East,No,1.0,1011,15331,0.94129,1.05665
31,31,2018,Couple without children,West,Yes,0.01891,82,15331,0.01498,0.0223
32,32,2018,Couple without children,West,No,0.98109,3331,15331,0.95255,1.0213
33,33,2018,Couple without children,East,Yes,0.03099,31,15331,0.02075,0.04554
34,34,2018,Couple without children,East,No,0.96901,1098,15331,0.91489,1.01605
35,35,2018,Single parent,West,No,1.0,1144,15331,0.9429,1.06935
36,36,2018,Single parent,East,No,1.0,331,15331,0.87382,1.12594
37,37,2018,Couple with children,West,Yes,0.03186,142,15331,0.02644,0.03814
38,38,2018,Couple with children,West,No,0.96814,3992,15331,0.93531,1.00496
39,39,2018,Couple with children,East,Yes,0.0272,31,15331,0.01898,0.03648
40,40,2018,Couple with children,East,No,0.9728,852,15331,0.89023,1.06244
41,41,2018,Multi-generational household,West,No,1.0,88,15331,0.78085,1.25634
42,42,2018,Other Combinations,West,No,1.0,199,15331,0.89481,1.11136
43,43,2019,Single-person household,West,Yes,0.01775,81,15973,0.01376,0.02238
44,44,2019,Single-person household,West,No,0.98225,3007,15973,0.95445,1.0176
45,45,2019,Single-person household,East,No,1.0,991,15973,0.94175,1.06754
46,46,2019,Couple without children,West,Yes,0.01755,81,15973,0.01413,0.02165
47,47,2019,Couple without children,West,No,0.98245,3738,15973,0.94448,1.02234
48,48,2019,Couple without children,East,Yes,0.02322,31,15973,0.01618,0.0317
49,49,2019,Couple without children,East,No,0.97678,1228,15973,0.91099,1.03997
50,50,2019,Single parent,West,Yes,0.02228,37,15973,0.01368,0.03395
51,51,2019,Single parent,West,No,0.97772,1051,15973,0.90571,1.04848
52,52,2019,Single parent,East,No,1.0,317,15973,0.90122,1.12295
53,53,2019,Couple with children,West,Yes,0.03969,183,15973,0.03126,0.04827
54,54,2019,Couple with children,West,No,0.96031,4021,15973,0.91739,1.00508
55,55,2019,Couple with children,East,Yes,0.02462,34,15973,0.01695,0.03299
56,56,2019,Couple with children,East,No,0.97538,907,15973,0.87621,1.06397
57,57,2019,Multi-generational household,West,No,1.0,78,15973,0.74304,1.31421
58,58,2019,Other Combinations,West,No,1.0,188,15973,0.85469,1.14441
59,59,2020,Single-person household,West,Yes,0.02195,86,16166,0.01723,0.02607
60,60,2020,Single-person household,West,No,0.97805,3481,16166,0.94269,1.01547
61,61,2020,Single-person household,East,No,1.0,1026,16166,0.93857,1.05546
62,62,2020,Couple without children,West,Yes,0.02114,106,16166,0.01638,0.02654
63,63,2020,Couple without children,West,No,0.97886,3738,16166,0.94347,1.02102
64,64,2020,Couple without children,East,No,1.0,1151,16166,0.93231,1.0724
65,65,2020,Single parent,West,No,1.0,1006,16166,0.91926,1.06742
66,66,2020,Single parent,East,No,1.0,294,16166,0.87161,1.15772
67,67,2020,Couple with children,West,Yes,0.03861,162,16166,0.0309,0.04581
68,68,2020,Couple with children,West,No,0.96139,3879,16166,0.91868,1.00654
69,69,2020,Couple with children,East,Yes,0.06618,43,16166,0.04027,0.1031
70,70,2020,Couple with children,East,No,0.93382,813,16166,0.85263,1.03557
71,71,2020,Multi-generational household,West,No,1.0,89,16166,0.73832,1.3068
72,72,2020,Other Combinations,West,No,1.0,251,16166,0.85952,1.1605
73,73,2020,Other Combinations,East,No,1.0,41,16166,0.73886,1.28783
74,74,2021,Single-person household,West,Yes,0.01754,68,10849,0.01244,0.02279
75,75,2021,Single-person household,West,No,0.98246,2419,10849,0.94796,1.01917
76,76,2021,Single-person household,East,No,1.0,689,10849,0.93378,1.07099
77,77,2021,Couple without children,West,Yes,0.02025,81,10849,0.01467,0.02788
78,78,2021,Couple without children,West,No,0.97975,2505,10849,0.9429,1.02666
79,79,2021,Couple without children,East,No,1.0,800,10849,0.90734,1.07931
80,80,2021,Single parent,West,No,1.0,636,10849,0.90503,1.10113
81,81,2021,Single parent,East,No,1.0,230,10849,0.85508,1.17341
82,82,2021,Couple with children,West,Yes,0.04348,123,10849,0.03455,0.05393
83,83,2021,Couple with children,West,No,0.95652,2477,10849,0.89909,1.02238
84,84,2021,Couple with children,East,No,1.0,520,10849,0.87586,1.13522
85,85,2021,Multi-generational household,West,No,1.0,57,10849,0.62658,1.47352
86,86,2021,Other Combinations,West,No,1.0,205,10849,0.84685,1.15202
87,87,2021,Other Combinations,East,No,1.0,39,10849,0.70053,1.36197
