year,regtyp,sampreg,hlc0180,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,Urban regions,West,Yes,0.02263,232,14246,0,0.01904,0,0.02579
2016,Urban regions,West,No,0.97737,7994,14246,0,0.95478,0,1.00558
2016,Urban regions,East,No,1.00000,1090,14246,0,0.93737,0,1.05644
2016,Rural regions,West,Yes,0.01395,60,14246,0,0.00999,0,0.01797
2016,Rural regions,West,No,0.98605,2922,14246,0,0.94312,0,1.02879
2016,Rural regions,East,Yes,0.01367,33,14246,0,0.00906,0,0.01995
2016,Rural regions,East,No,0.98633,1915,14246,0,0.94480,0,1.03196
2017,Urban regions,West,Yes,0.02074,251,15652,0,0.01776,0,0.02342
2017,Urban regions,West,No,0.97926,8726,15652,0,0.95918,0,1.00121
2017,Urban regions,East,Yes,0.03216,44,15652,0,0.02277,0,0.04153
2017,Urban regions,East,No,0.96784,1187,15652,0,0.90929,0,1.02807
2017,Rural regions,West,Yes,0.01773,79,15652,0,0.01270,0,0.02328
2017,Rural regions,West,No,0.98227,3184,15652,0,0.94427,0,1.02182
2017,Rural regions,East,Yes,0.01218,39,15652,0,0.00870,0,0.01596
2017,Rural regions,East,No,0.98782,2142,15652,0,0.94507,0,1.03316
2018,Urban regions,West,Yes,0.02263,248,15435,0,0.01970,0,0.02568
2018,Urban regions,West,No,0.97737,8653,15435,0,0.95803,0,0.99962
2018,Urban regions,East,Yes,0.02455,37,15435,0,0.01593,0,0.03701
2018,Urban regions,East,No,0.97545,1212,15435,0,0.91268,0,1.03492
2018,Rural regions,West,Yes,0.01562,79,15435,0,0.01259,0,0.01904
2018,Rural regions,West,No,0.98438,3029,15435,0,0.94925,0,1.02213
2018,Rural regions,East,Yes,0.01484,42,15435,0,0.01126,0,0.01931
2018,Rural regions,East,No,0.98516,2135,15435,0,0.94406,0,1.03431
2019,Urban regions,West,Yes,0.02523,296,15651,0,0.02169,0,0.02853
2019,Urban regions,West,No,0.97477,8720,15651,0,0.95221,0,0.99539
2019,Urban regions,East,Yes,0.02086,40,15651,0,0.01629,0,0.02620
2019,Urban regions,East,No,0.97914,1230,15651,0,0.90372,0,1.04284
2019,Rural regions,West,Yes,0.01160,70,15651,0,0.00795,0,0.01454
2019,Rural regions,West,No,0.98840,3043,15651,0,0.95091,0,1.03156
2019,Rural regions,East,Yes,0.01333,44,15651,0,0.00873,0,0.01838
2019,Rural regions,East,No,0.98667,2208,15651,0,0.93337,0,1.04266
2020,Urban regions,West,Yes,0.02786,315,16275,0,0.02478,0,0.03171
2020,Urban regions,West,No,0.97214,9360,16275,0,0.95174,0,0.99370
2020,Urban regions,East,Yes,0.02786,49,16275,0,0.01905,0,0.04215
2020,Urban regions,East,No,0.97214,1244,16275,0,0.90910,0,1.04069
2020,Rural regions,West,Yes,0.01784,75,16275,0,0.01358,0,0.02230
2020,Rural regions,West,No,0.98216,3084,16275,0,0.94686,0,1.01771
2020,Rural regions,East,Yes,0.01645,41,16275,0,0.01127,0,0.02347
2020,Rural regions,East,No,0.98355,2107,16275,0,0.93229,0,1.03522
2021,Urban regions,West,Yes,0.02548,232,11070,0,0.02112,0,0.02974
2021,Urban regions,West,No,0.97452,6276,11070,0,0.95048,0,1.00193
2021,Urban regions,East,Yes,0.04553,32,11070,0,0.02757,0,0.06527
2021,Urban regions,East,No,0.95447,868,11070,0,0.86896,0,1.03838
2021,Rural regions,West,Yes,0.02157,66,11070,0,0.01529,0,0.02880
2021,Rural regions,West,No,0.97843,2103,11070,0,0.92301,0,1.03609
2021,Rural regions,East,Yes,0.02302,42,11070,0,0.01484,0,0.03124
2021,Rural regions,East,No,0.97698,1451,11070,0,0.90227,0,1.06137
