year,hhtyp,hlc0180,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,Single-person household,Yes,0.01525,56,14271,0,0.01267,0,0.01863
2016,Single-person household,No,0.98475,3327,14271,0,0.96403,0,1.01087
2016,Couple without children,Yes,0.01886,84,14271,0,0.01481,0,0.02342
2016,Couple without children,No,0.98114,4005,14271,0,0.94845,0,1.00994
2016,Single parent,Yes,0.01763,33,14271,0,0.01207,0,0.02728
2016,Single parent,No,0.98237,1490,14271,0,0.93178,0,1.04515
2016,Couple with children,Yes,0.03142,177,14271,0,0.02489,0,0.03793
2016,Couple with children,No,0.96858,4802,14271,0,0.93128,0,1.01201
2016,Multi-generational household,No,1.00000,107,14271,0,0.77739,0,1.26078
2016,Other Combinations,No,1.00000,190,14271,0,0.87612,0,1.15802
2017,Single-person household,Yes,0.01326,74,15647,0,0.01027,0,0.01590
2017,Single-person household,No,0.98674,3752,15647,0,0.96216,0,1.00846
2017,Couple without children,Yes,0.02023,102,15647,0,0.01671,0,0.02401
2017,Couple without children,No,0.97977,4503,15647,0,0.95339,0,1.00556
2017,Single parent,Yes,0.02811,37,15647,0,0.01744,0,0.04096
2017,Single parent,No,0.97189,1502,15647,0,0.92458,0,1.02948
2017,Couple with children,Yes,0.03109,195,15647,0,0.02550,0,0.03614
2017,Couple with children,No,0.96891,5115,15647,0,0.93406,0,0.99969
2017,Multi-generational household,No,1.00000,112,15647,0,0.79433,0,1.29512
2017,Other Combinations,No,1.00000,255,15647,0,0.89251,0,1.10158
2018,Single-person household,Yes,0.01519,82,15432,0,0.01265,0,0.01820
2018,Single-person household,No,0.98481,3939,15432,0,0.96072,0,1.00420
2018,Couple without children,Yes,0.02106,113,15432,0,0.01732,0,0.02494
2018,Couple without children,No,0.97894,4429,15432,0,0.94713,0,1.01269
2018,Single parent,Yes,0.02180,35,15432,0,0.01176,0,0.03612
2018,Single parent,No,0.97820,1475,15432,0,0.92427,0,1.04085
2018,Couple with children,Yes,0.03116,173,15432,0,0.02590,0,0.03678
2018,Couple with children,No,0.96884,4844,15432,0,0.93692,0,0.99740
2018,Multi-generational household,No,1.00000,114,15432,0,0.80349,0,1.25827
2018,Other Combinations,No,1.00000,228,15432,0,0.86628,0,1.10056
2019,Single-person household,Yes,0.01650,101,16110,0,0.01342,0,0.02152
2019,Single-person household,No,0.98350,4033,16110,0,0.95711,0,1.01218
2019,Couple without children,Yes,0.01863,113,16110,0,0.01548,0,0.02204
2019,Couple without children,No,0.98137,4977,16110,0,0.95138,0,1.01228
2019,Single parent,Yes,0.02118,44,16110,0,0.01337,0,0.03005
2019,Single parent,No,0.97882,1373,16110,0,0.92424,0,1.03848
2019,Couple with children,Yes,0.03751,217,16110,0,0.03266,0,0.04383
2019,Couple with children,No,0.96249,4932,16110,0,0.92909,0,1.00170
2019,Multi-generational household,No,1.00000,103,16110,0,0.77736,0,1.26355
2019,Other Combinations,No,1.00000,217,16110,0,0.86046,0,1.14529
2020,Single-person household,Yes,0.01896,97,16266,0,0.01470,0,0.02268
2020,Single-person household,No,0.98104,4507,16266,0,0.95417,0,1.00561
2020,Couple without children,Yes,0.02024,131,16266,0,0.01639,0,0.02501
2020,Couple without children,No,0.97976,4889,16266,0,0.94246,0,1.01350
2020,Single parent,Yes,0.02096,38,16266,0,0.01377,0,0.02870
2020,Single parent,No,0.97904,1300,16266,0,0.91318,0,1.04764
2020,Couple with children,Yes,0.04263,205,16266,0,0.03616,0,0.05017
2020,Couple with children,No,0.95737,4692,16266,0,0.91785,0,0.99913
2020,Multi-generational household,No,1.00000,115,16266,0,0.74405,0,1.24635
2020,Other Combinations,No,1.00000,292,16266,0,0.85080,0,1.14582
2021,Single-person household,Yes,0.02014,90,10931,0,0.01565,0,0.02455
2021,Single-person household,No,0.97986,3108,10931,0,0.94885,0,1.01432
2021,Couple without children,Yes,0.02052,97,10931,0,0.01581,0,0.02715
2021,Couple without children,No,0.97948,3305,10931,0,0.93892,0,1.01873
2021,Single parent,No,1.00000,866,10931,0,0.92100,0,1.08440
2021,Couple with children,Yes,0.04407,150,10931,0,0.03654,0,0.05350
2021,Couple with children,No,0.95593,2997,10931,0,0.90915,0,1.00244
2021,Multi-generational household,No,1.00000,74,10931,0,0.68588,0,1.40972
2021,Other Combinations,No,1.00000,244,10931,0,0.87924,0,1.16297
