year,quintil_oecd_hh,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Yes,0.01095,33,3090,0.00728,0.01462
2016,1st Quintile,No,0.95922,3057,3090,0.95225,0.96620
2016,2nd Quintile,Yes,0.01467,56,3034,0.01039,0.01895
2016,2nd Quintile,No,0.98263,2978,3034,0.97798,0.98728
2016,3rd Quintile,Yes,0.01661,73,2741,0.01183,0.02140
2016,3rd Quintile,No,0.98154,2668,2741,0.97650,0.98658
2016,4th Quintile,Yes,0.01950,80,2656,0.01424,0.02476
2016,4th Quintile,No,0.97677,2576,2656,0.97104,0.98250
2016,5th Quintile,Yes,0.03759,113,2751,0.03048,0.04470
2016,5th Quintile,No,0.96166,2638,2751,0.95449,0.96884
2017,1st Quintile,Yes,0.01214,47,3198,0.00835,0.01594
2017,1st Quintile,No,0.95474,3151,3198,0.94754,0.96195
2017,2nd Quintile,Yes,0.01596,61,3231,0.01164,0.02029
2017,2nd Quintile,No,0.97937,3170,3231,0.97447,0.98427
2017,3rd Quintile,Yes,0.01670,76,3087,0.01218,0.02122
2017,3rd Quintile,No,0.98317,3011,3087,0.97864,0.98771
2017,4th Quintile,Yes,0.02378,108,3042,0.01836,0.02919
2017,4th Quintile,No,0.97490,2934,3042,0.96934,0.98046
2017,5th Quintile,Yes,0.03016,120,3090,0.02413,0.03619
2017,5th Quintile,No,0.96883,2970,3090,0.96271,0.97496
2018,1st Quintile,Yes,0.01471,54,3306,0.01061,0.01882
2018,1st Quintile,No,0.95349,3252,3306,0.94631,0.96067
2018,2nd Quintile,Yes,0.01227,55,3292,0.00851,0.01603
2018,2nd Quintile,No,0.98251,3237,3292,0.97803,0.98699
2018,3rd Quintile,Yes,0.02318,86,2942,0.01774,0.02862
2018,3rd Quintile,No,0.97598,2856,2942,0.97044,0.98151
2018,4th Quintile,Yes,0.02368,91,2879,0.01812,0.02923
2018,4th Quintile,No,0.97595,2788,2879,0.97036,0.98155
2018,5th Quintile,Yes,0.02857,120,3011,0.02262,0.03453
2018,5th Quintile,No,0.97085,2891,3011,0.96484,0.97686
2019,1st Quintile,Yes,0.01359,67,2942,0.00941,0.01778
2019,1st Quintile,No,0.94736,2875,2942,0.93929,0.95543
2019,2nd Quintile,Yes,0.01910,76,3031,0.01423,0.02397
2019,2nd Quintile,No,0.97799,2955,3031,0.97277,0.98322
2019,3rd Quintile,Yes,0.02364,89,2873,0.01808,0.02920
2019,3rd Quintile,No,0.97591,2784,2873,0.97030,0.98152
2019,4th Quintile,Yes,0.02769,104,2925,0.02174,0.03363
2019,4th Quintile,No,0.97213,2821,2925,0.96617,0.97810
2019,5th Quintile,Yes,0.02401,147,4343,0.01946,0.02857
2019,5th Quintile,No,0.97432,4196,4343,0.96962,0.97903
2020,1st Quintile,Yes,0.02210,71,3440,0.01719,0.02702
2020,1st Quintile,No,0.93068,3369,3440,0.92219,0.93917
2020,2nd Quintile,Yes,0.01268,64,3326,0.00887,0.01648
2020,2nd Quintile,No,0.97909,3262,3326,0.97422,0.98395
2020,3rd Quintile,Yes,0.02175,85,2878,0.01642,0.02708
2020,3rd Quintile,No,0.97466,2793,2878,0.96891,0.98040
2020,4th Quintile,Yes,0.02996,104,2861,0.02372,0.03621
2020,4th Quintile,No,0.96583,2757,2861,0.95917,0.97249
2020,5th Quintile,Yes,0.03457,155,3743,0.02871,0.04042
2020,5th Quintile,No,0.96215,3588,3743,0.95604,0.96826
2021,1st Quintile,Yes,0.02713,53,2041,0.02008,0.03417
2021,1st Quintile,No,0.92839,1988,2041,0.91720,0.93958
2021,2nd Quintile,Yes,0.01846,55,2179,0.01281,0.02412
2021,2nd Quintile,No,0.97051,2124,2179,0.96340,0.97761
2021,3rd Quintile,Yes,0.02915,74,2033,0.02184,0.03647
2021,3rd Quintile,No,0.96740,1959,2033,0.95968,0.97512
2021,4th Quintile,Yes,0.02303,79,2086,0.01659,0.02947
2021,4th Quintile,No,0.97605,2007,2086,0.96948,0.98261
2021,5th Quintile,Yes,0.02916,111,2713,0.02282,0.03549
2021,5th Quintile,No,0.96740,2602,2713,0.96072,0.97408
2022,1st Quintile,Yes,0.02282,129,4466,0.01844,0.02720
2022,1st Quintile,No,0.93522,4337,4466,0.92800,0.94244
2022,2nd Quintile,Yes,0.02307,102,3862,0.01833,0.02780
2022,2nd Quintile,No,0.95887,3760,3862,0.95260,0.96513
2022,3rd Quintile,Yes,0.02570,129,3386,0.02037,0.03103
2022,3rd Quintile,No,0.96685,3257,3386,0.96082,0.97288
2022,4th Quintile,Yes,0.02837,118,3415,0.02280,0.03394
2022,4th Quintile,No,0.96810,3297,3415,0.96221,0.97400
2022,5th Quintile,Yes,0.02928,135,3824,0.02393,0.03462
2022,5th Quintile,No,0.96612,3689,3824,0.96039,0.97186
