year,regtyp,rentown,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Owner,Yes,0.02266,123,3763,0.01790,0.02741
2016,Urban regions,Owner,No,0.97734,3640,3763,0.97259,0.98210
2016,Urban regions,Tenant,Yes,0.02295,139,5594,0.01902,0.02687
2016,Urban regions,Tenant,No,0.97705,5455,5594,0.97313,0.98098
2016,Rural regions,Owner,Yes,0.01618,61,2526,0.01126,0.02110
2016,Rural regions,Owner,No,0.98382,2465,2526,0.97890,0.98874
2016,Rural regions,Tenant,Yes,0.01146,32,2392,0.00720,0.01573
2016,Rural regions,Tenant,No,0.98854,2360,2392,0.98427,0.99280
2017,Urban regions,Owner,Yes,0.02110,138,4251,0.01678,0.02542
2017,Urban regions,Owner,No,0.97890,4113,4251,0.97458,0.98322
2017,Urban regions,Tenant,Yes,0.02267,158,5976,0.01890,0.02645
2017,Urban regions,Tenant,No,0.97733,5818,5976,0.97355,0.98110
2017,Rural regions,Owner,Yes,0.02006,66,2801,0.01487,0.02525
2017,Rural regions,Owner,No,0.97994,2735,2801,0.97475,0.98513
2017,Rural regions,Tenant,Yes,0.01105,51,2624,0.00705,0.01505
2017,Rural regions,Tenant,No,0.98895,2573,2624,0.98495,0.99295
2018,Urban regions,Owner,Yes,0.02148,108,4070,0.01702,0.02593
2018,Urban regions,Owner,No,0.97852,3962,4070,0.97407,0.98298
2018,Urban regions,Tenant,Yes,0.02426,178,6096,0.02040,0.02812
2018,Urban regions,Tenant,No,0.97574,5918,6096,0.97188,0.97960
2018,Rural regions,Owner,Yes,0.01851,76,2677,0.01340,0.02362
2018,Rural regions,Owner,No,0.98149,2601,2677,0.97638,0.98660
2018,Rural regions,Tenant,Yes,0.01183,44,2592,0.00767,0.01599
2018,Rural regions,Tenant,No,0.98817,2548,2592,0.98401,0.99233
2019,No answer / don't know,Owner,No,0.95416,150,150,0.92058,0.98774
2019,No answer / don't know,Tenant,No,0.92090,284,284,0.88946,0.95235
2019,Urban regions,Owner,Yes,0.02211,151,4720,0.01792,0.02631
2019,Urban regions,Owner,No,0.97789,4569,4720,0.97369,0.98208
2019,Urban regions,Tenant,Yes,0.02710,185,5580,0.02284,0.03136
2019,Urban regions,Tenant,No,0.97290,5395,5580,0.96864,0.97716
2019,Rural regions,Owner,Yes,0.01103,74,2988,0.00728,0.01477
2019,Rural regions,Owner,No,0.98897,2914,2988,0.98523,0.99272
2019,Rural regions,Tenant,Yes,0.01354,40,2363,0.00888,0.01821
2019,Rural regions,Tenant,No,0.98646,2323,2363,0.98179,0.99112
2020,Urban regions,Owner,Yes,0.02276,149,4270,0.01828,0.02723
2020,Urban regions,Owner,No,0.97724,4121,4270,0.97277,0.98172
2020,Urban regions,Tenant,Yes,0.03184,215,6720,0.02764,0.03604
2020,Urban regions,Tenant,No,0.96816,6505,6720,0.96396,0.97236
2020,Rural regions,Owner,Yes,0.01986,69,2674,0.01457,0.02515
2020,Rural regions,Owner,No,0.98014,2605,2674,0.97485,0.98543
2020,Rural regions,Tenant,Yes,0.01458,47,2611,0.00998,0.01918
2020,Rural regions,Tenant,No,0.98542,2564,2611,0.98082,0.99002
2021,Urban regions,Owner,Yes,0.02305,112,3119,0.01779,0.02832
2021,Urban regions,Owner,No,0.97695,3007,3119,0.97168,0.98221
2021,Urban regions,Tenant,Yes,0.03076,152,4295,0.02559,0.03592
2021,Urban regions,Tenant,No,0.96924,4143,4295,0.96408,0.97441
2021,Rural regions,Owner,Yes,0.01911,62,1953,0.01303,0.02518
2021,Rural regions,Owner,No,0.98089,1891,1953,0.97482,0.98697
2021,Rural regions,Tenant,Yes,0.02567,46,1699,0.01814,0.03319
2021,Rural regions,Tenant,No,0.97433,1653,1699,0.96681,0.98186
2022,Urban regions,Owner,Yes,0.02773,181,4662,0.02302,0.03245
2022,Urban regions,Owner,No,0.97227,4481,4662,0.96755,0.97698
2022,Urban regions,Tenant,Yes,0.02899,277,8441,0.02541,0.03256
2022,Urban regions,Tenant,No,0.97101,8164,8441,0.96744,0.97459
2022,Rural regions,Owner,Yes,0.01968,90,3139,0.01482,0.02454
2022,Rural regions,Owner,No,0.98032,3049,3139,0.97546,0.98518
2022,Rural regions,Tenant,Yes,0.02307,68,2895,0.01760,0.02854
2022,Rural regions,Tenant,No,0.97693,2827,2895,0.97146,0.98240
