year,sex,plh0034,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,Very concerned,0.41326,4318,8546,0.40282,0.42370
2009,male,Somewhat concerned,0.33273,3413,8546,0.32274,0.34272
2009,male,Not concerned at all,0.08291,815,8546,0.07706,0.08876
2009,female,Very concerned,0.40170,4400,9313,0.39175,0.41166
2009,female,Somewhat concerned,0.35306,4015,9313,0.34335,0.36277
2009,female,Not concerned at all,0.08322,898,9313,0.07761,0.08883
2010,male,Very concerned,0.30239,3194,7892,0.29225,0.31252
2010,male,Somewhat concerned,0.35306,3722,7892,0.34252,0.36361
2010,male,Not concerned at all,0.10559,976,7892,0.09880,0.11237
2010,female,Very concerned,0.27661,3152,8620,0.26717,0.28605
2010,female,Somewhat concerned,0.37658,4334,8620,0.36635,0.38681
2010,female,Not concerned at all,0.09800,1134,8620,0.09172,0.10428
2011,male,Very concerned,0.24772,3203,9643,0.23910,0.25634
2011,male,Somewhat concerned,0.38310,4899,9643,0.37340,0.39281
2011,male,Not concerned at all,0.12244,1541,9643,0.11590,0.12898
2011,female,Very concerned,0.21754,3091,10750,0.20974,0.22534
2011,female,Somewhat concerned,0.39960,5710,10750,0.39034,0.40886
2011,female,Not concerned at all,0.13368,1949,10750,0.12725,0.14011
2012,male,Very concerned,0.30909,3942,9585,0.29984,0.31834
2012,male,Somewhat concerned,0.35061,4373,9585,0.34105,0.36016
2012,male,Not concerned at all,0.10373,1270,9585,0.09762,0.10983
2012,female,Very concerned,0.26562,3832,10721,0.25726,0.27398
2012,female,Somewhat concerned,0.38314,5301,10721,0.37394,0.39234
2012,female,Not concerned at all,0.11078,1588,10721,0.10484,0.11672
2013,male,Very concerned,0.23112,2898,8783,0.22230,0.23993
2013,male,Somewhat concerned,0.35236,4447,8783,0.34236,0.36235
2013,male,Not concerned at all,0.11883,1438,8783,0.11206,0.12560
2013,female,Very concerned,0.21195,2939,9936,0.20392,0.21999
2013,female,Somewhat concerned,0.37056,5236,9936,0.36106,0.38005
2013,female,Not concerned at all,0.12342,1761,9936,0.11695,0.12989
2014,male,Very concerned,0.19097,2817,12321,0.18403,0.19791
2014,male,Somewhat concerned,0.43738,6446,12321,0.42862,0.44614
2014,male,Not concerned at all,0.20201,3058,12321,0.19492,0.20910
2014,female,Very concerned,0.17676,2915,14373,0.17052,0.18300
2014,female,Somewhat concerned,0.45748,7813,14373,0.44933,0.46562
2014,female,Not concerned at all,0.19862,3645,14373,0.19210,0.20514
2019,male,Very concerned,0.17200,2672,12123,0.16528,0.17871
2019,male,Somewhat concerned,0.43306,6445,12123,0.42424,0.44188
2019,male,Not concerned at all,0.20836,3006,12123,0.20113,0.21559
2019,female,Very concerned,0.15708,2427,13137,0.15085,0.16330
2019,female,Somewhat concerned,0.45222,7203,13137,0.44371,0.46074
2019,female,Not concerned at all,0.21198,3507,13137,0.20499,0.21897
