year,regtyp,rentown,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Owner,Yes,0.02636,113,3764,0.02124,0.03148
2016,Urban regions,Owner,No,0.97087,3651,3764,0.96549,0.97624
2016,Urban regions,Tenant,Yes,0.01429,90,5595,0.01118,0.01740
2016,Urban regions,Tenant,No,0.98357,5505,5595,0.98024,0.98690
2016,Rural regions,Owner,Yes,0.02132,65,2526,0.01569,0.02695
2016,Rural regions,Owner,No,0.97718,2461,2526,0.97135,0.98300
2016,Rural regions,Tenant,Yes,0.01503,36,2391,0.01015,0.01991
2016,Rural regions,Tenant,No,0.98032,2355,2391,0.97475,0.98588
2017,Urban regions,Owner,Yes,0.03188,157,4253,0.02660,0.03716
2017,Urban regions,Owner,No,0.96665,4096,4253,0.96125,0.97204
2017,Urban regions,Tenant,Yes,0.01454,88,5978,0.01151,0.01758
2017,Urban regions,Tenant,No,0.97616,5890,5978,0.97229,0.98002
2017,Rural regions,Owner,Yes,0.03142,82,2801,0.02496,0.03788
2017,Rural regions,Owner,No,0.96645,2719,2801,0.95978,0.97312
2017,Rural regions,Tenant,Yes,0.02334,45,2625,0.01756,0.02911
2017,Rural regions,Tenant,No,0.96605,2580,2625,0.95912,0.97298
2018,Urban regions,Owner,Yes,0.03589,158,4070,0.03017,0.04161
2018,Urban regions,Owner,No,0.96243,3912,4070,0.95659,0.96827
2018,Urban regions,Tenant,Yes,0.01424,92,6093,0.01126,0.01721
2018,Urban regions,Tenant,No,0.97049,6001,6093,0.96624,0.97474
2018,Rural regions,Owner,Yes,0.02688,72,2677,0.02075,0.03301
2018,Rural regions,Owner,No,0.97232,2605,2677,0.96611,0.97854
2018,Rural regions,Tenant,No,0.97821,2567,2567,0.97256,0.98386
2019,Urban regions,Owner,Yes,0.02916,185,4720,0.02436,0.03396
2019,Urban regions,Owner,No,0.96991,4535,4720,0.96503,0.97478
2019,Urban regions,Tenant,Yes,0.01552,95,5582,0.01227,0.01876
2019,Urban regions,Tenant,No,0.96743,5487,5582,0.96277,0.97208
2019,Rural regions,Owner,Yes,0.03111,84,2988,0.02488,0.03734
2019,Rural regions,Owner,No,0.96660,2904,2988,0.96015,0.97304
2019,Rural regions,Tenant,Yes,0.01056,31,2361,0.00643,0.01468
2019,Rural regions,Tenant,No,0.97395,2330,2361,0.96752,0.98038
2020,Urban regions,Owner,Yes,0.03377,167,4269,0.02835,0.03919
2020,Urban regions,Owner,No,0.96146,4102,4269,0.95568,0.96724
2020,Urban regions,Tenant,Yes,0.01588,102,6718,0.01289,0.01887
2020,Urban regions,Tenant,No,0.96305,6616,6718,0.95854,0.96757
2020,Rural regions,Owner,Yes,0.04002,105,2673,0.03259,0.04746
2020,Rural regions,Owner,No,0.95209,2568,2673,0.94399,0.96019
2020,Rural regions,Tenant,No,0.96815,2585,2585,0.96138,0.97492
2021,Urban regions,Owner,Yes,0.03628,134,3118,0.02971,0.04284
2021,Urban regions,Owner,No,0.96125,2984,3118,0.95447,0.96802
2021,Urban regions,Tenant,Yes,0.01532,90,4292,0.01165,0.01900
2021,Urban regions,Tenant,No,0.95961,4202,4292,0.95371,0.96550
2021,Rural regions,Owner,Yes,0.02774,67,1952,0.02045,0.03503
2021,Rural regions,Owner,No,0.96920,1885,1952,0.96154,0.97687
2021,Rural regions,Tenant,Yes,0.01482,31,1697,0.00907,0.02057
2021,Rural regions,Tenant,No,0.97136,1666,1697,0.96342,0.97930
2022,Urban regions,Owner,Yes,0.04260,220,4667,0.03680,0.04839
2022,Urban regions,Owner,No,0.95305,4447,4667,0.94698,0.95912
2022,Urban regions,Tenant,Yes,0.02131,186,8441,0.01823,0.02439
2022,Urban regions,Tenant,No,0.95285,8255,8441,0.94833,0.95737
2022,Rural regions,Owner,Yes,0.02877,108,3136,0.02291,0.03462
2022,Rural regions,Owner,No,0.96673,3028,3136,0.96045,0.97301
2022,Rural regions,Tenant,Yes,0.01257,61,2894,0.00851,0.01663
2022,Rural regions,Tenant,No,0.96832,2833,2894,0.96194,0.97470
