,Unnamed: 0,year,regtyp,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,Urban regions,Yes,0.66511,2794,6471,0.6484,0.68241
1,1,1992,Urban regions,No,0.33489,1524,6471,0.3222,0.34834
2,2,1992,Rural regions,Yes,0.63239,1412,6471,0.61002,0.65424
3,3,1992,Rural regions,No,0.36761,741,6471,0.34564,0.38936
4,4,1993,Urban regions,Yes,0.66811,2810,6473,0.6499,0.68371
5,5,1993,Urban regions,No,0.33189,1489,6473,0.31885,0.34418
6,6,1993,Rural regions,Yes,0.65586,1459,6473,0.63829,0.6775
7,7,1993,Rural regions,No,0.34414,715,6473,0.32579,0.36375
8,8,1994,Urban regions,Yes,0.66031,2743,6417,0.64391,0.67613
9,9,1994,Urban regions,No,0.33969,1519,6417,0.32632,0.35315
10,10,1994,Rural regions,Yes,0.67168,1487,6417,0.64794,0.69626
11,11,1994,Rural regions,No,0.32832,668,6417,0.31013,0.34823
12,12,1995,Urban regions,Yes,0.64505,2776,6609,0.625,0.66292
13,13,1995,Urban regions,No,0.35495,1609,6609,0.33841,0.36726
14,14,1995,Rural regions,Yes,0.68535,1531,6609,0.66057,0.70867
15,15,1995,Rural regions,No,0.31465,693,6609,0.29767,0.33376
16,16,1996,Urban regions,Yes,0.64277,2683,6541,0.62609,0.66618
17,17,1996,Urban regions,No,0.35723,1646,6541,0.34341,0.37123
18,18,1996,Rural regions,Yes,0.68405,1531,6541,0.66029,0.71279
19,19,1996,Rural regions,No,0.31595,681,6541,0.29673,0.3384
20,20,1997,Urban regions,Yes,0.64586,2661,6483,0.62887,0.66147
21,21,1997,Urban regions,No,0.35414,1624,6483,0.34125,0.36953
22,22,1997,Rural regions,Yes,0.66462,1498,6483,0.64145,0.68909
23,23,1997,Rural regions,No,0.33538,700,6483,0.3144,0.359
24,24,1998,Urban regions,Yes,0.62847,2967,7313,0.61404,0.64298
25,25,1998,Urban regions,No,0.37153,1867,7313,0.35968,0.38332
26,26,1998,Rural regions,Yes,0.65763,1652,7313,0.63677,0.67697
27,27,1998,Rural regions,No,0.34237,827,7313,0.32286,0.36465
