year,rentown,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1992,Owner,Yes,0.72942,1649,6530,0,0.71131,0,0.74704
1992,Owner,No,0.27058,657,6530,0,0.25623,0,0.28573
1992,Tenant,Yes,0.61083,2601,6530,0,0.59436,0,0.63063
1992,Tenant,No,0.38917,1623,6530,0,0.37238,0,0.40589
1993,Owner,Yes,0.73047,1643,6473,0,0.71262,0,0.75119
1993,Owner,No,0.26953,641,6473,0,0.25741,0,0.28182
1993,Tenant,Yes,0.62252,2626,6473,0,0.60322,0,0.63861
1993,Tenant,No,0.37748,1563,6473,0,0.36269,0,0.39330
1994,Owner,Yes,0.73486,1679,6414,0,0.71539,0,0.75259
1994,Owner,No,0.26514,614,6414,0,0.25116,0,0.28024
1994,Tenant,Yes,0.61845,2549,6414,0,0.60108,0,0.63664
1994,Tenant,No,0.38155,1572,6414,0,0.36841,0,0.39686
1995,Owner,Yes,0.73882,1717,6609,0,0.71892,0,0.75899
1995,Owner,No,0.26118,608,6609,0,0.24575,0,0.27641
1995,Tenant,Yes,0.60428,2590,6609,0,0.58839,0,0.62533
1995,Tenant,No,0.39572,1694,6609,0,0.37874,0,0.41272
1996,Owner,Yes,0.73764,1725,6541,0,0.71663,0,0.76225
1996,Owner,No,0.26236,640,6541,0,0.24755,0,0.27556
1996,Tenant,Yes,0.59986,2489,6541,0,0.57741,0,0.61723
1996,Tenant,No,0.40014,1687,6541,0,0.38103,0,0.41477
1997,Owner,Yes,0.72178,1728,6484,0,0.69637,0,0.74581
1997,Owner,No,0.27822,683,6484,0,0.26301,0,0.29520
1997,Tenant,Yes,0.60338,2431,6484,0,0.58404,0,0.62290
1997,Tenant,No,0.39662,1642,6484,0,0.38180,0,0.41414
1998,Owner,Yes,0.74143,2070,7313,0,0.72069,0,0.76046
1998,Owner,No,0.25857,778,7313,0,0.24549,0,0.27101
1998,Tenant,Yes,0.56596,2549,7313,0,0.54915,0,0.58085
1998,Tenant,No,0.43404,1916,7313,0,0.41903,0,0.44959
1999,Owner,Yes,0.73995,2060,7049,0,0.71870,0,0.76273
1999,Owner,No,0.26005,765,7049,0,0.24795,0,0.27291
1999,Tenant,Yes,0.56884,2406,7049,0,0.55131,0,0.58314
1999,Tenant,No,0.43116,1818,7049,0,0.41579,0,0.44974
2000,Owner,Yes,0.72992,4095,12745,0,0.71814,0,0.74305
2000,Owner,No,0.27008,1608,12745,0,0.26314,0,0.27751
2000,Tenant,Yes,0.57861,4077,12745,0,0.56737,0,0.58952
2000,Tenant,No,0.42139,2965,12745,0,0.41224,0,0.43100
2001,Owner,Yes,0.74801,3814,11498,0,0.73455,0,0.75928
2001,Owner,No,0.25199,1354,11498,0,0.24523,0,0.26045
2001,Tenant,Yes,0.59023,3727,11498,0,0.57747,0,0.60205
2001,Tenant,No,0.40977,2603,11498,0,0.40024,0,0.42061
2002,Owner,Yes,0.69854,4109,12001,0,0.68061,0,0.71420
2002,Owner,No,0.30146,1603,12001,0,0.29173,0,0.31096
2002,Tenant,Yes,0.54460,3531,12001,0,0.53225,0,0.55723
2002,Tenant,No,0.45540,2758,12001,0,0.44336,0,0.46598
