"hlc0119_h","year","n","percent","lower_confidence","upper_confidence"
"Ja","1992","11407","0.664142693130749","0.657173898493539","0.671111487767959"
"Nein","1992","6237","0.335857306869251","0.328888512232041","0.342826101506461"
"Ja","1993","11301","0.671076816822683","0.664068751200054","0.678084882445313"
"Nein","1993","5964","0.328923183177317","0.321915117554687","0.335931248799946"
"Ja","1994","11080","0.670124671398419","0.663041357731068","0.67720798506577"
"Nein","1994","5845","0.329875328601581","0.32279201493423","0.336958642268932"
"Ja","1995","11285","0.662645771436683","0.655638292302169","0.669653250571197"
"Nein","1995","6203","0.337354228563317","0.330346749428803","0.344361707697831"
"Ja","1996","10932","0.658010898608423","0.650906454227364","0.665115342989482"
"Nein","1996","6195","0.341989101391577","0.334884657010518","0.349093545772636"
"Ja","1997","10698","0.650497517589049","0.643300469890652","0.657694565287446"
"Nein","1997","6163","0.349502482410951","0.342305434712554","0.356699530109348"
"Ja","1998","11558","0.640408219025938","0.633490734484708","0.647325703567167"
"Nein","1998","6929","0.359591780974062","0.352674296432833","0.366509265515292"
"Ja","1999","11191","0.642972004772564","0.635922521946912","0.650021487598217"
"Nein","1999","6554","0.357027995227436","0.349978512401783","0.364077478053088"
"Ja","2000","19911","0.639886067501942","0.634568760720192","0.645203374283693"
"Nein","2000","11397","0.360113932498058","0.354796625716307","0.365431239279808"
"Ja","2001","18288","0.650968026119651","0.645413734195293","0.656522318044009"
"Nein","2001","10004","0.349031973880349","0.343477681955991","0.354586265804707"
"Ja","2002","18742","0.603206585894833","0.597629545434878","0.608783626354789"
"Nein","2002","10819","0.396793414105167","0.391216373645211","0.402370454565122"
"Ja","2003","17824","0.600320040095054","0.594624370404698","0.606015709785411"
"Nein","2003","10588","0.399679959904946","0.393984290214589","0.405375629595302"
"Ja","2004","16946","0.588194077207449","0.582382817793339","0.594005336621559"
"Nein","2004","10607","0.411805922792551","0.405994663378441","0.417617182206661"
"Ja","2005","16663","0.603071823136116","0.597163164044918","0.608980482227314"
"Nein","2005","9676","0.396928176863884","0.391019517772686","0.402836835955082"
"Ja","2006","17290","0.572553497714201","0.566793428009757","0.578313567418644"
"Nein","2006","11046","0.427446502285799","0.421686432581356","0.433206571990243"
"Ja","2007","16650","0.596289423134561","0.590363087029875","0.602215759239248"
"Nein","2007","9680","0.403710576865439","0.397784240760752","0.409636912970126"
"Ja","2008","15516","0.60250632703106","0.596379937129901","0.60863271693222"
"Nein","2008","8996","0.39749367296894","0.39136728306778","0.403620062870099"
"Ja","2009","14458","0.60498789444576","0.598660366399222","0.611315422492298"
"Nein","2009","8471","0.39501210555424","0.388684577507702","0.401339633600778"
"Ja","2010","20424","0.589912654428222","0.584914310062677","0.594910998793768"
"Nein","2010","16773","0.410087345571778","0.405089001206232","0.415085689937323"
"Ja","2011","25060","0.619649859295322","0.615087878468101","0.624211840122542"
"Nein","2011","18443","0.380350140704678","0.375788159877458","0.384912121531899"
"Ja","2012","24563","0.621950771783255","0.617316834491625","0.626584709074885"
"Nein","2012","17500","0.378049228216745","0.373415290925115","0.382683165508375"
"Ja","2013","26728","0.61993320129955","0.615552763000929","0.624313639598172"
"Nein","2013","20442","0.38006679870045","0.375686360401828","0.384447236999071"
"Ja","2014","24079","0.624741575475473","0.620068031644405","0.62941511930654"
"Nein","2014","17153","0.375258424524527","0.37058488069346","0.379931968355595"
"Ja","2015","23991","0.623713036544481","0.619002721494586","0.628423351594376"
"Nein","2015","16644","0.376286963455519","0.371576648405624","0.380997278505414"
"Ja","2016","22180","0.633754338571426","0.62881215774246","0.638696519400392"
"Nein","2016","14325","0.366245661428574","0.361303480599608","0.37118784225754"
"Ja","2017","24975","0.650995190126258","0.646278913656638","0.655711466595878"
"Nein","2017","14263","0.349004809873742","0.344288533404122","0.353721086343362"
"Ja","2018","24700","0.674106753149543","0.669395912998868","0.678817593300218"
"Nein","2018","13328","0.325893246850457","0.321182406699782","0.330604087001132"
"Ja","2019","27817","0.709077313861037","0.704574901266034","0.71357972645604"
"Nein","2019","11274","0.290922686138963","0.28642027354396","0.295425098733966"
"Ja","2020","25762","0.69811250862654","0.693508202223124","0.702716815029956"
"Nein","2020","12427","0.30188749137346","0.297283184970044","0.306491797776877"
