,Unnamed: 0,year,bula_h,hhtyp,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,Schleswig-Holstein,Couple with children,Yes,1.0,36,5427,0.87139,1.13266
1,1,1992,Lower Saxony,Single-person household,Yes,0.6394,69,5427,0.57872,0.71122
2,2,1992,Lower Saxony,Single-person household,No,0.3606,38,5427,0.31345,0.40907
3,3,1992,Lower Saxony,Couple without children,Yes,0.7665,107,5427,0.71097,0.82114
4,4,1992,Lower Saxony,Couple without children,No,0.2335,31,5427,0.20426,0.26539
5,5,1992,Lower Saxony,Couple with children,Yes,0.65053,125,5427,0.59492,0.70729
6,6,1992,Lower Saxony,Couple with children,No,0.34947,60,5427,0.30127,0.39877
7,7,1992,North Rhine-Westphalia,Single-person household,Yes,0.58848,149,5427,0.56047,0.62601
8,8,1992,North Rhine-Westphalia,Single-person household,No,0.41152,115,5427,0.37453,0.4398
9,9,1992,North Rhine-Westphalia,Couple without children,Yes,0.74992,238,5427,0.69687,0.80261
10,10,1992,North Rhine-Westphalia,Couple without children,No,0.25008,78,5427,0.20858,0.28581
11,11,1992,North Rhine-Westphalia,Single parent,No,1.0,37,5427,0.78325,1.26209
12,12,1992,North Rhine-Westphalia,Couple with children,Yes,0.65467,322,5427,0.61901,0.70056
13,13,1992,North Rhine-Westphalia,Couple with children,No,0.34533,211,5427,0.3169,0.38218
14,14,1992,Hesse,Single-person household,Yes,0.60791,49,5427,0.51265,0.6899
15,15,1992,Hesse,Single-person household,No,0.39209,33,5427,0.32967,0.45347
16,16,1992,Hesse,Couple without children,Yes,0.74759,100,5427,0.68154,0.81799
17,17,1992,Hesse,Couple without children,No,0.25241,36,5427,0.19231,0.30956
18,18,1992,Hesse,Couple with children,Yes,0.73411,129,5427,0.63995,0.82761
19,19,1992,Hesse,Couple with children,No,0.26589,66,5427,0.19718,0.33225
20,20,1992,"Rhineland-Palatinate, Saarland",Single-person household,Yes,1.0,38,5427,0.88516,1.10803
21,21,1992,"Rhineland-Palatinate, Saarland",Couple without children,Yes,0.60948,58,5427,0.54365,0.68005
22,22,1992,"Rhineland-Palatinate, Saarland",Couple without children,No,0.39052,34,5427,0.3411,0.44381
23,23,1992,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.66889,84,5427,0.604,0.74441
24,24,1992,"Rhineland-Palatinate, Saarland",Couple with children,No,0.33111,44,5427,0.26978,0.39457
25,25,1992,Baden-Wuerttemberg,Single-person household,Yes,0.56467,84,5427,0.50812,0.63213
26,26,1992,Baden-Wuerttemberg,Single-person household,No,0.43533,58,5427,0.36259,0.50308
27,27,1992,Baden-Wuerttemberg,Couple without children,Yes,0.77802,145,5427,0.70626,0.84567
28,28,1992,Baden-Wuerttemberg,Couple without children,No,0.22198,48,5427,0.17468,0.28122
29,29,1992,Baden-Wuerttemberg,Couple with children,Yes,0.71407,249,5427,0.6552,0.78014
30,30,1992,Baden-Wuerttemberg,Couple with children,No,0.28593,138,5427,0.23872,0.33856
31,31,1992,Bavaria,Single-person household,Yes,0.61742,107,5427,0.56755,0.66726
32,32,1992,Bavaria,Single-person household,No,0.38258,69,5427,0.3376,0.42787
33,33,1992,Bavaria,Couple without children,Yes,0.74307,156,5427,0.67565,0.79717
34,34,1992,Bavaria,Couple without children,No,0.25693,58,5427,0.21914,0.29615
35,35,1992,Bavaria,Single parent,No,1.0,31,5427,0.80531,1.21864
36,36,1992,Bavaria,Couple with children,Yes,0.69529,225,5427,0.65144,0.74715
37,37,1992,Bavaria,Couple with children,No,0.30471,118,5427,0.26544,0.34367
38,38,1992,Berlin,Single-person household,Yes,0.60883,49,5427,0.53948,0.67575
39,39,1992,Berlin,Single-person household,No,0.39117,43,5427,0.33033,0.45368
40,40,1992,Berlin,Couple without children,Yes,1.0,54,5427,0.86716,1.13417
41,41,1992,Berlin,Couple with children,Yes,0.67575,77,5427,0.59862,0.74721
42,42,1992,Berlin,Couple with children,No,0.32425,45,5427,0.24656,0.42457
43,43,1992,Brandenburg,Single-person household,Yes,1.0,32,5427,0.91356,1.09963
44,44,1992,Brandenburg,Couple without children,Yes,1.0,57,5427,0.93079,1.07543
45,45,1992,Brandenburg,Couple with children,Yes,0.74112,120,5427,0.70186,0.79143
46,46,1992,Brandenburg,Couple with children,No,0.25888,40,5427,0.22725,0.30074
47,47,1992,Mecklenburg-Western Pomerania,Couple without children,Yes,1.0,34,5427,0.88846,1.11126
48,48,1992,Mecklenburg-Western Pomerania,Couple with children,Yes,0.69012,73,5427,0.63721,0.74499
49,49,1992,Mecklenburg-Western Pomerania,Couple with children,No,0.30988,32,5427,0.27472,0.34935
50,50,1992,Saxony,Single-person household,Yes,0.62313,52,5427,0.56597,0.67611
51,51,1992,Saxony,Single-person household,No,0.37687,34,5427,0.32779,0.41735
52,52,1992,Saxony,Couple without children,Yes,0.75975,113,5427,0.70672,0.81063
53,53,1992,Saxony,Couple without children,No,0.24025,37,5427,0.21628,0.26651
54,54,1992,Saxony,Couple with children,Yes,0.711,201,5427,0.68064,0.7394
55,55,1992,Saxony,Couple with children,No,0.289,71,5427,0.26752,0.31252
56,56,1992,Saxony-Anhalt,Single-person household,Yes,1.0,31,5427,0.83834,1.12775
57,57,1992,Saxony-Anhalt,Couple without children,Yes,1.0,65,5427,0.8985,1.11614
58,58,1992,Saxony-Anhalt,Couple with children,Yes,0.66244,121,5427,0.6145,0.71592
59,59,1992,Saxony-Anhalt,Couple with children,No,0.33756,58,5427,0.29679,0.38609
60,60,1992,Thuringa,Couple without children,Yes,1.0,44,5427,0.87914,1.11005
61,61,1992,Thuringa,Couple with children,Yes,0.59536,105,5427,0.55511,0.6387
62,62,1992,Thuringa,Couple with children,No,0.40464,66,5427,0.36947,0.44295
