,Unnamed: 0,year,hhtyp,quintil_oecd_hh,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,Single-person household,1st Quintile,Yes,0.36624,164,6137,0.33722,0.38563
1,1,1992,Single-person household,1st Quintile,No,0.63376,251,6137,0.5955,0.67352
2,2,1992,Single-person household,2nd Quintile,Yes,0.53232,110,6137,0.49348,0.57279
3,3,1992,Single-person household,2nd Quintile,No,0.46768,103,6137,0.42575,0.50593
4,4,1992,Single-person household,3rd Quintile,Yes,0.66485,149,6137,0.62062,0.70925
5,5,1992,Single-person household,3rd Quintile,No,0.33515,79,6137,0.29712,0.36989
6,6,1992,Single-person household,4th Quintile,Yes,0.75079,170,6137,0.7002,0.81416
7,7,1992,Single-person household,4th Quintile,No,0.24921,62,6137,0.21043,0.28949
8,8,1992,Single-person household,5th Quintile,Yes,0.83718,161,6137,0.7811,0.89017
9,9,1992,Single-person household,5th Quintile,No,0.16282,33,6137,0.13919,0.18094
10,10,1992,Couple without children,1st Quintile,Yes,0.58177,165,6137,0.5414,0.62083
11,11,1992,Couple without children,1st Quintile,No,0.41823,126,6137,0.38068,0.46789
12,12,1992,Couple without children,2nd Quintile,Yes,0.64676,182,6137,0.59226,0.70217
13,13,1992,Couple without children,2nd Quintile,No,0.35324,103,6137,0.3048,0.40296
14,14,1992,Couple without children,3rd Quintile,Yes,0.73171,210,6137,0.68133,0.79669
15,15,1992,Couple without children,3rd Quintile,No,0.26829,79,6137,0.23411,0.31135
16,16,1992,Couple without children,4th Quintile,Yes,0.81751,303,6137,0.76596,0.86887
17,17,1992,Couple without children,4th Quintile,No,0.18249,70,6137,0.15193,0.20801
18,18,1992,Couple without children,5th Quintile,Yes,0.81552,367,6137,0.77817,0.85342
19,19,1992,Couple without children,5th Quintile,No,0.18448,76,6137,0.16237,0.21237
20,20,1992,Single parent,1st Quintile,Yes,0.27841,44,6137,0.23744,0.32116
21,21,1992,Single parent,1st Quintile,No,0.72159,102,6137,0.61073,0.83437
22,22,1992,Single parent,2nd Quintile,Yes,0.519,51,6137,0.44285,0.58963
23,23,1992,Single parent,2nd Quintile,No,0.481,41,6137,0.38257,0.57907
24,24,1992,Single parent,3rd Quintile,No,1.0,31,6137,0.77794,1.2446
25,25,1992,Single parent,4th Quintile,Yes,1.0,35,6137,0.84451,1.1559
26,26,1992,Couple with children,1st Quintile,Yes,0.42687,207,6137,0.39231,0.46256
27,27,1992,Couple with children,1st Quintile,No,0.57313,264,6137,0.52179,0.62944
28,28,1992,Couple with children,2nd Quintile,Yes,0.62306,501,6137,0.58741,0.66677
29,29,1992,Couple with children,2nd Quintile,No,0.37694,305,6137,0.34369,0.40688
30,30,1992,Couple with children,3rd Quintile,Yes,0.72043,478,6137,0.67077,0.75916
31,31,1992,Couple with children,3rd Quintile,No,0.27957,193,6137,0.24943,0.30893
32,32,1992,Couple with children,4th Quintile,Yes,0.72481,404,6137,0.68129,0.76464
33,33,1992,Couple with children,4th Quintile,No,0.27519,140,6137,0.24198,0.30399
34,34,1992,Couple with children,5th Quintile,Yes,0.81169,300,6137,0.7668,0.85767
35,35,1992,Couple with children,5th Quintile,No,0.18831,78,6137,0.16651,0.21202
36,36,1993,Single-person household,1st Quintile,Yes,0.36963,164,6131,0.33738,0.397
37,37,1993,Single-person household,1st Quintile,No,0.63037,255,6131,0.5946,0.67073
38,38,1993,Single-person household,2nd Quintile,Yes,0.6086,144,6131,0.56381,0.65658
39,39,1993,Single-person household,2nd Quintile,No,0.3914,102,6131,0.35642,0.42925
40,40,1993,Single-person household,3rd Quintile,Yes,0.69896,163,6131,0.63015,0.75327
41,41,1993,Single-person household,3rd Quintile,No,0.30104,76,6131,0.2605,0.34115
42,42,1993,Single-person household,4th Quintile,Yes,0.69241,156,6131,0.65031,0.73488
43,43,1993,Single-person household,4th Quintile,No,0.30759,72,6131,0.26678,0.35641
44,44,1993,Single-person household,5th Quintile,Yes,0.85428,169,6131,0.80285,0.90222
45,45,1993,Single-person household,5th Quintile,No,0.14572,39,6131,0.11523,0.17798
46,46,1993,Couple without children,1st Quintile,Yes,0.52197,137,6131,0.47729,0.56617
47,47,1993,Couple without children,1st Quintile,No,0.47803,117,6131,0.41747,0.56254
48,48,1993,Couple without children,2nd Quintile,Yes,0.68369,210,6131,0.63306,0.73953
49,49,1993,Couple without children,2nd Quintile,No,0.31631,106,6131,0.27696,0.36016
50,50,1993,Couple without children,3rd Quintile,Yes,0.74062,202,6131,0.67887,0.80522
51,51,1993,Couple without children,3rd Quintile,No,0.25938,69,6131,0.22667,0.2912
52,52,1993,Couple without children,4th Quintile,Yes,0.8058,323,6131,0.76106,0.85345
53,53,1993,Couple without children,4th Quintile,No,0.1942,77,6131,0.1676,0.22199
