,Unnamed: 0,year,hhtyp,sampreg,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,Single-person household,West,Yes,0.60452,591,6467,0.58284,0.62338
1,1,1992,Single-person household,West,No,0.39548,402,6467,0.37367,0.41438
2,2,1992,Single-person household,East,Yes,0.57014,163,6467,0.53755,0.59942
3,3,1992,Single-person household,East,No,0.42986,127,6467,0.4049,0.45601
4,4,1992,Couple without children,West,Yes,0.73995,891,6467,0.71466,0.76347
5,5,1992,Couple without children,West,No,0.26005,327,6467,0.24085,0.27657
6,6,1992,Couple without children,East,Yes,0.72408,336,6467,0.69746,0.7547
7,7,1992,Couple without children,East,No,0.27592,127,6467,0.25768,0.29401
8,8,1992,Single parent,West,Yes,0.47154,120,6467,0.42713,0.50941
9,9,1992,Single parent,West,No,0.52846,148,6467,0.47319,0.58664
10,10,1992,Single parent,East,Yes,0.56108,66,6467,0.50441,0.62134
11,11,1992,Single parent,East,No,0.43892,56,6467,0.3941,0.49292
12,12,1992,Couple with children,West,Yes,0.67766,1220,6467,0.65277,0.70149
13,13,1992,Couple with children,West,No,0.32234,698,6467,0.30613,0.33735
14,14,1992,Couple with children,East,Yes,0.6903,670,6467,0.67151,0.71021
15,15,1992,Couple with children,East,No,0.3097,282,6467,0.29662,0.32519
16,16,1992,Multi-generational household,West,Yes,0.72033,63,6467,0.54155,0.87086
17,17,1992,Multi-generational household,West,No,0.27967,40,6467,0.19015,0.42554
18,18,1992,Other Combinations,West,Yes,0.64914,65,6467,0.54632,0.78719
19,19,1992,Other Combinations,West,No,0.35086,37,6467,0.27077,0.43401
20,20,1992,Other Combinations,East,Yes,1.0,38,6467,0.84333,1.14953
21,21,1993,Single-person household,West,Yes,0.61812,627,6421,0.59649,0.643
22,22,1993,Single-person household,West,No,0.38188,417,6421,0.35847,0.40163
23,23,1993,Single-person household,East,Yes,0.56285,169,6421,0.53649,0.59472
24,24,1993,Single-person household,East,No,0.43715,128,6421,0.41275,0.46665
25,25,1993,Couple without children,West,Yes,0.73631,895,6421,0.70847,0.7608
26,26,1993,Couple without children,West,No,0.26369,330,6421,0.24707,0.28151
27,27,1993,Couple without children,East,Yes,0.75871,358,6421,0.72739,0.79023
28,28,1993,Couple without children,East,No,0.24129,115,6421,0.22157,0.26433
29,29,1993,Single parent,West,Yes,0.49042,121,6421,0.44198,0.54242
30,30,1993,Single parent,West,No,0.50958,134,6421,0.46371,0.56928
31,31,1993,Single parent,East,Yes,0.5545,64,6421,0.5038,0.60844
32,32,1993,Single parent,East,No,0.4455,56,6421,0.39117,0.49683
33,33,1993,Couple with children,West,Yes,0.68245,1171,6421,0.65699,0.7071
34,34,1993,Couple with children,West,No,0.31755,691,6421,0.29688,0.33854
35,35,1993,Couple with children,East,Yes,0.74769,673,6421,0.7215,0.77191
36,36,1993,Couple with children,East,No,0.25231,218,6421,0.23533,0.2689
37,37,1993,Multi-generational household,West,Yes,0.67376,70,6421,0.56411,0.8075
38,38,1993,Multi-generational household,West,No,0.32624,37,6421,0.22961,0.44181
39,39,1993,Other Combinations,West,Yes,0.53202,60,6421,0.44938,0.62115
40,40,1993,Other Combinations,West,No,0.46798,50,6421,0.37356,0.56679
41,41,1993,Other Combinations,East,Yes,1.0,37,6421,0.82842,1.18993
42,42,1994,Single-person household,West,Yes,0.59866,601,6365,0.57946,0.62072
43,43,1994,Single-person household,West,No,0.40134,434,6365,0.37957,0.42038
44,44,1994,Single-person household,East,Yes,0.63259,195,6365,0.59471,0.6699
45,45,1994,Single-person household,East,No,0.36741,117,6365,0.33874,0.3921
46,46,1994,Couple without children,West,Yes,0.75406,922,6365,0.72285,0.78088
47,47,1994,Couple without children,West,No,0.24594,336,6365,0.22782,0.26656
48,48,1994,Couple without children,East,Yes,0.81662,391,6365,0.78209,0.85592
49,49,1994,Couple without children,East,No,0.18338,92,6365,0.16362,0.20001
50,50,1994,Single parent,West,Yes,0.46439,116,6365,0.41335,0.51758
51,51,1994,Single parent,West,No,0.53561,136,6365,0.46971,0.60213
52,52,1994,Single parent,East,Yes,0.49452,53,6365,0.43621,0.55751
53,53,1994,Single parent,East,No,0.50548,54,6365,0.43827,0.57421
54,54,1994,Couple with children,West,Yes,0.67281,1151,6365,0.64846,0.69638
55,55,1994,Couple with children,West,No,0.32719,670,6365,0.30691,0.34448
56,56,1994,Couple with children,East,Yes,0.72156,611,6365,0.69538,0.75432
57,57,1994,Couple with children,East,No,0.27844,239,6365,0.26034,0.29711
58,58,1994,Multi-generational household,West,Yes,0.61527,63,6365,0.46584,0.75266
59,59,1994,Multi-generational household,West,No,0.38473,35,6365,0.28579,0.51064
60,60,1994,Other Combinations,West,Yes,0.56658,63,6365,0.49097,0.65474
61,61,1994,Other Combinations,West,No,0.43342,46,6365,0.34677,0.52219
62,62,1994,Other Combinations,East,Yes,1.0,40,6365,0.7997,1.21897
63,63,1995,Single-person household,West,Yes,0.57825,591,6561,0.55598,0.60425
64,64,1995,Single-person household,West,No,0.42175,468,6561,0.39706,0.44257
65,65,1995,Single-person household,East,Yes,0.65233,205,6561,0.61472,0.68336
66,66,1995,Single-person household,East,No,0.34767,118,6561,0.32064,0.3745
67,67,1995,Couple without children,West,Yes,0.75414,962,6561,0.72625,0.77863
68,68,1995,Couple without children,West,No,0.24586,349,6561,0.22909,0.26499
69,69,1995,Couple without children,East,Yes,0.82421,400,6561,0.79126,0.86031
70,70,1995,Couple without children,East,No,0.17579,91,6561,0.16025,0.19448
71,71,1995,Single parent,West,Yes,0.45893,117,6561,0.40492,0.50808
72,72,1995,Single parent,West,No,0.54107,143,6561,0.47214,0.61209
73,73,1995,Single parent,East,Yes,0.588,65,6561,0.5138,0.65257
74,74,1995,Single parent,East,No,0.412,46,6561,0.34684,0.49602
75,75,1995,Couple with children,West,Yes,0.67037,1217,6561,0.64408,0.69936
76,76,1995,Couple with children,West,No,0.32963,732,6561,0.30958,0.35407
77,77,1995,Couple with children,East,Yes,0.70077,568,6561,0.66688,0.72607
78,78,1995,Couple with children,East,No,0.29923,233,6561,0.28118,0.31991
79,79,1995,Multi-generational household,West,Yes,0.59713,63,6561,0.47594,0.7164
80,80,1995,Multi-generational household,West,No,0.40287,42,6561,0.28644,0.52804
81,81,1995,Other Combinations,West,Yes,0.49548,62,6561,0.40639,0.57749
82,82,1995,Other Combinations,West,No,0.50452,53,6561,0.40638,0.60484
83,83,1995,Other Combinations,East,Yes,1.0,36,6561,0.81901,1.20862
84,84,1996,Single-person household,West,Yes,0.5956,607,6464,0.5714,0.61538
85,85,1996,Single-person household,West,No,0.4044,456,6464,0.38047,0.42616
86,86,1996,Single-person household,East,Yes,0.6254,206,6464,0.59378,0.65825
87,87,1996,Single-person household,East,No,0.3746,132,6464,0.34784,0.40598
88,88,1996,Couple without children,West,Yes,0.7469,925,6464,0.71364,0.77315
89,89,1996,Couple without children,West,No,0.2531,366,6464,0.23312,0.27218
90,90,1996,Couple without children,East,Yes,0.79567,417,6464,0.76321,0.83146
91,91,1996,Couple without children,East,No,0.20433,110,6464,0.18588,0.22991
92,92,1996,Single parent,West,Yes,0.46484,122,6464,0.41232,0.51632
93,93,1996,Single parent,West,No,0.53516,153,6464,0.4759,0.59967
94,94,1996,Single parent,East,Yes,0.5716,59,6464,0.50657,0.632
95,95,1996,Single parent,East,No,0.4284,50,6464,0.37524,0.49349
96,96,1996,Couple with children,West,Yes,0.64943,1157,6464,0.624,0.6787
97,97,1996,Couple with children,West,No,0.35057,741,6464,0.32904,0.37146
98,98,1996,Couple with children,East,Yes,0.7126,539,6464,0.67773,0.74438
99,99,1996,Couple with children,East,No,0.2874,220,6464,0.26596,0.31287
100,100,1996,Multi-generational household,West,Yes,1.0,64,6464,0.79159,1.19213
101,101,1996,Other Combinations,West,Yes,0.55119,60,6464,0.46819,0.64998
102,102,1996,Other Combinations,West,No,0.44881,42,6464,0.34635,0.56369
103,103,1996,Other Combinations,East,Yes,1.0,38,6464,0.82428,1.16915
104,104,1997,Single-person household,West,Yes,0.5987,593,6412,0.56932,0.62691
105,105,1997,Single-person household,West,No,0.4013,442,6412,0.37565,0.42677
106,106,1997,Single-person household,East,Yes,0.66567,222,6412,0.63341,0.70546
107,107,1997,Single-person household,East,No,0.33433,124,6412,0.30727,0.36979
108,108,1997,Couple without children,West,Yes,0.7372,934,6412,0.70329,0.76994
109,109,1997,Couple without children,West,No,0.2628,386,6412,0.24371,0.28386
110,110,1997,Couple without children,East,Yes,0.79609,430,6412,0.76886,0.84044
111,111,1997,Couple without children,East,No,0.20391,115,6412,0.1852,0.22603
