,Unnamed: 0,year,regtyp,rentown,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,Urban regions,Owner,Yes,0.74383,985,6471,0.72178,0.77049
1,1,1992,Urban regions,Owner,No,0.25617,364,6471,0.23994,0.27397
2,2,1992,Urban regions,Tenant,Yes,0.62237,1809,6471,0.60178,0.63968
3,3,1992,Urban regions,Tenant,No,0.37763,1160,6471,0.35982,0.3957
4,4,1992,Rural regions,Owner,Yes,0.70447,664,6471,0.66713,0.73865
5,5,1992,Rural regions,Owner,No,0.29553,290,6471,0.27564,0.3168
6,6,1992,Rural regions,Tenant,Yes,0.57038,748,6471,0.53837,0.60317
7,7,1992,Rural regions,Tenant,No,0.42962,451,6471,0.39718,0.4599
8,8,1993,Urban regions,Owner,Yes,0.73631,966,6473,0.71721,0.75996
9,9,1993,Urban regions,Owner,No,0.26369,364,6473,0.24823,0.27955
10,10,1993,Urban regions,Tenant,Yes,0.63021,1844,6473,0.60771,0.65138
11,11,1993,Urban regions,Tenant,No,0.36979,1125,6473,0.3514,0.38925
12,12,1993,Rural regions,Owner,Yes,0.71998,677,6473,0.68278,0.75625
13,13,1993,Rural regions,Owner,No,0.28002,277,6473,0.25896,0.30266
14,14,1993,Rural regions,Tenant,Yes,0.60142,782,6473,0.56822,0.62795
15,15,1993,Rural regions,Tenant,No,0.39858,438,6473,0.36761,0.42728
16,16,1994,Urban regions,Owner,Yes,0.74032,976,6414,0.7133,0.76878
17,17,1994,Urban regions,Owner,No,0.25968,349,6414,0.2424,0.27663
18,18,1994,Urban regions,Tenant,Yes,0.61632,1765,6414,0.5895,0.64052
19,19,1994,Urban regions,Tenant,No,0.38368,1169,6414,0.36266,0.40155
20,20,1994,Rural regions,Owner,Yes,0.72536,703,6414,0.6856,0.76452
21,21,1994,Rural regions,Owner,No,0.27464,265,6414,0.24904,0.3013
22,22,1994,Rural regions,Tenant,Yes,0.62433,784,6414,0.59066,0.65423
23,23,1994,Rural regions,Tenant,No,0.37567,403,6414,0.3512,0.40413
24,24,1995,Urban regions,Owner,Yes,0.73874,1007,6609,0.70845,0.76636
25,25,1995,Urban regions,Owner,No,0.26126,353,6609,0.24214,0.28153
26,26,1995,Urban regions,Tenant,Yes,0.59186,1769,6609,0.57428,0.61543
27,27,1995,Urban regions,Tenant,No,0.40814,1256,6609,0.38918,0.42808
28,28,1995,Rural regions,Owner,Yes,0.73895,710,6609,0.70549,0.77134
29,29,1995,Rural regions,Owner,No,0.26105,255,6609,0.24029,0.28522
30,30,1995,Rural regions,Tenant,Yes,0.63799,821,6609,0.60758,0.6684
31,31,1995,Rural regions,Tenant,No,0.36201,438,6609,0.33676,0.39244
32,32,1996,Urban regions,Owner,Yes,0.73637,995,6541,0.71033,0.76092
33,33,1996,Urban regions,Owner,No,0.26363,376,6541,0.24431,0.28329
34,34,1996,Urban regions,Tenant,Yes,0.58824,1688,6541,0.56576,0.61344
35,35,1996,Urban regions,Tenant,No,0.41176,1270,6541,0.39492,0.4315
