,Unnamed: 0,year,pgisced97,sex,plb0050,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Pre-primary Level,female,No,1.0,33,12282,0.79194,1.29686
1,1,2001,Primary Level,male,Yes,1.0,35,12282,0.80466,1.18898
2,2,2001,Lower Secondary Level,male,Yes,0.53296,312,12282,0.49592,0.57509
3,3,2001,Lower Secondary Level,male,No,0.46704,284,12282,0.43622,0.50864
4,4,2001,Lower Secondary Level,female,Yes,0.39765,259,12282,0.36908,0.43459
5,5,2001,Lower Secondary Level,female,No,0.60235,388,12282,0.56721,0.6418
6,6,2001,Upper Secondary Level,male,Yes,0.53511,1915,12282,0.52066,0.54839
7,7,2001,Upper Secondary Level,male,No,0.46489,1698,12282,0.44867,0.47854
8,8,2001,Upper Secondary Level,female,Yes,0.44693,1321,12282,0.43082,0.46177
9,9,2001,Upper Secondary Level,female,No,0.55307,1662,12282,0.53649,0.56997
10,10,2001,Post-secondary Non-tertiary Level,male,Yes,0.55464,196,12282,0.4951,0.60594
11,11,2001,Post-secondary Non-tertiary Level,male,No,0.44536,147,12282,0.39906,0.49215
12,12,2001,Post-secondary Non-tertiary Level,female,Yes,0.52251,180,12282,0.46932,0.58259
13,13,2001,Post-secondary Non-tertiary Level,female,No,0.47749,173,12282,0.43397,0.51787
14,14,2001,First Stage of Tertiary Education,male,Yes,0.4988,340,12282,0.4709,0.52778
15,15,2001,First Stage of Tertiary Education,male,No,0.5012,339,12282,0.46483,0.537
16,16,2001,First Stage of Tertiary Education,female,Yes,0.56477,238,12282,0.51041,0.62188
17,17,2001,First Stage of Tertiary Education,female,No,0.43523,203,12282,0.38927,0.47539
18,18,2001,Second Stage of Tertiary Education,male,Yes,0.60188,907,12282,0.57757,0.6262
19,19,2001,Second Stage of Tertiary Education,male,No,0.39812,580,12282,0.37436,0.41791
20,20,2001,Second Stage of Tertiary Education,female,Yes,0.57161,623,12282,0.54031,0.60084
21,21,2001,Second Stage of Tertiary Education,female,No,0.42839,449,12282,0.40342,0.45812
22,22,2006,Lower Secondary Level,male,Yes,0.46338,190,11848,0.39667,0.51817
23,23,2006,Lower Secondary Level,male,No,0.53662,212,11848,0.47647,0.60885
24,24,2006,Lower Secondary Level,female,Yes,0.42069,204,11848,0.37571,0.46621
25,25,2006,Lower Secondary Level,female,No,0.57931,284,11848,0.53086,0.63502
26,26,2006,Upper Secondary Level,male,Yes,0.51185,1562,11848,0.49328,0.53206
27,27,2006,Upper Secondary Level,male,No,0.48815,1516,11848,0.46983,0.50762
28,28,2006,Upper Secondary Level,female,Yes,0.46662,1272,11848,0.44393,0.49138
29,29,2006,Upper Secondary Level,female,No,0.53338,1551,11848,0.5125,0.55787
30,30,2006,Post-secondary Non-tertiary Level,male,Yes,0.47173,181,11848,0.41429,0.5359
31,31,2006,Post-secondary Non-tertiary Level,male,No,0.52827,176,11848,0.44825,0.5912
32,32,2006,Post-secondary Non-tertiary Level,female,Yes,0.51818,241,11848,0.46856,0.56588
33,33,2006,Post-secondary Non-tertiary Level,female,No,0.48182,231,11848,0.43229,0.53071
34,34,2006,First Stage of Tertiary Education,male,Yes,0.49148,302,11848,0.45072,0.53266
35,35,2006,First Stage of Tertiary Education,male,No,0.50852,313,11848,0.46076,0.55037
36,36,2006,First Stage of Tertiary Education,female,Yes,0.46724,223,11848,0.42296,0.51652
37,37,2006,First Stage of Tertiary Education,female,No,0.53276,221,11848,0.46845,0.58961
38,38,2006,Second Stage of Tertiary Education,male,Yes,0.60438,1082,11848,0.56574,0.64754
39,39,2006,Second Stage of Tertiary Education,male,No,0.39562,697,11848,0.36946,0.42449
40,40,2006,Second Stage of Tertiary Education,female,Yes,0.57861,829,11848,0.54094,0.61925
41,41,2006,Second Stage of Tertiary Education,female,No,0.42139,561,11848,0.39295,0.45524
42,42,2011,Lower Secondary Level,male,Yes,0.50667,167,10843,0.43902,0.57228
43,43,2011,Lower Secondary Level,male,No,0.49333,167,10843,0.43017,0.56429
44,44,2011,Lower Secondary Level,female,Yes,0.46629,183,10843,0.40311,0.53235
45,45,2011,Lower Secondary Level,female,No,0.53371,240,10843,0.47289,0.60559
46,46,2011,Upper Secondary Level,male,Yes,0.53268,1437,10843,0.51044,0.5609
47,47,2011,Upper Secondary Level,male,No,0.46732,1298,10843,0.44251,0.48869
48,48,2011,Upper Secondary Level,female,Yes,0.46964,1263,10843,0.44457,0.49202
49,49,2011,Upper Secondary Level,female,No,0.53036,1437,10843,0.49965,0.55884
50,50,2011,Post-secondary Non-tertiary Level,male,Yes,0.59153,186,10843,0.50801,0.69231
51,51,2011,Post-secondary Non-tertiary Level,male,No,0.40847,134,10843,0.34237,0.48793
52,52,2011,Post-secondary Non-tertiary Level,female,Yes,0.5786,272,10843,0.52122,0.64581
53,53,2011,Post-secondary Non-tertiary Level,female,No,0.4214,241,10843,0.37297,0.47206
54,54,2011,First Stage of Tertiary Education,male,Yes,0.51578,283,10843,0.45324,0.57404
55,55,2011,First Stage of Tertiary Education,male,No,0.48422,257,10843,0.43254,0.55181
56,56,2011,First Stage of Tertiary Education,female,Yes,0.46753,175,10843,0.38355,0.55098
57,57,2011,First Stage of Tertiary Education,female,No,0.53247,161,10843,0.42305,0.62651
58,58,2011,Second Stage of Tertiary Education,male,Yes,0.6254,957,10843,0.57957,0.66326
59,59,2011,Second Stage of Tertiary Education,male,No,0.3746,577,10843,0.33977,0.41179
60,60,2011,Second Stage of Tertiary Education,female,Yes,0.62792,892,10843,0.58994,0.67445
61,61,2011,Second Stage of Tertiary Education,female,No,0.37208,516,10843,0.33585,0.40984
62,62,2016,Primary Level,male,Yes,0.50737,40,13531,0.31177,0.76585
63,63,2016,Primary Level,male,No,0.49263,47,13531,0.35484,0.62435
64,64,2016,Primary Level,female,No,1.0,40,13531,0.65063,1.35737
65,65,2016,Lower Secondary Level,male,Yes,0.43138,241,13531,0.37513,0.48317
66,66,2016,Lower Secondary Level,male,No,0.56862,341,13531,0.4856,0.68924
67,67,2016,Lower Secondary Level,female,Yes,0.44459,217,13531,0.37677,0.52035
68,68,2016,Lower Secondary Level,female,No,0.55541,345,13531,0.48954,0.65485
69,69,2016,Upper Secondary Level,male,Yes,0.52318,1505,13531,0.4931,0.54973
70,70,2016,Upper Secondary Level,male,No,0.47682,1399,13531,0.44704,0.50784
71,71,2016,Upper Secondary Level,female,Yes,0.46279,1475,13531,0.43578,0.48895
72,72,2016,Upper Secondary Level,female,No,0.53721,1808,13531,0.50691,0.5707
73,73,2016,Post-secondary Non-tertiary Level,male,Yes,0.56218,303,13531,0.4802,0.65674
74,74,2016,Post-secondary Non-tertiary Level,male,No,0.43782,266,13531,0.36499,0.50317
75,75,2016,Post-secondary Non-tertiary Level,female,Yes,0.524,442,13531,0.46864,0.57543
76,76,2016,Post-secondary Non-tertiary Level,female,No,0.476,443,13531,0.4245,0.5355
77,77,2016,First Stage of Tertiary Education,male,Yes,0.57929,302,13531,0.49694,0.65517
78,78,2016,First Stage of Tertiary Education,male,No,0.42071,226,13531,0.35977,0.48036
79,79,2016,First Stage of Tertiary Education,female,Yes,0.56268,193,13531,0.47252,0.64963
80,80,2016,First Stage of Tertiary Education,female,No,0.43732,151,13531,0.33585,0.55084
81,81,2016,Second Stage of Tertiary Education,male,Yes,0.65889,1205,13531,0.60486,0.70402
82,82,2016,Second Stage of Tertiary Education,male,No,0.34111,642,13531,0.31011,0.37589
83,83,2016,Second Stage of Tertiary Education,female,Yes,0.64096,1207,13531,0.5938,0.6857
84,84,2016,Second Stage of Tertiary Education,female,No,0.35904,693,13531,0.32832,0.39251
85,85,2019,Primary Level,male,Yes,0.4888,36,15266,0.30166,0.71671
86,86,2019,Primary Level,male,No,0.5112,47,15266,0.37794,0.67063
87,87,2019,Primary Level,female,No,1.0,40,15266,0.73486,1.39373
88,88,2019,Lower Secondary Level,male,Yes,0.42429,253,15266,0.37655,0.48365
89,89,2019,Lower Secondary Level,male,No,0.57571,337,15266,0.49715,0.66639
90,90,2019,Lower Secondary Level,female,Yes,0.37665,206,15266,0.31139,0.4688
91,91,2019,Lower Secondary Level,female,No,0.62335,354,15266,0.54325,0.73813
92,92,2019,Upper Secondary Level,male,Yes,0.52687,1477,15266,0.4952,0.55837
93,93,2019,Upper Secondary Level,male,No,0.47313,1591,15266,0.43777,0.50403
94,94,2019,Upper Secondary Level,female,Yes,0.45448,1546,15266,0.42733,0.48083
95,95,2019,Upper Secondary Level,female,No,0.54552,1899,15266,0.51648,0.58259
96,96,2019,Post-secondary Non-tertiary Level,male,Yes,0.58734,330,15266,0.50545,0.66124
97,97,2019,Post-secondary Non-tertiary Level,male,No,0.41266,329,15266,0.34716,0.48264
98,98,2019,Post-secondary Non-tertiary Level,female,Yes,0.5649,486,15266,0.50703,0.62294
99,99,2019,Post-secondary Non-tertiary Level,female,No,0.4351,490,15266,0.38895,0.48665
100,100,2019,First Stage of Tertiary Education,male,Yes,0.57883,332,15266,0.51863,0.64736
101,101,2019,First Stage of Tertiary Education,male,No,0.42117,412,15266,0.36118,0.49807
102,102,2019,First Stage of Tertiary Education,female,Yes,0.57597,187,15266,0.46363,0.69233
103,103,2019,First Stage of Tertiary Education,female,No,0.42403,193,15266,0.33524,0.51329
104,104,2019,Second Stage of Tertiary Education,male,Yes,0.63879,1276,15266,0.5921,0.6863
105,105,2019,Second Stage of Tertiary Education,male,No,0.36121,1217,15266,0.33014,0.39269
106,106,2019,Second Stage of Tertiary Education,female,Yes,0.65938,1330,15266,0.61416,0.70222
107,107,2019,Second Stage of Tertiary Education,female,No,0.34062,898,15266,0.31041,0.37124
