year,regtyp,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Urban regions,Yes,0.24406,4379,8233,0.23478,0.25333
2001,Urban regions,No,0.21362,3854,8233,0.20476,0.22247
2001,Rural regions,Yes,0.20633,1998,4214,0.19411,0.21855
2001,Rural regions,No,0.22951,2216,4214,0.21682,0.24221
2006,Urban regions,Yes,0.23360,4282,8065,0.22437,0.24284
2006,Urban regions,No,0.21239,3783,8065,0.20346,0.22132
2006,Rural regions,Yes,0.20036,1893,4038,0.18801,0.21271
2006,Rural regions,No,0.23291,2145,4038,0.21987,0.24595
2011,Urban regions,Yes,0.22610,3932,7157,0.21640,0.23579
2011,Urban regions,No,0.18383,3225,7157,0.17486,0.19281
2011,Rural regions,Yes,0.21007,2000,3945,0.19736,0.22279
2011,Rural regions,No,0.20628,1945,3945,0.19365,0.21891
2016,Urban regions,Yes,0.24893,4812,9038,0.24001,0.25784
2016,Urban regions,No,0.21036,4226,9038,0.20196,0.21876
2016,Rural regions,Yes,0.24441,2476,4851,0.23232,0.25651
2016,Rural regions,No,0.21816,2375,4851,0.20654,0.22979
2019,Urban regions,Yes,0.26192,4996,10022,0.25331,0.27053
2019,Urban regions,No,0.21280,5026,10022,0.20479,0.22081
2019,Rural regions,Yes,0.23993,2443,5293,0.22842,0.25143
2019,Rural regions,No,0.23084,2850,5293,0.21949,0.24219
2022,Urban regions,Yes,0.28106,6741,11192,0.27273,0.28938
2022,Urban regions,No,0.18083,4451,11192,0.17370,0.18796
2022,Rural regions,Yes,0.26871,2918,5043,0.25647,0.28094
2022,Rural regions,No,0.18256,2125,5043,0.17189,0.19322
