"plb0050","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Ja","2001","(noch) kein Abschluss","Schleswig-Holstein","3","","",""
"Ja","2001","(noch) kein Abschluss","Hamburg","2","","",""
"Ja","2001","(noch) kein Abschluss","Niedersachsen","5","","",""
"Ja","2001","(noch) kein Abschluss","Bremen","2","","",""
"Ja","2001","(noch) kein Abschluss","Nordrhein-Westfalen","22","","",""
"Ja","2001","(noch) kein Abschluss","Hessen","6","","",""
"Ja","2001","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","4","","",""
"Ja","2001","(noch) kein Abschluss","Baden-Wuerttemberg","15","","",""
"Ja","2001","(noch) kein Abschluss","Bayern","10","","",""
"Ja","2001","(noch) kein Abschluss","Saarland","","","",""
"Ja","2001","(noch) kein Abschluss","Berlin","1","","",""
"Ja","2001","(noch) kein Abschluss","Brandenburg","1","","",""
"Ja","2001","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Ja","2001","(noch) kein Abschluss","Sachsen","1","","",""
"Ja","2001","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Ja","2001","(noch) kein Abschluss","Thueringen","","","",""
"Ja","2001","Hauptschule","Schleswig-Holstein","59","0.442301178966451","0.361181587151684","0.523420770781218"
"Ja","2001","Hauptschule","Hamburg","21","","",""
"Ja","2001","Hauptschule","Niedersachsen","191","0.479581786865108","0.430500703612734","0.528662870117481"
"Ja","2001","Hauptschule","Bremen","15","","",""
"Ja","2001","Hauptschule","Nordrhein-Westfalen","515","0.511053639934155","0.480163992437856","0.541943287430454"
"Ja","2001","Hauptschule","Hessen","163","0.523201718908641","0.467602439150544","0.578800998666737"
"Ja","2001","Hauptschule","Rheinland-Pfalz,Saarland","164","0.444652240509515","0.392959843753267","0.496344637265762"
"Ja","2001","Hauptschule","Baden-Wuerttemberg","355","0.517966950372875","0.480924565825116","0.555009334920633"
"Ja","2001","Hauptschule","Bayern","432","0.4811317650741","0.447949993379406","0.514313536768794"
"Ja","2001","Hauptschule","Saarland","","","",""
"Ja","2001","Hauptschule","Berlin","43","0.558662431548223","0.447754422023938","0.669570441072509"
"Ja","2001","Hauptschule","Brandenburg","22","","",""
"Ja","2001","Hauptschule","Mecklenburg-Vorpommern","11","","",""
"Ja","2001","Hauptschule","Sachsen","23","","",""
"Ja","2001","Hauptschule","Sachsen-Anhalt","28","","",""
"Ja","2001","Hauptschule","Thueringen","29","","",""
"Ja","2001","Realschule","Schleswig-Holstein","63","0.556135763501818","0.466868936207966","0.645402590795669"
"Ja","2001","Realschule","Hamburg","24","","",""
"Ja","2001","Realschule","Niedersachsen","179","0.535277324830431","0.48226278605204","0.588291863608821"
"Ja","2001","Realschule","Bremen","10","","",""
"Ja","2001","Realschule","Nordrhein-Westfalen","343","0.531936567711647","0.493752828855992","0.570120306567303"
"Ja","2001","Realschule","Hessen","143","0.617991856680874","0.555737772446458","0.680245940915289"
"Ja","2001","Realschule","Rheinland-Pfalz,Saarland","88","0.516587975598761","0.441468162054596","0.591707789142926"
"Ja","2001","Realschule","Baden-Wuerttemberg","212","0.540511259337007","0.491240231136842","0.589782287537172"
"Ja","2001","Realschule","Bayern","241","0.495381329198743","0.450512950557273","0.540249707840212"
"Ja","2001","Realschule","Saarland","","","",""
"Ja","2001","Realschule","Berlin","91","0.551379749771546","0.474315502228206","0.628443997314886"
"Ja","2001","Realschule","Brandenburg","110","0.473230010957345","0.411090346735807","0.535369675178883"
"Ja","2001","Realschule","Mecklenburg-Vorpommern","74","0.494465722075","0.417237052661466","0.571694391488534"
"Ja","2001","Realschule","Sachsen","199","0.410172059973971","0.366124075415001","0.454220044532941"
"Ja","2001","Realschule","Sachsen-Anhalt","85","0.345150282326761","0.283842297694895","0.406458266958627"
"Ja","2001","Realschule","Thueringen","120","0.37786969893408","0.322727817853109","0.433011580015051"
"Ja","2001","(Fach-)Abitur","Schleswig-Holstein","23","","",""
"Ja","2001","(Fach-)Abitur","Hamburg","18","","",""
"Ja","2001","(Fach-)Abitur","Niedersachsen","62","0.506001314933377","0.411269704283107","0.600732925583647"
"Ja","2001","(Fach-)Abitur","Bremen","7","","",""
"Ja","2001","(Fach-)Abitur","Nordrhein-Westfalen","229","0.550273401190499","0.502526673678543","0.598020128702456"
"Ja","2001","(Fach-)Abitur","Hessen","67","0.566094760327426","0.477420110356596","0.654769410298256"
"Ja","2001","(Fach-)Abitur","Rheinland-Pfalz,Saarland","35","0.3976849348752","0.290438088587227","0.504931781163173"
"Ja","2001","(Fach-)Abitur","Baden-Wuerttemberg","90","0.52526421021583","0.449527794560042","0.601000625871619"
"Ja","2001","(Fach-)Abitur","Bayern","67","0.48866765211955","0.408134321059029","0.569200983180072"
"Ja","2001","(Fach-)Abitur","Saarland","","","",""
"Ja","2001","(Fach-)Abitur","Berlin","21","","",""
"Ja","2001","(Fach-)Abitur","Brandenburg","18","","",""
"Ja","2001","(Fach-)Abitur","Mecklenburg-Vorpommern","11","","",""
"Ja","2001","(Fach-)Abitur","Sachsen","22","","",""
"Ja","2001","(Fach-)Abitur","Sachsen-Anhalt","21","","",""
"Ja","2001","(Fach-)Abitur","Thueringen","15","","",""
"Ja","2001","AkademikerIn","Schleswig-Holstein","34","0.482672981351482","0.357274508213256","0.608071454489708"
"Ja","2001","AkademikerIn","Hamburg","30","0.635165065207711","0.503049339875974","0.767280790539448"
"Ja","2001","AkademikerIn","Niedersachsen","122","0.668708614900723","0.599368431140108","0.738048798661338"
"Ja","2001","AkademikerIn","Bremen","14","","",""
"Ja","2001","AkademikerIn","Nordrhein-Westfalen","281","0.561394428743422","0.517232468457719","0.605556389029126"
"Ja","2001","AkademikerIn","Hessen","108","0.636104962376506","0.564411839555419","0.707798085197594"
