year,migback,regtyp,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,No migration background,Urban regions,Yes,0.53492,3434,6504,0.52280,0.54705
2001,No migration background,Urban regions,No,0.46508,3070,6504,0.45295,0.47720
2001,No migration background,Rural regions,Yes,0.47844,1860,3898,0.46276,0.49412
2001,No migration background,Rural regions,No,0.52156,2038,3898,0.50588,0.53724
2001,Direct migration background,Urban regions,Yes,0.53349,740,1331,0.50668,0.56030
2001,Direct migration background,Urban regions,No,0.46651,591,1331,0.43970,0.49332
2001,Direct migration background,Rural regions,Yes,0.39210,113,260,0.33264,0.45156
2001,Direct migration background,Rural regions,No,0.60790,147,260,0.54844,0.66736
2001,Indirect migration background,Urban regions,Yes,0.49778,205,398,0.44860,0.54697
2001,Indirect migration background,Urban regions,No,0.50222,193,398,0.45303,0.55140
2001,Indirect migration background,Rural regions,No,0.47584,31,31,0.29712,0.65455
2006,No migration background,Urban regions,Yes,0.52801,3522,6627,0.51599,0.54003
2006,No migration background,Urban regions,No,0.47199,3105,6627,0.45997,0.48401
2006,No migration background,Rural regions,Yes,0.46579,1781,3771,0.44987,0.48172
2006,No migration background,Rural regions,No,0.53421,1990,3771,0.51828,0.55013
2006,Direct migration background,Urban regions,Yes,0.49726,548,1033,0.46675,0.52776
2006,Direct migration background,Urban regions,No,0.50274,485,1033,0.47224,0.53325
2006,Direct migration background,Rural regions,Yes,0.43784,86,194,0.36785,0.50783
2006,Direct migration background,Rural regions,No,0.56216,108,194,0.49217,0.63215
2006,Indirect migration background,Urban regions,Yes,0.53569,212,405,0.48706,0.58432
2006,Indirect migration background,Urban regions,No,0.46431,193,405,0.41568,0.51294
2006,Indirect migration background,Rural regions,No,0.59512,47,47,0.45327,0.73698
2011,No migration background,Urban regions,Yes,0.55457,3301,5980,0.54197,0.56717
2011,No migration background,Urban regions,No,0.44543,2679,5980,0.43283,0.45803
2011,No migration background,Rural regions,Yes,0.51088,1846,3625,0.49461,0.52716
2011,No migration background,Rural regions,No,0.48912,1779,3625,0.47284,0.50539
2011,Direct migration background,Urban regions,Yes,0.53095,396,760,0.49545,0.56645
2011,Direct migration background,Urban regions,No,0.46905,364,760,0.43355,0.50455
2011,Direct migration background,Rural regions,Yes,0.44264,111,231,0.37845,0.50683
2011,Direct migration background,Rural regions,No,0.55736,120,231,0.49317,0.62155
2011,Indirect migration background,Urban regions,Yes,0.55597,235,417,0.50822,0.60371
2011,Indirect migration background,Urban regions,No,0.44403,182,417,0.39629,0.49178
2011,Indirect migration background,Rural regions,Yes,0.49481,43,89,0.39034,0.59927
2011,Indirect migration background,Rural regions,No,0.50519,46,89,0.40073,0.60966
2016,No migration background,Urban regions,Yes,0.56348,3431,6102,0.55104,0.57593
2016,No migration background,Urban regions,No,0.43652,2671,6102,0.42407,0.44896
2016,No migration background,Rural regions,Yes,0.53614,2058,3903,0.52049,0.55179
2016,No migration background,Rural regions,No,0.46386,1845,3903,0.44821,0.47951
2016,Direct migration background,Urban regions,Yes,0.43388,986,2192,0.41313,0.45464
2016,Direct migration background,Urban regions,No,0.56612,1206,2192,0.54536,0.58687
2016,Direct migration background,Rural regions,Yes,0.45675,325,758,0.42126,0.49223
2016,Direct migration background,Rural regions,No,0.54325,433,758,0.50777,0.57874
2016,Indirect migration background,Urban regions,Yes,0.58086,395,744,0.54539,0.61634
2016,Indirect migration background,Urban regions,No,0.41914,349,744,0.38366,0.45461
2016,Indirect migration background,Rural regions,Yes,0.54713,93,190,0.47616,0.61809
2016,Indirect migration background,Rural regions,No,0.45287,97,190,0.38191,0.52384
2019,No migration background,No answer / don't know,Yes,0.54242,152,277,0.48364,0.60119
2019,No migration background,No answer / don't know,No,0.45758,125,277,0.39881,0.51636
2019,No migration background,Urban regions,Yes,0.56538,3726,7364,0.55406,0.57670
2019,No migration background,Urban regions,No,0.43462,3638,7364,0.42330,0.44594
2019,No migration background,Rural regions,Yes,0.51057,2064,4469,0.49591,0.52523
2019,No migration background,Rural regions,No,0.48943,2405,4469,0.47477,0.50409
