"plb0050","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja","2001","(noch) kein Abschluss","Westdeutschland","70","0.417823281520477","0.341875635339585","0.493770927701368"
"Ja","2001","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2001","Hauptschule","Westdeutschland","1944","0.495933133114395","0.480241381486218","0.511624884742571"
"Ja","2001","Hauptschule","Ostdeutschland","127","0.331227940786283","0.284030445469839","0.378425436102728"
"Ja","2001","Realschule","Westdeutschland","1351","0.539782644617028","0.520357483440839","0.559207805793218"
"Ja","2001","Realschule","Ostdeutschland","631","0.421220125928536","0.396224815093117","0.446215436763955"
"Ja","2001","(Fach-)Abitur","Westdeutschland","613","0.528826485128487","0.500063864997116","0.557589105259857"
"Ja","2001","(Fach-)Abitur","Ostdeutschland","93","0.491609896515286","0.420336732077016","0.562883060953556"
"Ja","2001","AkademikerIn","Westdeutschland","1055","0.595216190441461","0.572106307571372","0.61832607331155"
"Ja","2001","AkademikerIn","Ostdeutschland","475","0.572778237523928","0.53904344795803","0.606513027089827"
"Nein","2001","(noch) kein Abschluss","Westdeutschland","92","0.582176718479523","0.506229072298632","0.658124364660415"
"Nein","2001","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","2001","Hauptschule","Westdeutschland","1956","0.504066866885605","0.488375115257429","0.519758618513781"
"Nein","2001","Hauptschule","Ostdeutschland","255","0.668772059213717","0.621574563897273","0.715969554530161"
"Nein","2001","Realschule","Westdeutschland","1178","0.460217355382972","0.440792194206782","0.479642516559161"
"Nein","2001","Realschule","Ostdeutschland","868","0.578779874071464","0.553784563236045","0.603775184906883"
"Nein","2001","(Fach-)Abitur","Westdeutschland","544","0.471173514871513","0.442410894740143","0.499936135002884"
"Nein","2001","(Fach-)Abitur","Ostdeutschland","96","0.508390103484714","0.437116939046444","0.579663267922984"
"Nein","2001","AkademikerIn","Westdeutschland","678","0.404783809558539","0.38167392668845","0.427893692428628"
"Nein","2001","AkademikerIn","Ostdeutschland","351","0.427221762476072","0.393486972910173","0.46095655204197"
"Ja","2002","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","2002","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2002","Hauptschule","Westdeutschland","","","",""
"Ja","2002","Hauptschule","Ostdeutschland","","","",""
"Ja","2002","Realschule","Westdeutschland","","","",""
"Ja","2002","Realschule","Ostdeutschland","","","",""
"Ja","2002","(Fach-)Abitur","Westdeutschland","","","",""
"Ja","2002","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","2002","AkademikerIn","Westdeutschland","","","",""
"Ja","2002","AkademikerIn","Ostdeutschland","","","",""
"Nein","2002","(noch) kein Abschluss","Westdeutschland","","","",""
"Nein","2002","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","2002","Hauptschule","Westdeutschland","","","",""
"Nein","2002","Hauptschule","Ostdeutschland","","","",""
"Nein","2002","Realschule","Westdeutschland","","","",""
