year,sampreg,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,West,Yes,0.52838,5042,9518,0.51835,0.53840
2001,West,No,0.47162,4476,9518,0.46160,0.48165
2001,East,Yes,0.45093,1335,2929,0.43291,0.46896
2001,East,No,0.54907,1594,2929,0.53104,0.56709
2006,West,Yes,0.51721,4916,9392,0.50711,0.52732
2006,West,No,0.48279,4476,9392,0.47268,0.49289
2006,East,Yes,0.44235,1259,2711,0.42365,0.46105
2006,East,No,0.55765,1452,2711,0.53895,0.57635
2011,West,Yes,0.54858,4659,8556,0.53803,0.55912
2011,West,No,0.45142,3897,8556,0.44088,0.46197
2011,East,Yes,0.47854,1273,2546,0.45913,0.49795
2011,East,No,0.52146,1273,2546,0.50205,0.54087
2016,West,Yes,0.54586,5971,11214,0.53664,0.55507
2016,West,No,0.45414,5243,11214,0.44493,0.46336
2016,East,Yes,0.49706,1317,2675,0.47811,0.51601
2016,East,No,0.50294,1358,2675,0.48399,0.52189
2019,West,Yes,0.54369,6160,12410,0.53493,0.55245
2019,West,No,0.45631,6250,12410,0.44755,0.46507
2019,East,Yes,0.51171,1429,3181,0.49434,0.52909
2019,East,No,0.48829,1752,3181,0.47091,0.50566
2022,West,Yes,0.61289,7811,12922,0.60449,0.62129
2022,West,No,0.38711,5111,12922,0.37871,0.39551
2022,East,Yes,0.56052,1848,3313,0.54361,0.57742
2022,East,No,0.43948,1465,3313,0.42258,0.45639
