year,quintil_oecd,regtyp,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,Urban regions,Yes,0.37902,348,910,0.34748,0.41056
2001,1st Quintile,Urban regions,No,0.62098,562,910,0.58944,0.65252
2001,1st Quintile,Rural regions,Yes,0.30675,171,529,0.26742,0.34609
2001,1st Quintile,Rural regions,No,0.69325,358,529,0.65391,0.73258
2001,2nd Quintile,Urban regions,Yes,0.47292,649,1354,0.44631,0.49952
2001,2nd Quintile,Urban regions,No,0.52708,705,1354,0.50048,0.55369
2001,2nd Quintile,Rural regions,Yes,0.39208,336,823,0.35870,0.42545
2001,2nd Quintile,Rural regions,No,0.60792,487,823,0.57455,0.64130
2001,3rd Quintile,Urban regions,Yes,0.54142,890,1661,0.51745,0.56539
2001,3rd Quintile,Urban regions,No,0.45858,771,1661,0.43461,0.48255
2001,3rd Quintile,Rural regions,Yes,0.50450,474,993,0.47338,0.53561
2001,3rd Quintile,Rural regions,No,0.49550,519,993,0.46439,0.52662
2001,4th Quintile,Urban regions,Yes,0.59853,1140,1940,0.57671,0.62035
2001,4th Quintile,Urban regions,No,0.40147,800,1940,0.37965,0.42329
2001,4th Quintile,Rural regions,Yes,0.53647,587,1075,0.50664,0.56629
2001,4th Quintile,Rural regions,No,0.46353,488,1075,0.43371,0.49336
2001,5th Quintile,Urban regions,Yes,0.56563,1352,2368,0.54566,0.58560
2001,5th Quintile,Urban regions,No,0.43437,1016,2368,0.41440,0.45434
2001,5th Quintile,Rural regions,Yes,0.54601,430,794,0.51136,0.58067
2001,5th Quintile,Rural regions,No,0.45399,364,794,0.41933,0.48864
2006,1st Quintile,Urban regions,Yes,0.37608,227,640,0.33852,0.41364
2006,1st Quintile,Urban regions,No,0.62392,413,640,0.58636,0.66148
2006,1st Quintile,Rural regions,Yes,0.32860,112,380,0.28131,0.37589
2006,1st Quintile,Rural regions,No,0.67140,268,380,0.62411,0.71869
2006,2nd Quintile,Urban regions,Yes,0.46636,410,896,0.43367,0.49904
2006,2nd Quintile,Urban regions,No,0.53364,486,896,0.50096,0.56633
2006,2nd Quintile,Rural regions,Yes,0.38678,221,584,0.34724,0.42631
2006,2nd Quintile,Rural regions,No,0.61322,363,584,0.57369,0.65276
2006,3rd Quintile,Urban regions,Yes,0.49303,635,1260,0.46542,0.52065
2006,3rd Quintile,Urban regions,No,0.50697,625,1260,0.47935,0.53458
2006,3rd Quintile,Rural regions,Yes,0.44871,325,746,0.41299,0.48442
2006,3rd Quintile,Rural regions,No,0.55129,421,746,0.51558,0.58701
2006,4th Quintile,Urban regions,Yes,0.58410,982,1671,0.56046,0.60774
2006,4th Quintile,Urban regions,No,0.41590,689,1671,0.39226,0.43954
2006,4th Quintile,Rural regions,Yes,0.49330,425,821,0.45908,0.52752
2006,4th Quintile,Rural regions,No,0.50670,396,821,0.47248,0.54092
2006,5th Quintile,Urban regions,Yes,0.58017,1599,2802,0.56190,0.59845
2006,5th Quintile,Urban regions,No,0.41983,1203,2802,0.40155,0.43810
2006,5th Quintile,Rural regions,Yes,0.55108,558,1016,0.52048,0.58168
2006,5th Quintile,Rural regions,No,0.44892,458,1016,0.41832,0.47952
2011,1st Quintile,Urban regions,Yes,0.45891,234,526,0.41628,0.50154
2011,1st Quintile,Urban regions,No,0.54109,292,526,0.49846,0.58372
2011,1st Quintile,Rural regions,Yes,0.23607,93,342,0.19100,0.28114
2011,1st Quintile,Rural regions,No,0.76393,249,342,0.71886,0.80900
