,Unnamed: 0,year,quintil_oecd,sex,plb0050,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,1st Quintile,male,Yes,0.3916,285,12447,0.35977,0.42413
1,1,2001,1st Quintile,male,No,0.6084,446,12447,0.57078,0.64963
2,2,2001,1st Quintile,female,Yes,0.31326,222,12447,0.28399,0.3441
3,3,2001,1st Quintile,female,No,0.68674,467,12447,0.64067,0.72444
4,4,2001,2nd Quintile,male,Yes,0.48328,625,12447,0.45591,0.50737
5,5,2001,2nd Quintile,male,No,0.51672,615,12447,0.491,0.5453
6,6,2001,2nd Quintile,female,Yes,0.40157,390,12447,0.37727,0.42602
7,7,2001,2nd Quintile,female,No,0.59843,581,12447,0.56648,0.63226
8,8,2001,3rd Quintile,male,Yes,0.57148,804,12447,0.54325,0.60077
9,9,2001,3rd Quintile,male,No,0.42852,643,12447,0.40124,0.44969
10,10,2001,3rd Quintile,female,Yes,0.46845,552,12447,0.44708,0.49187
11,11,2001,3rd Quintile,female,No,0.53155,647,12447,0.50399,0.55656
12,12,2001,4th Quintile,male,Yes,0.61777,1002,12447,0.59643,0.63845
13,13,2001,4th Quintile,male,No,0.38223,634,12447,0.36091,0.40081
14,14,2001,4th Quintile,female,Yes,0.53173,717,12447,0.50653,0.5568
15,15,2001,4th Quintile,female,No,0.46827,650,12447,0.44305,0.4933
16,16,2001,5th Quintile,male,Yes,0.56281,1008,12447,0.54171,0.58494
17,17,2001,5th Quintile,male,No,0.43719,781,12447,0.41891,0.45528
18,18,2001,5th Quintile,female,Yes,0.5554,772,12447,0.53716,0.5807
19,19,2001,5th Quintile,female,No,0.4446,606,12447,0.42191,0.46605
20,20,2006,1st Quintile,male,Yes,0.34272,146,10816,0.29375,0.39172
21,21,2006,1st Quintile,male,No,0.65728,305,10816,0.60032,0.70708
22,22,2006,1st Quintile,female,Yes,0.35356,186,10816,0.31428,0.39733
23,23,2006,1st Quintile,female,No,0.64644,397,10816,0.59615,0.70324
24,24,2006,2nd Quintile,male,Yes,0.45971,350,10816,0.42534,0.49493
25,25,2006,2nd Quintile,male,No,0.54029,414,10816,0.49542,0.58126
26,26,2006,2nd Quintile,female,Yes,0.4206,278,10816,0.38121,0.45789
27,27,2006,2nd Quintile,female,No,0.5794,437,10816,0.54033,0.62082
28,28,2006,3rd Quintile,male,Yes,0.50835,554,10816,0.46927,0.54845
29,29,2006,3rd Quintile,male,No,0.49165,523,10816,0.45849,0.52858
30,30,2006,3rd Quintile,female,Yes,0.45182,431,10816,0.41987,0.48281
31,31,2006,3rd Quintile,female,No,0.54818,509,10816,0.51192,0.59404
32,32,2006,4th Quintile,male,Yes,0.59215,785,10816,0.55295,0.62568
33,33,2006,4th Quintile,male,No,0.40785,531,10816,0.38203,0.43571
34,34,2006,4th Quintile,female,Yes,0.51837,613,10816,0.48322,0.55779
35,35,2006,4th Quintile,female,No,0.48163,548,10816,0.44193,0.51117
36,36,2006,5th Quintile,male,Yes,0.55876,1162,10816,0.52225,0.59494
37,37,2006,5th Quintile,male,No,0.44124,911,10816,0.41566,0.47423
38,38,2006,5th Quintile,female,Yes,0.58712,989,10816,0.55039,0.6266
39,39,2006,5th Quintile,female,No,0.41288,747,10816,0.38374,0.44037
40,40,2011,1st Quintile,male,Yes,0.36925,148,8877,0.29012,0.44961
41,41,2011,1st Quintile,male,No,0.63075,248,8877,0.55112,0.71067
42,42,2011,1st Quintile,female,Yes,0.37571,175,8877,0.31463,0.4384
43,43,2011,1st Quintile,female,No,0.62429,283,8877,0.54346,0.70579
44,44,2011,2nd Quintile,male,Yes,0.35872,252,8877,0.30765,0.40022
45,45,2011,2nd Quintile,male,No,0.64128,383,8877,0.57044,0.71448
46,46,2011,2nd Quintile,female,Yes,0.43211,255,8877,0.38081,0.48818
47,47,2011,2nd Quintile,female,No,0.56789,386,8877,0.50086,0.63734
48,48,2011,3rd Quintile,male,Yes,0.54879,491,8877,0.49301,0.59774
49,49,2011,3rd Quintile,male,No,0.45121,398,8877,0.40347,0.5078
50,50,2011,3rd Quintile,female,Yes,0.4812,427,8877,0.43431,0.54118
51,51,2011,3rd Quintile,female,No,0.5188,445,8877,0.45918,0.57325
52,52,2011,4th Quintile,male,Yes,0.58289,652,8877,0.53791,0.62221
53,53,2011,4th Quintile,male,No,0.41711,456,8877,0.37781,0.45812
54,54,2011,4th Quintile,female,Yes,0.52635,555,8877,0.47919,0.58063
55,55,2011,4th Quintile,female,No,0.47365,468,8877,0.42657,0.52282
56,56,2011,5th Quintile,male,Yes,0.60904,886,8877,0.56751,0.66367
57,57,2011,5th Quintile,male,No,0.39096,610,8877,0.35683,0.4265
58,58,2011,5th Quintile,female,Yes,0.59982,808,8877,0.55254,0.64444
59,59,2011,5th Quintile,female,No,0.40018,551,8877,0.36397,0.44038
60,60,2016,1st Quintile,male,Yes,0.37637,337,13889,0.32121,0.42629
61,61,2016,1st Quintile,male,No,0.62363,595,13889,0.5524,0.70829
62,62,2016,1st Quintile,female,Yes,0.38325,385,13889,0.33297,0.43481
63,63,2016,1st Quintile,female,No,0.61675,746,13889,0.55828,0.67633
64,64,2016,2nd Quintile,male,Yes,0.4485,607,13889,0.40909,0.50018
65,65,2016,2nd Quintile,male,No,0.5515,719,13889,0.497,0.61153
66,66,2016,2nd Quintile,female,Yes,0.39985,587,13889,0.35862,0.45113
67,67,2016,2nd Quintile,female,No,0.60015,874,13889,0.54787,0.65524
68,68,2016,3rd Quintile,male,Yes,0.53616,783,13889,0.49507,0.57663
69,69,2016,3rd Quintile,male,No,0.46384,597,13889,0.42384,0.51983
70,70,2016,3rd Quintile,female,Yes,0.51507,742,13889,0.46997,0.5652
71,71,2016,3rd Quintile,female,No,0.48493,712,13889,0.44253,0.52393
72,72,2016,4th Quintile,male,Yes,0.58,923,13889,0.5438,0.6281
