year,quintil_oecd,sampreg,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,West,Yes,0.09886,387,997,0.08032,0.11740
2001,1st Quintile,West,No,0.16467,610,997,0.14163,0.18770
2001,1st Quintile,East,Yes,0.08447,132,442,0.05852,0.11043
2001,1st Quintile,East,No,0.20211,310,442,0.16463,0.23959
2001,2nd Quintile,West,Yes,0.17530,755,1553,0.15638,0.19421
2001,2nd Quintile,West,No,0.20035,798,1553,0.18044,0.22026
2001,2nd Quintile,East,Yes,0.13017,230,624,0.10374,0.15659
2001,2nd Quintile,East,No,0.22408,394,624,0.19134,0.25682
2001,3rd Quintile,West,Yes,0.24849,1012,1906,0.22909,0.26790
2001,3rd Quintile,West,No,0.21208,894,1906,0.19373,0.23044
2001,3rd Quintile,East,Yes,0.22378,352,748,0.19390,0.25367
2001,3rd Quintile,East,No,0.23334,396,748,0.20301,0.26367
2001,4th Quintile,West,Yes,0.31570,1357,2363,0.29695,0.33444
2001,4th Quintile,West,No,0.22690,1006,2363,0.21001,0.24379
2001,4th Quintile,East,Yes,0.31853,370,652,0.28274,0.35432
2001,4th Quintile,East,No,0.24952,282,652,0.21628,0.28276
2001,5th Quintile,West,Yes,0.33862,1531,2699,0.32076,0.35648
2001,5th Quintile,West,No,0.26165,1168,2699,0.24507,0.27824
2001,5th Quintile,East,Yes,0.37586,251,463,0.33169,0.42002
2001,5th Quintile,East,No,0.32877,212,463,0.28594,0.37161
2006,1st Quintile,West,Yes,0.10421,252,692,0.08143,0.12700
2006,1st Quintile,West,No,0.16376,440,692,0.13617,0.19136
2006,1st Quintile,East,Yes,0.07596,87,328,0.04725,0.10468
2006,1st Quintile,East,No,0.20409,241,328,0.16040,0.24777
2006,2nd Quintile,West,Yes,0.16224,467,1003,0.13942,0.18507
2006,2nd Quintile,West,No,0.18881,536,1003,0.16457,0.21304
2006,2nd Quintile,East,Yes,0.12158,164,477,0.09222,0.15094
2006,2nd Quintile,East,No,0.21906,313,477,0.18190,0.25622
2006,3rd Quintile,West,Yes,0.22506,718,1456,0.20360,0.24652
2006,3rd Quintile,West,No,0.23272,738,1456,0.21101,0.25444
2006,3rd Quintile,East,Yes,0.19193,242,550,0.15898,0.22487
2006,3rd Quintile,East,No,0.26052,308,550,0.22380,0.29724
2006,4th Quintile,West,Yes,0.29152,1090,1941,0.27129,0.31174
2006,4th Quintile,West,No,0.23077,851,1941,0.21202,0.24952
2006,4th Quintile,East,Yes,0.29730,317,551,0.25910,0.33550
2006,4th Quintile,East,No,0.24381,234,551,0.20792,0.27969
2006,5th Quintile,West,Yes,0.35507,1830,3249,0.33861,0.37153
2006,5th Quintile,West,No,0.26539,1419,3249,0.25021,0.28058
2006,5th Quintile,East,Yes,0.42296,327,569,0.38233,0.46359
2006,5th Quintile,East,No,0.31028,242,569,0.27224,0.34833
2011,1st Quintile,West,Yes,0.07799,245,578,0.05611,0.09987
2011,1st Quintile,West,No,0.10983,333,578,0.08432,0.13534
2011,1st Quintile,East,Yes,0.06424,82,290,0.03597,0.09251
2011,1st Quintile,East,No,0.16196,208,290,0.11949,0.20444
2011,2nd Quintile,West,Yes,0.13436,354,838,0.11126,0.15747
2011,2nd Quintile,West,No,0.17645,484,838,0.15062,0.20228
