year,pgisced97,regtyp,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Pre-primary Level,Urban regions,No,0.84618,43,43,0.73707,0.95529
2001,Primary Level,Urban regions,Yes,0.57182,48,83,0.46472,0.67892
2001,Primary Level,Urban regions,No,0.42818,35,83,0.32108,0.53528
2001,Lower Secondary Level,Urban regions,Yes,0.50239,429,860,0.46895,0.53583
2001,Lower Secondary Level,Urban regions,No,0.49761,431,860,0.46417,0.53105
2001,Lower Secondary Level,Rural regions,Yes,0.36598,142,383,0.31768,0.41429
2001,Lower Secondary Level,Rural regions,No,0.63402,241,383,0.58571,0.68232
2001,Upper Secondary Level,Urban regions,Yes,0.50807,2102,4146,0.49285,0.52329
2001,Upper Secondary Level,Urban regions,No,0.49193,2044,4146,0.47671,0.50715
2001,Upper Secondary Level,Rural regions,Yes,0.47324,1134,2451,0.45347,0.49301
2001,Upper Secondary Level,Rural regions,No,0.52676,1317,2451,0.50699,0.54653
2001,Post-secondary Non-tertiary Level,Urban regions,Yes,0.54433,296,547,0.50256,0.58611
2001,Post-secondary Non-tertiary Level,Urban regions,No,0.45567,251,547,0.41389,0.49744
2001,Post-secondary Non-tertiary Level,Rural regions,Yes,0.52869,80,148,0.44799,0.60938
2001,Post-secondary Non-tertiary Level,Rural regions,No,0.47131,68,148,0.39062,0.55201
2001,First Stage of Tertiary Education,Urban regions,Yes,0.57066,412,728,0.53468,0.60664
2001,First Stage of Tertiary Education,Urban regions,No,0.42934,316,728,0.39336,0.46532
2001,First Stage of Tertiary Education,Rural regions,Yes,0.42433,166,392,0.37534,0.47332
2001,First Stage of Tertiary Education,Rural regions,No,0.57567,226,392,0.52668,0.62466
2001,Second Stage of Tertiary Education,Urban regions,Yes,0.59931,1070,1779,0.57653,0.62209
2001,Second Stage of Tertiary Education,Urban regions,No,0.40069,709,1779,0.37791,0.42347
2001,Second Stage of Tertiary Education,Rural regions,Yes,0.56291,460,780,0.52808,0.59774
2001,Second Stage of Tertiary Education,Rural regions,No,0.43709,320,780,0.40226,0.47192
2006,No answer / don't know,Urban regions,Yes,0.37633,41,94,0.27787,0.47479
2006,No answer / don't know,Urban regions,No,0.62367,53,94,0.52521,0.72213
2006,No answer / don't know,Rural regions,No,0.82316,41,41,0.70493,0.94140
2006,Lower Secondary Level,Urban regions,Yes,0.47153,286,585,0.43105,0.51202
2006,Lower Secondary Level,Urban regions,No,0.52847,299,585,0.48798,0.56895
2006,Lower Secondary Level,Rural regions,Yes,0.37948,108,305,0.32493,0.43402
2006,Lower Secondary Level,Rural regions,No,0.62052,197,305,0.56598,0.67507
2006,Upper Secondary Level,Urban regions,Yes,0.50467,1859,3722,0.48861,0.52074
2006,Upper Secondary Level,Urban regions,No,0.49533,1863,3722,0.47926,0.51139
2006,Upper Secondary Level,Rural regions,Yes,0.46654,975,2180,0.44560,0.48749
2006,Upper Secondary Level,Rural regions,No,0.53346,1205,2180,0.51251,0.55440
2006,Post-secondary Non-tertiary Level,Urban regions,Yes,0.50133,326,631,0.46229,0.54038
2006,Post-secondary Non-tertiary Level,Urban regions,No,0.49867,305,631,0.45962,0.53771
2006,Post-secondary Non-tertiary Level,Rural regions,Yes,0.49155,96,197,0.42156,0.56154
2006,Post-secondary Non-tertiary Level,Rural regions,No,0.50845,101,197,0.43846,0.57844
2006,First Stage of Tertiary Education,Urban regions,Yes,0.53088,360,668,0.49300,0.56875
2006,First Stage of Tertiary Education,Urban regions,No,0.46912,308,668,0.43125,0.50700
2006,First Stage of Tertiary Education,Rural regions,Yes,0.38547,165,391,0.33717,0.43378
2006,First Stage of Tertiary Education,Rural regions,No,0.61453,226,391,0.56622,0.66283
2006,Second Stage of Tertiary Education,Urban regions,Yes,0.60310,1380,2286,0.58304,0.62316
2006,Second Stage of Tertiary Education,Urban regions,No,0.39690,906,2286,0.37684,0.41696
2006,Second Stage of Tertiary Education,Rural regions,Yes,0.56419,531,883,0.53146,0.59691
2006,Second Stage of Tertiary Education,Rural regions,No,0.43581,352,883,0.40309,0.46854
2011,No answer / don't know,Urban regions,Yes,0.52685,48,100,0.42850,0.62521
2011,No answer / don't know,Urban regions,No,0.47315,52,100,0.37479,0.57150
2011,Lower Secondary Level,Urban regions,Yes,0.50101,240,499,0.45709,0.54492
2011,Lower Secondary Level,Urban regions,No,0.49899,259,499,0.45508,0.54291
2011,Lower Secondary Level,Rural regions,Yes,0.45688,110,259,0.39609,0.51766
2011,Lower Secondary Level,Rural regions,No,0.54312,149,259,0.48234,0.60391
2011,Upper Secondary Level,Urban regions,Yes,0.51544,1677,3261,0.49829,0.53260
2011,Upper Secondary Level,Urban regions,No,0.48456,1584,3261,0.46740,0.50171
2011,Upper Secondary Level,Rural regions,Yes,0.48229,1023,2174,0.46128,0.50330
2011,Upper Secondary Level,Rural regions,No,0.51771,1151,2174,0.49670,0.53872
2011,Post-secondary Non-tertiary Level,Urban regions,Yes,0.57699,334,606,0.53763,0.61636
2011,Post-secondary Non-tertiary Level,Urban regions,No,0.42301,272,606,0.38364,0.46237
2011,Post-secondary Non-tertiary Level,Rural regions,Yes,0.61841,125,227,0.55507,0.68174
2011,Post-secondary Non-tertiary Level,Rural regions,No,0.38159,102,227,0.31826,0.44493
2011,First Stage of Tertiary Education,Urban regions,Yes,0.51373,286,523,0.47085,0.55661
2011,First Stage of Tertiary Education,Urban regions,No,0.48627,237,523,0.44339,0.52915
2011,First Stage of Tertiary Education,Rural regions,Yes,0.46912,171,352,0.41691,0.52133
2011,First Stage of Tertiary Education,Rural regions,No,0.53088,181,352,0.47867,0.58309
2011,Second Stage of Tertiary Education,Urban regions,Yes,0.64480,1317,2094,0.62430,0.66530
2011,Second Stage of Tertiary Education,Urban regions,No,0.35520,777,2094,0.33470,0.37570
2011,Second Stage of Tertiary Education,Rural regions,Yes,0.57143,532,848,0.53810,0.60476
2011,Second Stage of Tertiary Education,Rural regions,No,0.42857,316,848,0.39524,0.46190
2016,No answer / don't know,Urban regions,Yes,0.41652,79,184,0.34510,0.48795
2016,No answer / don't know,Urban regions,No,0.58348,105,184,0.51205,0.65490
2016,No answer / don't know,Rural regions,Yes,0.53236,46,102,0.43505,0.62967
2016,No answer / don't know,Rural regions,No,0.46764,56,102,0.37033,0.56495
2016,Primary Level,Urban regions,Yes,0.44802,41,104,0.35198,0.54406
2016,Primary Level,Urban regions,No,0.55198,63,104,0.45594,0.64802
2016,Lower Secondary Level,Urban regions,Yes,0.43788,297,747,0.40228,0.47348
2016,Lower Secondary Level,Urban regions,No,0.56212,450,747,0.52652,0.59772
2016,Lower Secondary Level,Rural regions,Yes,0.44343,164,400,0.39469,0.49218
2016,Lower Secondary Level,Rural regions,No,0.55657,236,400,0.50782,0.60531
2016,Upper Secondary Level,Urban regions,Yes,0.49168,1775,3653,0.47546,0.50789
2016,Upper Secondary Level,Urban regions,No,0.50832,1878,3653,0.49211,0.52454
2016,Upper Secondary Level,Rural regions,Yes,0.49596,1202,2534,0.47649,0.51543
2016,Upper Secondary Level,Rural regions,No,0.50404,1332,2534,0.48457,0.52351
2016,Post-secondary Non-tertiary Level,Urban regions,Yes,0.53111,546,1066,0.50114,0.56108
2016,Post-secondary Non-tertiary Level,Urban regions,No,0.46889,520,1066,0.43892,0.49886
2016,Post-secondary Non-tertiary Level,Rural regions,Yes,0.57812,201,389,0.52897,0.62726
2016,Post-secondary Non-tertiary Level,Rural regions,No,0.42188,188,389,0.37274,0.47103
2016,First Stage of Tertiary Education,Urban regions,Yes,0.58384,306,520,0.54143,0.62625
2016,First Stage of Tertiary Education,Urban regions,No,0.41616,214,520,0.37375,0.45857
2016,First Stage of Tertiary Education,Rural regions,Yes,0.55724,187,348,0.50497,0.60950
2016,First Stage of Tertiary Education,Rural regions,No,0.44276,161,348,0.39050,0.49503
