,Unnamed: 0,year,plb0050,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Yes,0.51495,6377,12447,0.5071,0.52464
1,1,2001,No,0.48505,6070,12447,0.47692,0.49378
2,2,2006,Yes,0.50453,6175,12103,0.49297,0.51475
3,3,2006,No,0.49547,5928,12103,0.48189,0.50748
4,4,2011,Yes,0.53607,5932,11102,0.52189,0.55101
5,5,2011,No,0.46393,5170,11102,0.45287,0.47866
6,6,2016,Yes,0.53744,7288,13889,0.52197,0.55137
7,7,2016,No,0.46256,6601,13889,0.4485,0.47894
8,8,2019,Yes,0.53878,7616,15637,0.52247,0.55431
9,9,2019,No,0.46122,8021,15637,0.44864,0.47708
