,Unnamed: 0,year,migback,quintil_oecd,plb0050,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,No migration background,1st Quintile,Yes,0.33946,323,12388,0.31909,0.36339
1,1,2001,No migration background,1st Quintile,No,0.66054,661,12388,0.63167,0.69468
2,2,2001,No migration background,2nd Quintile,Yes,0.43049,732,12388,0.40955,0.45147
3,3,2001,No migration background,2nd Quintile,No,0.56951,965,12388,0.54668,0.59334
4,4,2001,No migration background,3rd Quintile,Yes,0.53131,1117,12388,0.51227,0.54963
5,5,2001,No migration background,3rd Quintile,No,0.46869,1080,12388,0.45465,0.48791
6,6,2001,No migration background,4th Quintile,Yes,0.57785,1498,12388,0.55659,0.59704
7,7,2001,No migration background,4th Quintile,No,0.42215,1131,12388,0.40564,0.44264
8,8,2001,No migration background,5th Quintile,Yes,0.55821,1624,12388,0.54145,0.5766
9,9,2001,No migration background,5th Quintile,No,0.44179,1271,12388,0.42542,0.45628
10,10,2001,Direct migration background,1st Quintile,Yes,0.38417,155,12388,0.33341,0.4305
11,11,2001,Direct migration background,1st Quintile,No,0.61583,204,12388,0.55881,0.67854
12,12,2001,Direct migration background,2nd Quintile,Yes,0.5172,225,12388,0.47389,0.56638
13,13,2001,Direct migration background,2nd Quintile,No,0.4828,174,12388,0.43535,0.52755
14,14,2001,Direct migration background,3rd Quintile,Yes,0.51077,187,12388,0.45454,0.56755
15,15,2001,Direct migration background,3rd Quintile,No,0.48923,164,12388,0.4303,0.5592
16,16,2001,Direct migration background,4th Quintile,Yes,0.61874,170,12388,0.54798,0.68566
17,17,2001,Direct migration background,4th Quintile,No,0.38126,110,12388,0.33365,0.43882
18,18,2001,Direct migration background,5th Quintile,Yes,0.57337,116,12388,0.48985,0.64786
19,19,2001,Direct migration background,5th Quintile,No,0.42663,86,12388,0.36201,0.50262
20,20,2001,Indirect migration background,1st Quintile,No,1.0,48,12388,0.78764,1.1898
21,21,2001,Indirect migration background,2nd Quintile,Yes,0.51737,58,12388,0.41562,0.61485
22,22,2001,Indirect migration background,2nd Quintile,No,0.48263,57,12388,0.38663,0.57536
23,23,2001,Indirect migration background,3rd Quintile,Yes,0.47363,52,12388,0.37339,0.60554
24,24,2001,Indirect migration background,3rd Quintile,No,0.52637,46,12388,0.4034,0.63099
25,25,2001,Indirect migration background,4th Quintile,Yes,0.48991,51,12388,0.40333,0.5719
26,26,2001,Indirect migration background,4th Quintile,No,0.51009,43,12388,0.37154,0.65192
27,27,2001,Indirect migration background,5th Quintile,Yes,1.0,40,12388,0.81399,1.21737
28,28,2006,No migration background,1st Quintile,Yes,0.31731,226,10762,0.28576,0.34841
29,29,2006,No migration background,1st Quintile,No,0.68269,536,10762,0.63416,0.73822
30,30,2006,No migration background,2nd Quintile,Yes,0.42594,471,10762,0.39478,0.45749
31,31,2006,No migration background,2nd Quintile,No,0.57406,698,10762,0.54211,0.6045
32,32,2006,No migration background,3rd Quintile,Yes,0.48504,801,10762,0.46116,0.51286
33,33,2006,No migration background,3rd Quintile,No,0.51496,849,10762,0.48622,0.54745
34,34,2006,No migration background,4th Quintile,Yes,0.55959,1205,10762,0.53446,0.59021
35,35,2006,No migration background,4th Quintile,No,0.44041,954,10762,0.41712,0.46434
36,36,2006,No migration background,5th Quintile,Yes,0.57642,1987,10762,0.55152,0.60209
37,37,2006,No migration background,5th Quintile,No,0.42358,1509,10762,0.40283,0.44262
38,38,2006,Direct migration background,1st Quintile,Yes,0.39739,76,10762,0.32071,0.47943
39,39,2006,Direct migration background,1st Quintile,No,0.60261,117,10762,0.53551,0.69778
40,40,2006,Direct migration background,2nd Quintile,Yes,0.50973,133,10762,0.42239,0.58313
41,41,2006,Direct migration background,2nd Quintile,No,0.49027,115,10762,0.40154,0.55878
42,42,2006,Direct migration background,3rd Quintile,Yes,0.49312,129,10762,0.43087,0.56021
