,Unnamed: 0,year,migback,pgisced97,plb0050,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,No migration background,Pre-primary Level,No,1.0,50,12208,0.83631,1.18179
1,1,2001,No migration background,Lower Secondary Level,Yes,0.44491,301,12208,0.41982,0.47144
2,2,2001,No migration background,Lower Secondary Level,No,0.55509,435,12208,0.52596,0.58456
3,3,2001,No migration background,Upper Secondary Level,Yes,0.49699,2789,12208,0.48718,0.50829
4,4,2001,No migration background,Upper Secondary Level,No,0.50301,2949,12208,0.49107,0.51586
5,5,2001,No migration background,Post-secondary Non-tertiary Level,Yes,0.55,280,12208,0.50874,0.60288
6,6,2001,No migration background,Post-secondary Non-tertiary Level,No,0.45,235,12208,0.4101,0.48461
7,7,2001,No migration background,First Stage of Tertiary Education,Yes,0.52458,508,12208,0.49551,0.54784
8,8,2001,No migration background,First Stage of Tertiary Education,No,0.47542,478,12208,0.44365,0.50637
9,9,2001,No migration background,Second Stage of Tertiary Education,Yes,0.59224,1376,12208,0.57188,0.6131
10,10,2001,No migration background,Second Stage of Tertiary Education,No,0.40776,910,12208,0.39065,0.42505
11,11,2001,Direct migration background,Primary Level,Yes,1.0,40,12208,0.81277,1.22186
12,12,2001,Direct migration background,Lower Secondary Level,Yes,0.50439,209,12208,0.45521,0.56477
13,13,2001,Direct migration background,Lower Secondary Level,No,0.49561,161,12208,0.448,0.55178
14,14,2001,Direct migration background,Upper Secondary Level,Yes,0.48305,336,12208,0.45234,0.51629
15,15,2001,Direct migration background,Upper Secondary Level,No,0.51695,314,12208,0.46645,0.56445
16,16,2001,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.51216,84,12208,0.43915,0.57988
17,17,2001,Direct migration background,Post-secondary Non-tertiary Level,No,0.48784,72,12208,0.41544,0.55466
18,18,2001,Direct migration background,First Stage of Tertiary Education,Yes,0.48749,53,12208,0.4018,0.58056
19,19,2001,Direct migration background,First Stage of Tertiary Education,No,0.51251,54,12208,0.41289,0.62608
20,20,2001,Direct migration background,Second Stage of Tertiary Education,Yes,0.58036,126,12208,0.49538,0.66166
21,21,2001,Direct migration background,Second Stage of Tertiary Education,No,0.41964,103,12208,0.37313,0.47145
22,22,2001,Indirect migration background,Lower Secondary Level,Yes,0.45387,61,12208,0.37056,0.55299
23,23,2001,Indirect migration background,Lower Secondary Level,No,0.54613,76,12208,0.46006,0.64814
24,24,2001,Indirect migration background,Upper Secondary Level,Yes,0.52382,111,12208,0.45362,0.59532
25,25,2001,Indirect migration background,Upper Secondary Level,No,0.47618,97,12208,0.40573,0.54221
26,26,2006,No migration background,Lower Secondary Level,Yes,0.43867,244,11753,0.39429,0.48249
27,27,2006,No migration background,Lower Secondary Level,No,0.56133,332,11753,0.52175,0.60653
28,28,2006,No migration background,Upper Secondary Level,Yes,0.48981,2463,11753,0.47611,0.50488
29,29,2006,No migration background,Upper Secondary Level,No,0.51019,2719,11753,0.49611,0.52286
30,30,2006,No migration background,Post-secondary Non-tertiary Level,Yes,0.47517,321,11753,0.43896,0.51467
31,31,2006,No migration background,Post-secondary Non-tertiary Level,No,0.52483,329,11753,0.46864,0.57272
32,32,2006,No migration background,First Stage of Tertiary Education,Yes,0.48991,472,11753,0.4522,0.52861
33,33,2006,No migration background,First Stage of Tertiary Education,No,0.51009,466,11753,0.47403,0.54501
34,34,2006,No migration background,Second Stage of Tertiary Education,Yes,0.60207,1749,11753,0.57528,0.63097
35,35,2006,No migration background,Second Stage of Tertiary Education,No,0.39793,1125,11753,0.37618,0.41924
36,36,2006,Direct migration background,Lower Secondary Level,Yes,0.47817,119,11753,0.40861,0.55344
37,37,2006,Direct migration background,Lower Secondary Level,No,0.52183,105,11753,0.44007,0.59295
38,38,2006,Direct migration background,Upper Secondary Level,Yes,0.48939,253,11753,0.44309,0.53279
39,39,2006,Direct migration background,Upper Secondary Level,No,0.51061,244,11753,0.45885,0.56606
40,40,2006,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.54666,80,11753,0.46113,0.64955
41,41,2006,Direct migration background,Post-secondary Non-tertiary Level,No,0.45334,65,11753,0.3614,0.53695
42,42,2006,Direct migration background,First Stage of Tertiary Education,Yes,0.36246,35,11753,0.27275,0.46077
43,43,2006,Direct migration background,First Stage of Tertiary Education,No,0.63754,50,11753,0.51036,0.78407
44,44,2006,Direct migration background,Second Stage of Tertiary Education,Yes,0.50164,122,11753,0.44342,0.57465
45,45,2006,Direct migration background,Second Stage of Tertiary Education,No,0.49836,108,11753,0.42716,0.56801
46,46,2006,Indirect migration background,Lower Secondary Level,Yes,0.37902,31,11753,0.2738,0.4891
47,47,2006,Indirect migration background,Lower Secondary Level,No,0.62098,59,11753,0.47173,0.75642
48,48,2006,Indirect migration background,Upper Secondary Level,Yes,0.53382,118,11753,0.4468,0.61518
49,49,2006,Indirect migration background,Upper Secondary Level,No,0.46618,104,11753,0.38041,0.54289
50,50,2006,Indirect migration background,Second Stage of Tertiary Education,Yes,1.0,40,11753,0.72338,1.25195
51,51,2011,No migration background,Lower Secondary Level,Yes,0.48772,237,10732,0.43068,0.54723
52,52,2011,No migration background,Lower Secondary Level,No,0.51228,288,10732,0.45359,0.56772
53,53,2011,No migration background,Upper Secondary Level,Yes,0.50133,2366,10732,0.48394,0.52375
54,54,2011,No migration background,Upper Secondary Level,No,0.49867,2427,10732,0.47823,0.52086
55,55,2011,No migration background,Post-secondary Non-tertiary Level,Yes,0.57664,369,10732,0.51527,0.65042
56,56,2011,No migration background,Post-secondary Non-tertiary Level,No,0.42336,307,10732,0.37741,0.47637
57,57,2011,No migration background,First Stage of Tertiary Education,Yes,0.51299,421,10732,0.46611,0.57029
58,58,2011,No migration background,First Stage of Tertiary Education,No,0.48701,374,10732,0.43858,0.5426
59,59,2011,No migration background,Second Stage of Tertiary Education,Yes,0.63356,1673,10732,0.60267,0.66803
60,60,2011,No migration background,Second Stage of Tertiary Education,No,0.36644,969,10732,0.34088,0.39764
61,61,2011,Direct migration background,Lower Secondary Level,Yes,0.46722,75,10732,0.37937,0.5835
62,62,2011,Direct migration background,Lower Secondary Level,No,0.53278,79,10732,0.44705,0.64926
63,63,2011,Direct migration background,Upper Secondary Level,Yes,0.50544,208,10732,0.43645,0.55976
64,64,2011,Direct migration background,Upper Secondary Level,No,0.49456,211,10732,0.43504,0.55656
65,65,2011,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.57444,68,10732,0.44358,0.73079
66,66,2011,Direct migration background,Post-secondary Non-tertiary Level,No,0.42556,59,10732,0.31868,0.54708
67,67,2011,Direct migration background,Second Stage of Tertiary Education,Yes,0.56889,115,10732,0.48142,0.66102
68,68,2011,Direct migration background,Second Stage of Tertiary Education,No,0.43111,92,10732,0.35603,0.50567
69,69,2011,Indirect migration background,Lower Secondary Level,Yes,0.52832,38,10732,0.34767,0.66862
70,70,2011,Indirect migration background,Lower Secondary Level,No,0.47168,40,10732,0.32434,0.69619
71,71,2011,Indirect migration background,Upper Secondary Level,Yes,0.53586,126,10732,0.41186,0.63543
72,72,2011,Indirect migration background,Upper Secondary Level,No,0.46414,97,10732,0.3703,0.57239
73,73,2011,Indirect migration background,Second Stage of Tertiary Education,Yes,0.62245,61,10732,0.47748,0.81904
74,74,2011,Indirect migration background,Second Stage of Tertiary Education,No,0.37755,32,10732,0.23275,0.54573
75,75,2016,No migration background,Lower Secondary Level,Yes,0.49358,255,13419,0.44149,0.56456
76,76,2016,No migration background,Lower Secondary Level,No,0.50642,308,13419,0.43805,0.58169
77,77,2016,No migration background,Upper Secondary Level,Yes,0.49196,2350,13419,0.47087,0.51078
78,78,2016,No migration background,Upper Secondary Level,No,0.50804,2447,13419,0.48637,0.52869
79,79,2016,No migration background,Post-secondary Non-tertiary Level,Yes,0.56517,497,13419,0.50325,0.62322
80,80,2016,No migration background,Post-secondary Non-tertiary Level,No,0.43483,401,13419,0.3927,0.49773
81,81,2016,No migration background,First Stage of Tertiary Education,Yes,0.59331,437,13419,0.53604,0.66817
82,82,2016,No migration background,First Stage of Tertiary Education,No,0.40669,326,13419,0.36108,0.46511
83,83,2016,No migration background,Second Stage of Tertiary Education,Yes,0.68444,1853,13419,0.64953,0.72767
84,84,2016,No migration background,Second Stage of Tertiary Education,No,0.31556,897,13419,0.29041,0.33912
85,85,2016,Direct migration background,Primary Level,Yes,0.40985,36,13419,0.29076,0.55844
86,86,2016,Direct migration background,Primary Level,No,0.59015,56,13419,0.44323,0.76297
87,87,2016,Direct migration background,Lower Secondary Level,Yes,0.33943,133,13419,0.26921,0.41287
88,88,2016,Direct migration background,Lower Secondary Level,No,0.66057,279,13419,0.53845,0.79379
89,89,2016,Direct migration background,Upper Secondary Level,Yes,0.44726,421,13419,0.3879,0.50323
90,90,2016,Direct migration background,Upper Secondary Level,No,0.55274,579,13419,0.48842,0.62238
91,91,2016,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.46175,213,13419,0.38498,0.5439
92,92,2016,Direct migration background,Post-secondary Non-tertiary Level,No,0.53825,263,13419,0.44363,0.64018
93,93,2016,Direct migration background,First Stage of Tertiary Education,No,1.0,32,13419,0.59277,1.45797
94,94,2016,Direct migration background,Second Stage of Tertiary Education,Yes,0.48322,439,13419,0.43596,0.54964
95,95,2016,Direct migration background,Second Stage of Tertiary Education,No,0.51678,380,13419,0.44055,0.59417
96,96,2016,Indirect migration background,Lower Secondary Level,Yes,0.41862,70,13419,0.32963,0.54113
97,97,2016,Indirect migration background,Lower Secondary Level,No,0.58138,99,13419,0.43675,0.74826
98,98,2016,Indirect migration background,Upper Secondary Level,Yes,0.62638,209,13419,0.5202,0.74467
99,99,2016,Indirect migration background,Upper Secondary Level,No,0.37362,181,13419,0.32098,0.43516
100,100,2016,Indirect migration background,Post-secondary Non-tertiary Level,Yes,0.56986,35,13419,0.39202,0.75454
101,101,2016,Indirect migration background,Post-secondary Non-tertiary Level,No,0.43014,45,13419,0.32562,0.54726
102,102,2016,Indirect migration background,Second Stage of Tertiary Education,Yes,0.64443,120,13419,0.50086,0.77423
