year,migback,sampreg,plb0050,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2001,No migration background,West,Yes,0.53166,3974,12403,0.53147,0.53186
2001,No migration background,West,No,0.46834,3543,12403,0.46814,0.46853
2001,No migration background,East,Yes,0.45391,1320,12403,0.45352,0.45430
2001,No migration background,East,No,0.54609,1565,12403,0.54570,0.54648
2001,Direct migration background,West,Yes,0.51672,843,12403,0.51625,0.51718
2001,Direct migration background,West,No,0.48328,714,12403,0.48282,0.48375
2001,Indirect migration background,West,Yes,0.50002,225,12403,0.49908,0.50095
2001,Indirect migration background,West,No,0.49998,219,12403,0.49905,0.50092
2006,No migration background,West,Yes,0.52205,4060,12060,0.52185,0.52225
2006,No migration background,West,No,0.47795,3670,12060,0.47775,0.47815
2006,No migration background,East,Yes,0.44518,1243,12060,0.44478,0.44558
2006,No migration background,East,No,0.55482,1425,12060,0.55442,0.55522
2006,Direct migration background,West,Yes,0.49312,624,12060,0.49266,0.49359
2006,Direct migration background,West,No,0.50688,577,12060,0.50641,0.50734
2006,Indirect migration background,West,Yes,0.51053,232,12060,0.50975,0.51131
2006,Indirect migration background,West,No,0.48947,229,12060,0.48869,0.49025
2011,No migration background,West,Yes,0.55545,3902,11055,0.55524,0.55566
2011,No migration background,West,No,0.44455,3208,11055,0.44434,0.44476
2011,No migration background,East,Yes,0.47836,1247,11055,0.47795,0.47877
2011,No migration background,East,No,0.52164,1252,11055,0.52123,0.52205
2011,Direct migration background,West,Yes,0.50952,495,11055,0.50901,0.51003
2011,Direct migration background,West,No,0.49048,474,11055,0.48997,0.49099
2011,Indirect migration background,West,Yes,0.54510,262,11055,0.54432,0.54589
2011,Indirect migration background,West,No,0.45490,215,11055,0.45411,0.45568
2016,No migration background,West,Yes,0.56655,4286,13865,0.56635,0.56675
2016,No migration background,West,No,0.43345,3315,13865,0.43325,0.43365
2016,No migration background,East,Yes,0.50390,1218,13865,0.50350,0.50430
2016,No migration background,East,No,0.49610,1214,13865,0.49570,0.49650
2016,Direct migration background,West,Yes,0.43967,1215,13865,0.43925,0.44009
2016,Direct migration background,West,No,0.56033,1507,13865,0.55991,0.56075
2016,Direct migration background,East,Yes,0.38230,75,13865,0.38053,0.38407
2016,Direct migration background,East,No,0.61770,111,13865,0.61593,0.61947
2016,Indirect migration background,West,Yes,0.58258,470,13865,0.58193,0.58322
2016,Indirect migration background,West,No,0.41742,421,13865,0.41678,0.41807
2016,Indirect migration background,East,No,1.00000,33,13865,1.00000,1.00000
2019,No migration background,West,Yes,0.55376,4618,15591,0.55356,0.55396
2019,No migration background,West,No,0.44624,4562,15591,0.44604,0.44644
2019,No migration background,East,Yes,0.51563,1321,15591,0.51522,0.51603
2019,No migration background,East,No,0.48437,1610,15591,0.48397,0.48478
2019,Direct migration background,West,Yes,0.49194,1054,15591,0.49154,0.49235
2019,Direct migration background,West,No,0.50806,1204,15591,0.50765,0.50846
2019,Direct migration background,East,Yes,0.40199,75,15591,0.40022,0.40376
2019,Direct migration background,East,No,0.59801,103,15591,0.59624,0.59978
2019,Indirect migration background,West,Yes,0.57030,488,15591,0.56971,0.57090
2019,Indirect migration background,West,No,0.42970,484,15591,0.42910,0.43029
2019,Indirect migration background,East,Yes,0.51792,33,15591,0.51490,0.52094
2019,Indirect migration background,East,No,0.48208,39,15591,0.47906,0.48510
