,Unnamed: 0,year,bula_h,sex,plb0050,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Schleswig-Holstein,male,Yes,0.54831,107,12333,0.48963,0.61081
1,1,2001,Schleswig-Holstein,male,No,0.45169,93,12333,0.40925,0.50031
2,2,2001,Schleswig-Holstein,female,Yes,0.45918,75,12333,0.38962,0.52336
3,3,2001,Schleswig-Holstein,female,No,0.54082,96,12333,0.49012,0.60135
4,4,2001,Hamburg,male,Yes,0.53882,45,12333,0.44507,0.60947
5,5,2001,Hamburg,male,No,0.46118,37,12333,0.38954,0.5377
6,6,2001,Hamburg,female,Yes,1.0,50,12333,0.85542,1.13518
7,7,2001,Lower Saxony,male,Yes,0.57987,341,12333,0.53882,0.61541
8,8,2001,Lower Saxony,male,No,0.42013,243,12333,0.39011,0.45636
9,9,2001,Lower Saxony,female,Yes,0.45828,218,12333,0.42351,0.49612
10,10,2001,Lower Saxony,female,No,0.54172,236,12333,0.49999,0.58499
11,11,2001,North Rhine-Westphalia,male,Yes,0.56723,851,12333,0.54174,0.59075
12,12,2001,North Rhine-Westphalia,male,No,0.43277,624,12333,0.40868,0.45599
13,13,2001,North Rhine-Westphalia,female,Yes,0.47789,541,12333,0.44955,0.50153
14,14,2001,North Rhine-Westphalia,female,No,0.52211,612,12333,0.49361,0.5477
15,15,2001,Hesse,male,Yes,0.61853,293,12333,0.57381,0.66349
16,16,2001,Hesse,male,No,0.38147,184,12333,0.34955,0.41242
17,17,2001,Hesse,female,Yes,0.51942,195,12333,0.47346,0.56968
18,18,2001,Hesse,female,No,0.48058,182,12333,0.44464,0.52317
19,19,2001,"Rhineland-Palatinate, Saarland",male,Yes,0.50847,228,12333,0.47795,0.54257
20,20,2001,"Rhineland-Palatinate, Saarland",male,No,0.49153,189,12333,0.44472,0.5359
21,21,2001,"Rhineland-Palatinate, Saarland",female,Yes,0.42816,132,12333,0.38892,0.4752
22,22,2001,"Rhineland-Palatinate, Saarland",female,No,0.57184,178,12333,0.53075,0.6097
23,23,2001,Baden-Wuerttemberg,male,Yes,0.5887,521,12333,0.55832,0.62165
24,24,2001,Baden-Wuerttemberg,male,No,0.4113,371,12333,0.38006,0.4396
25,25,2001,Baden-Wuerttemberg,female,Yes,0.46404,318,12333,0.43009,0.50221
26,26,2001,Baden-Wuerttemberg,female,No,0.53596,355,12333,0.49193,0.57287
27,27,2001,Bavaria,male,Yes,0.56277,563,12333,0.53656,0.59297
28,28,2001,Bavaria,male,No,0.43723,419,12333,0.41089,0.46609
29,29,2001,Bavaria,female,Yes,0.43479,371,12333,0.40365,0.4603
30,30,2001,Bavaria,female,No,0.56521,484,12333,0.53466,0.59221
31,31,2001,Berlin,male,Yes,0.52556,142,12333,0.47681,0.57548
32,32,2001,Berlin,male,No,0.47444,104,12333,0.41579,0.51955
33,33,2001,Berlin,female,Yes,0.52023,106,12333,0.46213,0.57628
34,34,2001,Berlin,female,No,0.47977,102,12333,0.42876,0.53276
35,35,2001,Brandenburg,male,Yes,0.44483,118,12333,0.40105,0.49631
36,36,2001,Brandenburg,male,No,0.55517,149,12333,0.50119,0.60403
37,37,2001,Brandenburg,female,Yes,0.60044,133,12333,0.54129,0.65439
38,38,2001,Brandenburg,female,No,0.39956,107,12333,0.36486,0.44396
39,39,2001,Mecklenburg-Western Pomerania,male,Yes,0.51734,69,12333,0.43547,0.59064
40,40,2001,Mecklenburg-Western Pomerania,male,No,0.48266,73,12333,0.40877,0.56323
41,41,2001,Mecklenburg-Western Pomerania,female,Yes,0.46618,72,12333,0.39422,0.53177
42,42,2001,Mecklenburg-Western Pomerania,female,No,0.53382,84,12333,0.47002,0.59706
43,43,2001,Saxony,male,Yes,0.39766,189,12333,0.36577,0.43661
44,44,2001,Saxony,male,No,0.60234,286,12333,0.56212,0.64019
45,45,2001,Saxony,female,Yes,0.45495,188,12333,0.41381,0.49698
46,46,2001,Saxony,female,No,0.54505,221,12333,0.50114,0.58838
47,47,2001,Saxony-Anhalt,male,Yes,0.35016,102,12333,0.30892,0.3909
48,48,2001,Saxony-Anhalt,male,No,0.64984,168,12333,0.6007,0.71036
49,49,2001,Saxony-Anhalt,female,Yes,0.43711,123,12333,0.39267,0.47611
50,50,2001,Saxony-Anhalt,female,No,0.56289,130,12333,0.4979,0.63578
51,51,2001,Thuringa,male,Yes,0.43487,131,12333,0.38599,0.4847
52,52,2001,Thuringa,male,No,0.56513,158,12333,0.50846,0.61217
53,53,2001,Thuringa,female,Yes,0.45459,107,12333,0.40948,0.50638
54,54,2001,Thuringa,female,No,0.54541,119,12333,0.49853,0.60773
55,55,2006,Schleswig-Holstein,male,Yes,0.48284,95,12027,0.41825,0.56663
56,56,2006,Schleswig-Holstein,male,No,0.51716,100,12027,0.44792,0.6
57,57,2006,Schleswig-Holstein,female,Yes,0.47411,84,12027,0.38994,0.55042
58,58,2006,Schleswig-Holstein,female,No,0.52589,86,12027,0.44414,0.62622
59,59,2006,Hamburg,male,Yes,0.43762,36,12027,0.3314,0.57618
60,60,2006,Hamburg,male,No,0.56238,46,12027,0.42901,0.71859
61,61,2006,Hamburg,female,Yes,0.50257,33,12027,0.38412,0.63998
62,62,2006,Hamburg,female,No,0.49743,39,12027,0.37773,0.63376
63,63,2006,Lower Saxony,male,Yes,0.5364,311,12027,0.48473,0.60035
64,64,2006,Lower Saxony,male,No,0.4636,273,12027,0.41841,0.50025
65,65,2006,Lower Saxony,female,Yes,0.47578,234,12027,0.42611,0.53374
66,66,2006,Lower Saxony,female,No,0.52422,253,12027,0.47603,0.57671
67,67,2006,North Rhine-Westphalia,male,Yes,0.56051,760,12027,0.528,0.60091
68,68,2006,North Rhine-Westphalia,male,No,0.43949,562,12027,0.41186,0.47349
69,69,2006,North Rhine-Westphalia,female,Yes,0.51224,583,12027,0.4814,0.54478
70,70,2006,North Rhine-Westphalia,female,No,0.48776,569,12027,0.45221,0.519
71,71,2006,Hesse,male,Yes,0.55418,265,12027,0.50286,0.60398
72,72,2006,Hesse,male,No,0.44582,198,12027,0.38732,0.50355
