"plb0050","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2001","(noch) kein Abschluss","männlich","44","0.471681333875379","0.370766156761093","0.572596510989665"
"Ja","2001","(noch) kein Abschluss","weiblich","28","","",""
"Ja","2001","Hauptschule","männlich","1357","0.524002982819928","0.504735584136732","0.543270381503123"
"Ja","2001","Hauptschule","weiblich","714","0.426095256531708","0.402595184627016","0.449595328436401"
"Ja","2001","Realschule","männlich","1029","0.538885109346779","0.516822241721417","0.56094797697214"
"Ja","2001","Realschule","weiblich","953","0.470262747766873","0.448745912321012","0.491779583212735"
"Ja","2001","(Fach-)Abitur","männlich","376","0.534722521475073","0.497532252356768","0.571912790593378"
"Ja","2001","(Fach-)Abitur","weiblich","330","0.514307626751098","0.476032241977481","0.552583011524715"
"Ja","2001","AkademikerIn","männlich","907","0.601852939167827","0.576972413218231","0.626733465117424"
"Ja","2001","AkademikerIn","weiblich","623","0.571801131777129","0.542180387881843","0.601421875672415"
"Nein","2001","(noch) kein Abschluss","männlich","50","0.528318666124621","0.427403489010335","0.629233843238908"
"Nein","2001","(noch) kein Abschluss","weiblich","58","0.719639024138613","0.624706506232525","0.814571542044701"
"Nein","2001","Hauptschule","männlich","1224","0.475997017180072","0.456729618496877","0.495264415863268"
"Nein","2001","Hauptschule","weiblich","987","0.573904743468292","0.550404671563599","0.597404815372984"
"Nein","2001","Realschule","männlich","932","0.461114890653221","0.43905202302786","0.483177758278583"
"Nein","2001","Realschule","weiblich","1114","0.529737252233127","0.508220416787265","0.551254087678988"
"Nein","2001","(Fach-)Abitur","männlich","315","0.465277478524927","0.428087209406622","0.502467747643232"
"Nein","2001","(Fach-)Abitur","weiblich","325","0.485692373248902","0.447416988475285","0.523967758022519"
"Nein","2001","AkademikerIn","männlich","580","0.398147060832173","0.373266534882576","0.423027586781769"
"Nein","2001","AkademikerIn","weiblich","449","0.42819886822287","0.398578124327584","0.457819612118156"
"Ja","2002","(noch) kein Abschluss","männlich","","","",""
"Ja","2002","(noch) kein Abschluss","weiblich","","","",""
"Ja","2002","Hauptschule","männlich","","","",""
"Ja","2002","Hauptschule","weiblich","","","",""
"Ja","2002","Realschule","männlich","","","",""
"Ja","2002","Realschule","weiblich","","","",""
"Ja","2002","(Fach-)Abitur","männlich","","","",""
"Ja","2002","(Fach-)Abitur","weiblich","","","",""
"Ja","2002","AkademikerIn","männlich","","","",""
"Ja","2002","AkademikerIn","weiblich","","","",""
"Nein","2002","(noch) kein Abschluss","männlich","","","",""
"Nein","2002","(noch) kein Abschluss","weiblich","","","",""
"Nein","2002","Hauptschule","männlich","","","",""
"Nein","2002","Hauptschule","weiblich","","","",""
"Nein","2002","Realschule","männlich","","","",""
"Nein","2002","Realschule","weiblich","","","",""
"Nein","2002","(Fach-)Abitur","männlich","","","",""
"Nein","2002","(Fach-)Abitur","weiblich","","","",""
"Nein","2002","AkademikerIn","männlich","","","",""
"Nein","2002","AkademikerIn","weiblich","","","",""
"Ja","2003","(noch) kein Abschluss","männlich","","","",""
"Ja","2003","(noch) kein Abschluss","weiblich","","","",""
"Ja","2003","Hauptschule","männlich","","","",""
"Ja","2003","Hauptschule","weiblich","","","",""
"Ja","2003","Realschule","männlich","","","",""
"Ja","2003","Realschule","weiblich","","","",""
"Ja","2003","(Fach-)Abitur","männlich","","","",""
"Ja","2003","(Fach-)Abitur","weiblich","","","",""
"Ja","2003","AkademikerIn","männlich","","","",""
"Ja","2003","AkademikerIn","weiblich","","","",""
"Nein","2003","(noch) kein Abschluss","männlich","","","",""
"Nein","2003","(noch) kein Abschluss","weiblich","","","",""
"Nein","2003","Hauptschule","männlich","","","",""
"Nein","2003","Hauptschule","weiblich","","","",""
"Nein","2003","Realschule","männlich","","","",""
"Nein","2003","Realschule","weiblich","","","",""
"Nein","2003","(Fach-)Abitur","männlich","","","",""
"Nein","2003","(Fach-)Abitur","weiblich","","","",""
"Nein","2003","AkademikerIn","männlich","","","",""
"Nein","2003","AkademikerIn","weiblich","","","",""
"Ja","2004","(noch) kein Abschluss","männlich","","","",""
"Ja","2004","(noch) kein Abschluss","weiblich","","","",""
"Ja","2004","Hauptschule","männlich","","","",""
"Ja","2004","Hauptschule","weiblich","","","",""
"Ja","2004","Realschule","männlich","","","",""
"Ja","2004","Realschule","weiblich","","","",""
"Ja","2004","(Fach-)Abitur","männlich","","","",""
"Ja","2004","(Fach-)Abitur","weiblich","","","",""
"Ja","2004","AkademikerIn","männlich","","","",""
"Ja","2004","AkademikerIn","weiblich","","","",""
"Nein","2004","(noch) kein Abschluss","männlich","","","",""
"Nein","2004","(noch) kein Abschluss","weiblich","","","",""
"Nein","2004","Hauptschule","männlich","","","",""
"Nein","2004","Hauptschule","weiblich","","","",""
"Nein","2004","Realschule","männlich","","","",""
"Nein","2004","Realschule","weiblich","","","",""
"Nein","2004","(Fach-)Abitur","männlich","","","",""
"Nein","2004","(Fach-)Abitur","weiblich","","","",""
"Nein","2004","AkademikerIn","männlich","","","",""
"Nein","2004","AkademikerIn","weiblich","","","",""
"Ja","2005","(noch) kein Abschluss","männlich","","","",""
"Ja","2005","(noch) kein Abschluss","weiblich","","","",""
"Ja","2005","Hauptschule","männlich","","","",""
"Ja","2005","Hauptschule","weiblich","","","",""
"Ja","2005","Realschule","männlich","","","",""
"Ja","2005","Realschule","weiblich","","","",""
"Ja","2005","(Fach-)Abitur","männlich","","","",""
"Ja","2005","(Fach-)Abitur","weiblich","","","",""
"Ja","2005","AkademikerIn","männlich","","","",""
"Ja","2005","AkademikerIn","weiblich","","","",""
"Nein","2005","(noch) kein Abschluss","männlich","","","",""
"Nein","2005","(noch) kein Abschluss","weiblich","","","",""
"Nein","2005","Hauptschule","männlich","","","",""
"Nein","2005","Hauptschule","weiblich","","","",""
"Nein","2005","Realschule","männlich","","","",""
"Nein","2005","Realschule","weiblich","","","",""
"Nein","2005","(Fach-)Abitur","männlich","","","",""
"Nein","2005","(Fach-)Abitur","weiblich","","","",""
"Nein","2005","AkademikerIn","männlich","","","",""
"Nein","2005","AkademikerIn","weiblich","","","",""
"Ja","2006","(noch) kein Abschluss","männlich","18","","",""
"Ja","2006","(noch) kein Abschluss","weiblich","19","","",""
"Ja","2006","Hauptschule","männlich","966","0.491989086051578","0.469673472500393","0.514304699602762"
"Ja","2006","Hauptschule","weiblich","553","0.426233463968888","0.399873116866394","0.452593811071381"
"Ja","2006","Realschule","männlich","896","0.520044953724962","0.49693943892361","0.543150468526314"
"Ja","2006","Realschule","weiblich","972","0.480273960964835","0.458672957003795","0.501874964925876"
"Ja","2006","(Fach-)Abitur","männlich","358","0.492236004691418","0.454906165432386","0.52956584395045"
"Ja","2006","(Fach-)Abitur","weiblich","397","0.515704170716537","0.480788819806772","0.550619521626302"
