"plb0050","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2001","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","16","","",""
"Ja","2001","(noch) kein Abschluss","2","23","","",""
"Ja","2001","(noch) kein Abschluss","3","19","","",""
"Ja","2001","(noch) kein Abschluss","4","9","","",""
"Ja","2001","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","5","","",""
"Ja","2001","Hauptschule","1 Einkommensschwächstes Quintil","393","0.367778377823561","0.33837307209833","0.397183683548792"
"Ja","2001","Hauptschule","2","593","0.488661306118553","0.460554062580483","0.516768549656623"
"Ja","2001","Hauptschule","3","497","0.52257375268341","0.491205122470373","0.553942382896447"
"Ja","2001","Hauptschule","4","432","0.586536496385238","0.550959007274927","0.622113985495548"
"Ja","2001","Hauptschule","5 Einkommensstärkstes Quintil","156","0.473128654173431","0.418763890883462","0.527493417463401"
"Ja","2001","Realschule","1 Einkommensschwächstes Quintil","246","0.350346928232755","0.315304192836019","0.38538966362949"
"Ja","2001","Realschule","2","506","0.450795072760359","0.421911397201709","0.479678748319009"
"Ja","2001","Realschule","3","492","0.552375328431271","0.520400046817191","0.584350610045351"
"Ja","2001","Realschule","4","467","0.57686855214619","0.542568481509939","0.611168622782442"
"Ja","2001","Realschule","5 Einkommensstärkstes Quintil","271","0.604454725076413","0.559277263727755","0.64963218642507"
"Ja","2001","(Fach-)Abitur","1 Einkommensschwächstes Quintil","87","0.366432528394512","0.302324610860448","0.430540445928575"
"Ja","2001","(Fach-)Abitur","2","164","0.497264441667595","0.444428144504942","0.550100738830248"
"Ja","2001","(Fach-)Abitur","3","156","0.535806136167551","0.47686272262533","0.594749549709772"
"Ja","2001","(Fach-)Abitur","4","183","0.589312088359596","0.5342810714607","0.644343105258492"
"Ja","2001","(Fach-)Abitur","5 Einkommensstärkstes Quintil","116","0.60223257835417","0.534904409982945","0.669560746725395"
"Ja","2001","AkademikerIn","1 Einkommensschwächstes Quintil","69","0.393367407934397","0.321197888413488","0.465536927455306"
"Ja","2001","AkademikerIn","2","203","0.48635935315788","0.437131734659695","0.535586971656064"
"Ja","2001","AkademikerIn","3","304","0.596179531762196","0.553257632862176","0.639101430662215"
"Ja","2001","AkademikerIn","4","447","0.642014373886863","0.606087021766544","0.677941726007182"
"Ja","2001","AkademikerIn","5 Einkommensstärkstes Quintil","507","0.629227549916523","0.595778065650387","0.662677034182659"
"Nein","2001","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","38","0.718533470269939","0.598586828864519","0.838480111675359"
"Nein","2001","(noch) kein Abschluss","2","33","0.560007921280408","0.42999886928338","0.690016973277436"
"Nein","2001","(noch) kein Abschluss","3","24","","",""
"Nein","2001","(noch) kein Abschluss","4","10","","",""
"Nein","2001","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","3","","",""
"Nein","2001","Hauptschule","1 Einkommensschwächstes Quintil","640","0.632221622176439","0.602816316451208","0.66162692790167"
"Nein","2001","Hauptschule","2","622","0.511338693881447","0.483231450343377","0.539445937419517"
"Nein","2001","Hauptschule","3","477","0.47742624731659","0.446057617103553","0.508794877529627"
"Nein","2001","Hauptschule","4","304","0.413463503614762","0.377886014504452","0.449040992725073"
"Nein","2001","Hauptschule","5 Einkommensstärkstes Quintil","168","0.526871345826569","0.472506582536599","0.581236109116538"
"Nein","2001","Realschule","1 Einkommensschwächstes Quintil","466","0.649653071767245","0.614610336370509","0.684695807163981"
"Nein","2001","Realschule","2","634","0.549204927239641","0.520321251680991","0.578088602798291"
"Nein","2001","Realschule","3","437","0.447624671568729","0.415649389954649","0.479599953182809"
"Nein","2001","Realschule","4","330","0.42313144785381","0.388831377217558","0.457431518490061"
"Nein","2001","Realschule","5 Einkommensstärkstes Quintil","179","0.395545274923587","0.350367813574929","0.440722736272245"
"Nein","2001","(Fach-)Abitur","1 Einkommensschwächstes Quintil","130","0.633567471605488","0.569459554071425","0.697675389139552"
"Nein","2001","(Fach-)Abitur","2","180","0.502735558332405","0.449899261169752","0.555571855495058"
"Nein","2001","(Fach-)Abitur","3","119","0.464193863832449","0.405250450290228","0.52313727737467"
"Nein","2001","(Fach-)Abitur","4","124","0.410687911640404","0.355656894741508","0.4657189285393"
"Nein","2001","(Fach-)Abitur","5 Einkommensstärkstes Quintil","87","0.39776742164583","0.330439253274605","0.465095590017055"
"Nein","2001","AkademikerIn","1 Einkommensschwächstes Quintil","107","0.606632592065603","0.534463072544694","0.678802111586512"
"Nein","2001","AkademikerIn","2","193","0.51364064684212","0.464413028343936","0.562868265340305"
"Nein","2001","AkademikerIn","3","198","0.403820468237804","0.360898569337785","0.446742367137824"
"Nein","2001","AkademikerIn","4","237","0.357985626113137","0.322058273992818","0.393912978233456"
"Nein","2001","AkademikerIn","5 Einkommensstärkstes Quintil","294","0.370772450083477","0.337322965817341","0.404221934349613"
"Ja","2002","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","","","",""
"Ja","2002","(noch) kein Abschluss","2","","","",""
"Ja","2002","(noch) kein Abschluss","3","","","",""
"Ja","2002","(noch) kein Abschluss","4","","","",""
"Ja","2002","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Ja","2002","Hauptschule","1 Einkommensschwächstes Quintil","","","",""
"Ja","2002","Hauptschule","2","","","",""
"Ja","2002","Hauptschule","3","","","",""
"Ja","2002","Hauptschule","4","","","",""
"Ja","2002","Hauptschule","5 Einkommensstärkstes Quintil","","","",""
"Ja","2002","Realschule","1 Einkommensschwächstes Quintil","","","",""
"Ja","2002","Realschule","2","","","",""
"Ja","2002","Realschule","3","","","",""
