year,pgisced97,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,No answer / don't know,No,0.71705,41,41,0.57746,0.85664
2001,Pre-primary Level,No,0.83076,57,57,0.73255,0.92897
2001,Primary Level,Yes,0.52582,54,103,0.42892,0.62273
2001,Primary Level,No,0.47418,49,103,0.37727,0.57108
2001,Lower Secondary Level,Yes,0.46177,571,1243,0.43404,0.48950
2001,Lower Secondary Level,No,0.53823,672,1243,0.51050,0.56596
2001,Upper Secondary Level,Yes,0.49622,3236,6597,0.48415,0.50829
2001,Upper Secondary Level,No,0.50378,3361,6597,0.49171,0.51585
2001,Post-secondary Non-tertiary Level,Yes,0.54129,376,695,0.50421,0.57836
2001,Post-secondary Non-tertiary Level,No,0.45871,319,695,0.42164,0.49579
2001,First Stage of Tertiary Education,Yes,0.52439,578,1120,0.49513,0.55365
2001,First Stage of Tertiary Education,No,0.47561,542,1120,0.44635,0.50487
2001,Second Stage of Tertiary Education,Yes,0.59009,1530,2559,0.57103,0.60915
2001,Second Stage of Tertiary Education,No,0.40991,1029,2559,0.39085,0.42897
2006,No answer / don't know,Yes,0.30772,54,148,0.23311,0.38233
2006,No answer / don't know,No,0.69228,94,148,0.61767,0.76689
2006,Pre-primary Level,No,0.95744,34,34,0.88857,1.02631
2006,Primary Level,Yes,0.46062,31,69,0.34215,0.57910
2006,Primary Level,No,0.53938,38,69,0.42090,0.65785
2006,Lower Secondary Level,Yes,0.44182,394,890,0.40918,0.47447
2006,Lower Secondary Level,No,0.55818,496,890,0.52553,0.59082
2006,Upper Secondary Level,Yes,0.49135,2834,5902,0.47859,0.50411
2006,Upper Secondary Level,No,0.50865,3068,5902,0.49589,0.52141
2006,Post-secondary Non-tertiary Level,Yes,0.49905,422,828,0.46497,0.53313
2006,Post-secondary Non-tertiary Level,No,0.50095,406,828,0.46687,0.53503
2006,First Stage of Tertiary Education,Yes,0.48198,525,1059,0.45187,0.51209
2006,First Stage of Tertiary Education,No,0.51802,534,1059,0.48791,0.54813
2006,Second Stage of Tertiary Education,Yes,0.59377,1911,3169,0.57667,0.61088
2006,Second Stage of Tertiary Education,No,0.40623,1258,3169,0.38912,0.42333
2011,No answer / don't know,Yes,0.57082,78,158,0.49340,0.64825
2011,No answer / don't know,No,0.42918,80,158,0.35175,0.50660
2011,Primary Level,No,0.69229,42,42,0.55101,0.83357
2011,Lower Secondary Level,Yes,0.48616,350,758,0.45055,0.52176
2011,Lower Secondary Level,No,0.51384,408,758,0.47824,0.54945
2011,Upper Secondary Level,Yes,0.50319,2700,5435,0.48990,0.51648
2011,Upper Secondary Level,No,0.49681,2735,5435,0.48352,0.51010
2011,Post-secondary Non-tertiary Level,Yes,0.58744,459,833,0.55399,0.62089
2011,Post-secondary Non-tertiary Level,No,0.41256,374,833,0.37911,0.44601
2011,First Stage of Tertiary Education,Yes,0.49788,457,875,0.46473,0.53102
2011,First Stage of Tertiary Education,No,0.50212,418,875,0.46898,0.53527
2011,Second Stage of Tertiary Education,Yes,0.62644,1849,2942,0.60896,0.64393
2011,Second Stage of Tertiary Education,No,0.37356,1093,2942,0.35607,0.39104
2016,No answer / don't know,Yes,0.45137,125,286,0.39360,0.50915
2016,No answer / don't know,No,0.54863,161,286,0.49085,0.60640
2016,Pre-primary Level,No,0.81212,39,39,0.68792,0.93631
2016,Primary Level,Yes,0.49425,60,147,0.41315,0.57535
2016,Primary Level,No,0.50575,87,147,0.42465,0.58685
2016,Lower Secondary Level,Yes,0.43967,461,1147,0.41093,0.46841
2016,Lower Secondary Level,No,0.56033,686,1147,0.53159,0.58907
2016,Upper Secondary Level,Yes,0.49330,2977,6187,0.48084,0.50576
2016,Upper Secondary Level,No,0.50670,3210,6187,0.49424,0.51916
2016,Post-secondary Non-tertiary Level,Yes,0.54209,747,1455,0.51648,0.56770
2016,Post-secondary Non-tertiary Level,No,0.45791,708,1455,0.43230,0.48352
2016,First Stage of Tertiary Education,Yes,0.57464,493,868,0.54173,0.60755
2016,First Stage of Tertiary Education,No,0.42536,375,868,0.39245,0.45827
2016,Second Stage of Tertiary Education,Yes,0.65167,2412,3747,0.63641,0.66693
2016,Second Stage of Tertiary Education,No,0.34833,1335,3747,0.33307,0.36359
2019,No answer / don't know,Yes,0.39200,104,282,0.33492,0.44908
2019,No answer / don't know,No,0.60800,178,282,0.55092,0.66508
2019,Pre-primary Level,No,0.56740,35,35,0.40086,0.73393
2019,Primary Level,Yes,0.50870,64,151,0.42869,0.58870
2019,Primary Level,No,0.49130,87,151,0.41130,0.57131
2019,Lower Secondary Level,Yes,0.39927,461,1155,0.37101,0.42753
2019,Lower Secondary Level,No,0.60073,694,1155,0.57247,0.62899
2019,Upper Secondary Level,Yes,0.49176,3024,6520,0.47962,0.50390
2019,Upper Secondary Level,No,0.50824,3496,6520,0.49610,0.52038
2019,Post-secondary Non-tertiary Level,Yes,0.57385,815,1632,0.54985,0.59785
2019,Post-secondary Non-tertiary Level,No,0.42615,817,1632,0.40215,0.45015
2019,First Stage of Tertiary Education,Yes,0.57926,518,1117,0.55030,0.60823
2019,First Stage of Tertiary Education,No,0.42074,599,1117,0.39177,0.44970
2019,Second Stage of Tertiary Education,Yes,0.64820,2607,4722,0.63458,0.66182
2019,Second Stage of Tertiary Education,No,0.35180,2115,4722,0.33818,0.36542
2022,No answer / don't know,Yes,0.56420,1281,2150,0.54323,0.58516
2022,No answer / don't know,No,0.43580,869,2150,0.41484,0.45677
2022,Pre-primary Level,Yes,0.34257,45,107,0.25223,0.43292
2022,Pre-primary Level,No,0.65743,62,107,0.56708,0.74777
2022,Primary Level,Yes,0.33897,53,118,0.25320,0.42475
2022,Primary Level,No,0.66103,65,118,0.57525,0.74680
2022,Lower Secondary Level,Yes,0.51420,374,734,0.47802,0.55039
2022,Lower Secondary Level,No,0.48580,360,734,0.44961,0.52198
2022,Upper Secondary Level,Yes,0.55096,2743,5121,0.53733,0.56458
2022,Upper Secondary Level,No,0.44904,2378,5121,0.43542,0.46267
2022,Post-secondary Non-tertiary Level,Yes,0.58415,907,1584,0.55987,0.60843
2022,Post-secondary Non-tertiary Level,No,0.41585,677,1584,0.39157,0.44013
2022,First Stage of Tertiary Education,Yes,0.66645,521,805,0.63386,0.69904
2022,First Stage of Tertiary Education,No,0.33355,284,805,0.30096,0.36614
2022,Second Stage of Tertiary Education,Yes,0.70923,3735,5616,0.69735,0.72111
2022,Second Stage of Tertiary Education,No,0.29077,1881,5616,0.27889,0.30265
