year,regtyp,sampreg,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Urban regions,West,Yes,0.24716,3918,7262,0.23724,0.25708
2001,Urban regions,West,No,0.21167,3344,7262,0.20227,0.22107
2001,Urban regions,East,Yes,0.21203,461,971,0.18631,0.23775
2001,Urban regions,East,No,0.23371,510,971,0.20708,0.26034
2001,Rural regions,West,Yes,0.22140,1124,2256,0.20427,0.23854
2001,Rural regions,West,No,0.22645,1132,2256,0.20917,0.24372
2001,Rural regions,East,Yes,0.18257,874,1958,0.16546,0.19969
2001,Rural regions,East,No,0.23435,1084,1958,0.21558,0.25312
2006,Urban regions,West,Yes,0.23674,3826,7142,0.22688,0.24660
2006,Urban regions,West,No,0.21152,3316,7142,0.20204,0.22099
2006,Urban regions,East,Yes,0.20213,456,923,0.17621,0.22806
2006,Urban regions,East,No,0.22115,467,923,0.19436,0.24794
2006,Rural regions,West,Yes,0.21695,1090,2250,0.19991,0.23398
2006,Rural regions,West,No,0.23175,1160,2250,0.21431,0.24919
2006,Rural regions,East,Yes,0.17250,803,1788,0.15498,0.19002
2006,Rural regions,East,No,0.23487,985,1788,0.21521,0.25452
2011,Urban regions,West,Yes,0.22926,3497,6297,0.21888,0.23964
2011,Urban regions,West,No,0.18018,2800,6297,0.17068,0.18967
2011,Urban regions,East,Yes,0.19461,435,860,0.16814,0.22109
2011,Urban regions,East,No,0.22021,425,860,0.19250,0.24792
2011,Rural regions,West,Yes,0.21551,1162,2259,0.19855,0.23247
2011,Rural regions,West,No,0.20222,1097,2259,0.18565,0.21879
2011,Rural regions,East,Yes,0.20013,838,1686,0.18103,0.21924
2011,Rural regions,East,No,0.21370,848,1686,0.19413,0.23327
2016,Urban regions,West,Yes,0.25043,4346,8094,0.24099,0.25987
2016,Urban regions,West,No,0.20931,3748,8094,0.20045,0.21818
2016,Urban regions,East,Yes,0.23383,466,944,0.20682,0.26085
2016,Urban regions,East,No,0.22090,478,944,0.19442,0.24738
2016,Rural regions,West,Yes,0.26047,1625,3120,0.24507,0.27587
2016,Rural regions,West,No,0.21383,1495,3120,0.19944,0.22822
2016,Rural regions,East,Yes,0.21499,851,1731,0.19563,0.23435
2016,Rural regions,East,No,0.22610,880,1731,0.20639,0.24581
2019,Urban regions,West,Yes,0.26269,4485,8902,0.25355,0.27184
2019,Urban regions,West,No,0.21125,4417,8902,0.20277,0.21973
2019,Urban regions,East,Yes,0.25380,511,1120,0.22830,0.27930
2019,Urban regions,East,No,0.22897,609,1120,0.20435,0.25359
2019,Rural regions,West,Yes,0.25138,1544,3273,0.23651,0.26624
2019,Rural regions,West,No,0.23955,1729,3273,0.22492,0.25417
2019,Rural regions,East,Yes,0.21898,899,2020,0.20094,0.23702
2019,Rural regions,East,No,0.21491,1121,2020,0.19699,0.23283
2022,Urban regions,West,Yes,0.28424,6015,9871,0.27534,0.29314
2022,Urban regions,West,No,0.17669,3856,9871,0.16917,0.18422
2022,Urban regions,East,Yes,0.24979,726,1321,0.22644,0.27314
2022,Urban regions,East,No,0.22142,595,1321,0.19902,0.24382
2022,Rural regions,West,Yes,0.27730,1796,3051,0.26141,0.29319
2022,Rural regions,West,No,0.18353,1255,3051,0.16979,0.19727
2022,Rural regions,East,Yes,0.25074,1122,1992,0.23170,0.26978
2022,Rural regions,East,No,0.18053,870,1992,0.16363,0.19742
