"plh0166","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Westdeutschland, alte Bundeslaender","maennlich","74","0.0130262164145968","0.0101342043985259","0.0159182284306676"
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Westdeutschland, alte Bundeslaender","weiblich","62","0.00997869626768162","0.00749479459806135","0.0124625979373019"
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Westdeutschland, alte Bundeslaender","weiblich","41","0.00780607640240773","0.00560674888604799","0.0100054039187675"
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Westdeutschland, alte Bundeslaender","maennlich","82","0.0137518232144032","0.0107814474890905","0.0167221989397158"
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Westdeutschland, alte Bundeslaender","weiblich","73","0.0126146905889976","0.00982563699589129","0.015403744182104"
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Westdeutschland, alte Bundeslaender","maennlich","119","0.0180399727798619","0.0146452604042501","0.0214346851554738"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Westdeutschland, alte Bundeslaender","weiblich","113","0.0175171024996345","0.01423865024919","0.020795554750079"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Westdeutschland, alte Bundeslaender","maennlich","182","0.0313781747456298","0.0269315640947126","0.035824785396547"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Westdeutschland, alte Bundeslaender","weiblich","184","0.0321605401798232","0.0277515558300853","0.0365695245295612"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
