year,quintil_oecd_hh,regtyp,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,1st Quintile,Urban regions,Yes,0.36325,841,2198,0.34314,0.38336
2015,1st Quintile,Urban regions,No,0.59974,1357,2198,0.57925,0.62023
2015,1st Quintile,Rural regions,Yes,0.45181,541,1210,0.42376,0.47986
2015,1st Quintile,Rural regions,No,0.51978,669,1210,0.49162,0.54795
2015,2nd Quintile,Urban regions,Yes,0.42975,946,1986,0.40797,0.45153
2015,2nd Quintile,Urban regions,No,0.54273,1040,1986,0.52081,0.56464
2015,2nd Quintile,Rural regions,Yes,0.52452,716,1292,0.49727,0.55176
2015,2nd Quintile,Rural regions,No,0.43623,576,1292,0.40918,0.46328
2015,3rd Quintile,Urban regions,Yes,0.54461,1062,1873,0.52205,0.56717
2015,3rd Quintile,Urban regions,No,0.43299,811,1873,0.41055,0.45544
2015,3rd Quintile,Rural regions,Yes,0.58861,679,1083,0.55929,0.61793
2015,3rd Quintile,Rural regions,No,0.37397,404,1083,0.34514,0.40280
2015,4th Quintile,Urban regions,Yes,0.56051,1079,1810,0.53764,0.58338
2015,4th Quintile,Urban regions,No,0.40499,731,1810,0.38237,0.42761
2015,4th Quintile,Rural regions,Yes,0.58988,649,956,0.55869,0.62108
2015,4th Quintile,Rural regions,No,0.39469,307,956,0.36369,0.42570
2015,5th Quintile,Urban regions,Yes,0.63021,1462,2201,0.61004,0.65039
2015,5th Quintile,Urban regions,No,0.35101,739,2201,0.33106,0.37095
2015,5th Quintile,Rural regions,Yes,0.65527,521,722,0.62058,0.68996
2015,5th Quintile,Rural regions,No,0.30714,201,722,0.27347,0.34082
2016,1st Quintile,Urban regions,Yes,0.36538,808,1943,0.34396,0.38679
2016,1st Quintile,Urban regions,No,0.58406,1135,1943,0.56214,0.60598
2016,1st Quintile,Rural regions,Yes,0.50352,550,1099,0.47394,0.53309
2016,1st Quintile,Rural regions,No,0.45955,549,1099,0.43007,0.48902
2016,2nd Quintile,Urban regions,Yes,0.50067,1004,1830,0.47776,0.52359
2016,2nd Quintile,Urban regions,No,0.49147,826,1830,0.46856,0.51439
2016,2nd Quintile,Rural regions,Yes,0.54982,682,1187,0.52151,0.57814
2016,2nd Quintile,Rural regions,No,0.44719,505,1187,0.41889,0.47548
