year,bula_h,hhtyp,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,Single-person household,Yes,0.46805,59,131,0.38228,0.55383
2015,Schleswig-Holstein,Single-person household,No,0.47873,72,131,0.39285,0.56460
2015,Schleswig-Holstein,Couple without children,Yes,0.50164,74,139,0.41822,0.58506
2015,Schleswig-Holstein,Couple without children,No,0.46811,65,139,0.38486,0.55136
2015,Schleswig-Holstein,Single parent,Yes,0.48273,35,35,0.31477,0.65070
2015,Schleswig-Holstein,Couple with children,Yes,0.82416,141,182,0.76870,0.87962
2015,Schleswig-Holstein,Couple with children,No,0.16250,41,182,0.10875,0.21624
2015,Hamburg,Single-person household,No,0.57159,42,42,0.42012,0.72307
2015,Hamburg,Couple without children,Yes,0.42755,33,74,0.31406,0.54104
2015,Hamburg,Couple without children,No,0.56226,41,74,0.44845,0.67607
2015,Hamburg,Couple with children,Yes,0.40205,43,97,0.30397,0.50014
2015,Hamburg,Couple with children,No,0.59125,54,97,0.49291,0.68959
2015,Lower Saxony,Single-person household,Yes,0.55730,165,294,0.50042,0.61417
2015,Lower Saxony,Single-person household,No,0.39883,129,294,0.34276,0.45490
2015,Lower Saxony,Couple without children,Yes,0.61669,256,424,0.57035,0.66302
2015,Lower Saxony,Couple without children,No,0.37657,168,424,0.33040,0.42275
2015,Lower Saxony,Single parent,Yes,0.54402,97,175,0.47002,0.61803
2015,Lower Saxony,Single parent,No,0.42870,78,175,0.35517,0.50224
2015,Lower Saxony,Couple with children,Yes,0.66946,364,538,0.62967,0.70925
2015,Lower Saxony,Couple with children,No,0.32020,174,538,0.28073,0.35966
2015,North Rhine-Westphalia,Single-person household,Yes,0.47255,301,635,0.43369,0.51141
2015,North Rhine-Westphalia,Single-person household,No,0.50085,334,635,0.46193,0.53977
2015,North Rhine-Westphalia,Couple without children,Yes,0.63309,496,796,0.59959,0.66659
2015,North Rhine-Westphalia,Couple without children,No,0.34812,300,796,0.31500,0.38123
2015,North Rhine-Westphalia,Single parent,Yes,0.41467,167,359,0.36364,0.46571
2015,North Rhine-Westphalia,Single parent,No,0.54251,192,359,0.49091,0.59412
2015,North Rhine-Westphalia,Couple with children,Yes,0.56346,706,1249,0.53594,0.59097
2015,North Rhine-Westphalia,Couple with children,No,0.41785,543,1249,0.39049,0.44522
2015,Hesse,Single-person household,Yes,0.35406,97,238,0.29317,0.41494
2015,Hesse,Single-person household,No,0.62524,141,238,0.56361,0.68687
2015,Hesse,Couple without children,Yes,0.48347,155,285,0.42535,0.54159
