year,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Yes,0.52446,8498,15335,0.51655,0.53236
2015,No,0.44642,6837,15335,0.43855,0.45429
2016,Yes,0.58363,8567,14188,0.57552,0.59174
2016,No,0.40200,5621,14188,0.39393,0.41006
2017,Yes,0.60173,9814,15560,0.59404,0.60942
2017,No,0.38287,5746,15560,0.37523,0.39051
2018,Yes,0.62616,9841,15329,0.61850,0.63382
2018,No,0.35972,5488,15329,0.35213,0.36732
2019,Yes,0.56320,8172,12549,0.55452,0.57188
2019,No,0.32389,4377,12549,0.31571,0.33208
2020,Yes,0.64070,10329,16050,0.63328,0.64813
2020,No,0.34052,5721,16050,0.33319,0.34786
2021,Yes,0.57127,6536,9851,0.56149,0.58104
2021,No,0.30989,3315,9851,0.30076,0.31902
2022,Yes,0.62624,12387,18655,0.61930,0.63318
2022,No,0.34253,6268,18655,0.33572,0.34934
