year,hhtyp,sampreg,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,West,Yes,0.43269,1181,2659,0.41385,0.45152
2015,Single-person household,West,No,0.53358,1478,2659,0.51462,0.55255
2015,Single-person household,East,Yes,0.55949,489,846,0.52602,0.59297
2015,Single-person household,East,No,0.41521,357,846,0.38199,0.44844
2015,Couple without children,West,Yes,0.57166,1836,3224,0.55458,0.58875
2015,Couple without children,West,No,0.40537,1388,3224,0.38842,0.42233
2015,Couple without children,East,Yes,0.63214,690,1042,0.60284,0.66143
2015,Couple without children,East,No,0.32850,352,1042,0.29997,0.35703
2015,Single parent,West,Yes,0.41871,609,1297,0.39185,0.44557
2015,Single parent,West,No,0.54138,688,1297,0.51425,0.56851
2015,Single parent,East,Yes,0.64661,219,351,0.59653,0.69669
2015,Single parent,East,No,0.33492,132,351,0.28548,0.38437
2015,Couple with children,West,Yes,0.59136,2711,4637,0.57721,0.60551
2015,Couple with children,West,No,0.38364,1926,4637,0.36964,0.39764
2015,Couple with children,East,Yes,0.63527,590,900,0.60380,0.66673
2015,Couple with children,East,No,0.33940,310,900,0.30845,0.37036
2015,Multi-generational household,West,Yes,0.44378,48,111,0.35093,0.53662
2015,Multi-generational household,West,No,0.54980,63,111,0.45682,0.64277
2015,Other Combinations,West,Yes,0.45383,97,210,0.38633,0.52133
2015,Other Combinations,West,No,0.52529,113,210,0.45758,0.59299
2016,Single-person household,West,Yes,0.49071,1249,2499,0.47111,0.51031
2016,Single-person household,West,No,0.48930,1250,2499,0.46970,0.50890
2016,Single-person household,East,Yes,0.60776,530,845,0.57482,0.64070
2016,Single-person household,East,No,0.37957,315,845,0.34683,0.41231
2016,Couple without children,West,Yes,0.65180,1960,3059,0.63491,0.66868
2016,Couple without children,West,No,0.33968,1099,3059,0.32289,0.35646
2016,Couple without children,East,Yes,0.70876,716,1011,0.68074,0.73678
2016,Couple without children,East,No,0.28988,295,1011,0.26190,0.31786
2016,Single parent,West,Yes,0.44460,584,1171,0.41613,0.47308
2016,Single parent,West,No,0.53207,587,1171,0.50348,0.56066
2016,Single parent,East,Yes,0.67870,209,335,0.62861,0.72878
2016,Single parent,East,No,0.31044,126,335,0.26082,0.36006
2016,Couple with children,West,Yes,0.63249,2593,4149,0.61782,0.64716
2016,Couple with children,West,No,0.35583,1556,4149,0.34126,0.37040
2016,Couple with children,East,Yes,0.68523,572,818,0.65338,0.71708
2016,Couple with children,East,No,0.29342,246,818,0.26220,0.32464
2016,Multi-generational household,West,Yes,0.62405,45,83,0.51921,0.72889
2016,Multi-generational household,West,No,0.36652,38,83,0.26222,0.47081
2016,Other Combinations,West,Yes,0.46233,83,166,0.38625,0.53840
2016,Other Combinations,West,No,0.49897,83,166,0.42268,0.57527
2017,Single-person household,West,Yes,0.52645,1516,2816,0.50800,0.54489
2017,Single-person household,West,No,0.45323,1300,2816,0.43484,0.47162
2017,Single-person household,East,Yes,0.61299,600,963,0.58221,0.64377
2017,Single-person household,East,No,0.37030,363,963,0.33979,0.40082
2017,Couple without children,West,Yes,0.64577,2240,3460,0.62983,0.66171
2017,Couple without children,West,No,0.34980,1220,3460,0.33391,0.36570
2017,Couple without children,East,Yes,0.71190,798,1129,0.68547,0.73833
2017,Couple without children,East,No,0.27967,331,1129,0.25347,0.30586
2017,Single parent,West,Yes,0.49067,640,1188,0.46223,0.51911
2017,Single parent,West,No,0.48918,548,1188,0.46074,0.51762
2017,Single parent,East,Yes,0.60229,221,339,0.55011,0.65446
2017,Single parent,East,No,0.37368,118,339,0.32211,0.42526
2017,Couple with children,West,Yes,0.66744,2976,4388,0.65350,0.68138
2017,Couple with children,West,No,0.31551,1412,4388,0.30176,0.32926
2017,Couple with children,East,Yes,0.70564,625,908,0.67598,0.73531
2017,Couple with children,East,No,0.27300,283,908,0.24401,0.30200
2017,Multi-generational household,West,Yes,0.40799,39,88,0.30472,0.51126
2017,Multi-generational household,West,No,0.57745,49,88,0.47365,0.68125
2017,Other Combinations,West,Yes,0.49313,126,221,0.42707,0.55920
2017,Other Combinations,West,No,0.45625,95,221,0.39043,0.52207
2018,Single-person household,West,Yes,0.55750,1657,2962,0.53960,0.57539
2018,Single-person household,West,No,0.42652,1305,2962,0.40871,0.44433
2018,Single-person household,East,Yes,0.64424,666,1016,0.61479,0.67369
2018,Single-person household,East,No,0.34471,350,1016,0.31547,0.37395
2018,Couple without children,West,Yes,0.66528,2252,3394,0.64941,0.68116
2018,Couple without children,West,No,0.32800,1142,3394,0.31220,0.34380
2018,Couple without children,East,Yes,0.74426,823,1124,0.71875,0.76978
2018,Couple without children,East,No,0.24717,301,1124,0.22194,0.27240
2018,Single parent,West,Yes,0.52748,628,1162,0.49876,0.55620
2018,Single parent,West,No,0.45456,534,1162,0.42592,0.48321
2018,Single parent,East,Yes,0.63244,220,333,0.58057,0.68430
2018,Single parent,East,No,0.32414,113,333,0.27379,0.37449
2018,Couple with children,West,Yes,0.67785,2794,4116,0.66357,0.69213
2018,Couple with children,West,No,0.30522,1322,4116,0.29115,0.31929
2018,Couple with children,East,Yes,0.70065,609,881,0.67039,0.73091
2018,Couple with children,East,No,0.28279,272,881,0.25304,0.31255
2018,Multi-generational household,West,Yes,0.55793,46,90,0.45475,0.66111
2018,Multi-generational household,West,No,0.42873,44,90,0.32591,0.53155
2018,Other Combinations,West,Yes,0.54698,113,197,0.47729,0.61667
2018,Other Combinations,West,No,0.39068,84,197,0.32237,0.45898
2019,Single-person household,West,Yes,0.49930,1361,2409,0.47933,0.51927
2019,Single-person household,West,No,0.38524,1048,2409,0.36580,0.40467
2019,Single-person household,East,Yes,0.59397,556,827,0.56047,0.62746
2019,Single-person household,East,No,0.31134,271,827,0.27976,0.34292
2019,Couple without children,West,Yes,0.60929,1918,2873,0.59144,0.62713
2019,Couple without children,West,No,0.29045,955,2873,0.27384,0.30705
2019,Couple without children,East,Yes,0.65657,705,974,0.62673,0.68640
2019,Couple without children,East,No,0.23768,269,974,0.21093,0.26442
2019,Single parent,West,Yes,0.46385,526,944,0.43202,0.49568
2019,Single parent,West,No,0.42527,418,944,0.39371,0.45682
2019,Single parent,East,Yes,0.61954,191,277,0.56227,0.67682
2019,Single parent,East,No,0.25174,86,277,0.20054,0.30295
2019,Couple with children,West,Yes,0.59754,2270,3290,0.58078,0.61430
2019,Couple with children,West,No,0.28207,1020,3290,0.26669,0.29745
2019,Couple with children,East,Yes,0.66498,502,710,0.63024,0.69973
2019,Couple with children,East,No,0.21680,208,710,0.18647,0.24713
2019,Multi-generational household,West,Yes,0.53074,34,66,0.40941,0.65206
2019,Multi-generational household,West,No,0.41317,32,66,0.29346,0.53287
2019,Other Combinations,West,Yes,0.46907,81,135,0.38457,0.55357
2019,Other Combinations,West,No,0.31468,54,135,0.23605,0.39331
2020,Single-person household,West,Yes,0.57792,1890,3473,0.56149,0.59435
2020,Single-person household,West,No,0.39798,1583,3473,0.38170,0.41427
2020,Single-person household,East,Yes,0.65151,686,1018,0.62223,0.68080
2020,Single-person household,East,No,0.33445,332,1018,0.30545,0.36344
2020,Couple without children,West,Yes,0.66269,2514,3799,0.64765,0.67773
2020,Couple without children,West,No,0.32708,1285,3799,0.31216,0.34200
2020,Couple without children,East,Yes,0.71816,839,1168,0.69235,0.74397
2020,Couple without children,East,No,0.27599,329,1168,0.25034,0.30163
2020,Single parent,West,Yes,0.51281,561,1031,0.48229,0.54334
2020,Single parent,West,No,0.46681,470,1031,0.43635,0.49728
2020,Single parent,East,Yes,0.68884,210,300,0.63637,0.74132
2020,Single parent,East,No,0.28731,90,300,0.23602,0.33861
2020,Couple with children,West,Yes,0.71097,2770,4009,0.69694,0.72501
2020,Couple with children,West,No,0.26639,1239,4009,0.25271,0.28008
2020,Couple with children,East,Yes,0.76626,633,848,0.73776,0.79476
2020,Couple with children,East,No,0.21262,215,848,0.18506,0.24017
2020,Multi-generational household,West,Yes,0.61278,52,91,0.51214,0.71342
2020,Multi-generational household,West,No,0.37378,39,91,0.27383,0.47374
2020,Other Combinations,West,Yes,0.54156,129,248,0.47942,0.60370
2020,Other Combinations,West,No,0.39925,119,248,0.33817,0.46032
2021,Single-person household,West,Yes,0.50807,1229,2134,0.48685,0.52929
2021,Single-person household,West,No,0.37014,905,2134,0.34965,0.39063
2021,Single-person household,East,Yes,0.58055,425,620,0.54168,0.61943
2021,Single-person household,East,No,0.29509,195,620,0.25916,0.33102
2021,Couple without children,West,Yes,0.60567,1591,2347,0.58589,0.62544
2021,Couple without children,West,No,0.30284,756,2347,0.28425,0.32143
2021,Couple without children,East,Yes,0.67563,550,754,0.64219,0.70906
2021,Couple without children,East,No,0.24578,204,754,0.21503,0.27654
2021,Single parent,West,Yes,0.45405,343,597,0.41407,0.49402
2021,Single parent,West,No,0.42503,254,597,0.38534,0.46472
2021,Single parent,East,Yes,0.63178,159,224,0.56848,0.69509
2021,Single parent,East,No,0.29875,65,224,0.23867,0.35882
2021,Couple with children,West,Yes,0.63847,1663,2358,0.61907,0.65787
2021,Couple with children,West,No,0.22207,695,2358,0.20529,0.23885
2021,Couple with children,East,Yes,0.68215,383,500,0.64129,0.72300
2021,Couple with children,East,No,0.17104,117,500,0.13800,0.20407
2021,Multi-generational household,West,Yes,0.59912,31,31,0.42374,0.77449
2021,Other Combinations,West,Yes,0.49251,106,186,0.42047,0.56455
2021,Other Combinations,West,No,0.32850,80,186,0.26082,0.39618
2021,Other Combinations,East,Yes,0.75774,32,32,0.60691,0.90856
2022,Single-person household,West,Yes,0.55531,2355,4079,0.54005,0.57056
2022,Single-person household,West,No,0.40850,1724,4079,0.39341,0.42359
2022,Single-person household,East,Yes,0.66039,839,1237,0.63399,0.68679
2022,Single-person household,East,No,0.31293,398,1237,0.28708,0.33878
2022,Couple without children,West,Yes,0.67423,2951,4350,0.66030,0.68816
2022,Couple without children,West,No,0.30670,1399,4350,0.29299,0.32040
2022,Couple without children,East,Yes,0.73153,915,1231,0.70676,0.75629
2022,Couple without children,East,No,0.25115,316,1231,0.22691,0.27539
2022,Single parent,West,Yes,0.48114,449,818,0.44687,0.51540
2022,Single parent,West,No,0.47003,369,818,0.43580,0.50425
2022,Single parent,East,Yes,0.67485,200,293,0.62113,0.72858
2022,Single parent,East,No,0.28945,93,293,0.23744,0.34147
2022,Couple with children,West,Yes,0.67831,2881,4060,0.66394,0.69268
2022,Couple with children,West,No,0.28656,1179,4060,0.27265,0.30047
2022,Couple with children,East,Yes,0.72792,757,1009,0.70044,0.75539
2022,Couple with children,East,No,0.23691,252,1009,0.21066,0.26316
2022,Multi-generational household,West,Yes,0.61841,38,38,0.46189,0.77494
2022,Other Combinations,West,Yes,0.62056,568,849,0.58790,0.65322
2022,Other Combinations,West,No,0.32900,281,849,0.29737,0.36062
2022,Other Combinations,East,Yes,0.72713,149,216,0.66759,0.78667
2022,Other Combinations,East,No,0.22868,67,216,0.17254,0.28482
