year,hhtyp,quintil_oecd_hh,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,1st Quintile,Yes,0.38499,403,1008,0.35494,0.41505
2015,Single-person household,1st Quintile,No,0.58591,605,1008,0.55548,0.61633
2015,Single-person household,2nd Quintile,Yes,0.41815,353,786,0.38365,0.45266
2015,Single-person household,2nd Quintile,No,0.54386,433,786,0.50902,0.57870
2015,Single-person household,3rd Quintile,Yes,0.48420,316,634,0.44527,0.52313
2015,Single-person household,3rd Quintile,No,0.48470,318,634,0.44576,0.52363
2015,Single-person household,4th Quintile,Yes,0.52047,304,551,0.47872,0.56223
2015,Single-person household,4th Quintile,No,0.44832,247,551,0.40675,0.48988
2015,Single-person household,5th Quintile,Yes,0.54201,293,523,0.49927,0.58475
2015,Single-person household,5th Quintile,No,0.42858,230,523,0.38613,0.47104
2015,Couple without children,1st Quintile,Yes,0.45193,206,483,0.40750,0.49636
2015,Couple without children,1st Quintile,No,0.50755,277,483,0.46292,0.55219
2015,Couple without children,2nd Quintile,Yes,0.51913,418,769,0.48379,0.55446
2015,Couple without children,2nd Quintile,No,0.45784,351,769,0.42260,0.49308
2015,Couple without children,3rd Quintile,Yes,0.61033,474,794,0.57638,0.64427
2015,Couple without children,3rd Quintile,No,0.36270,320,794,0.32924,0.39617
2015,Couple without children,4th Quintile,Yes,0.57030,548,915,0.53821,0.60240
2015,Couple without children,4th Quintile,No,0.40128,367,915,0.36950,0.43306
2015,Couple without children,5th Quintile,Yes,0.65853,880,1305,0.63279,0.68427
2015,Couple without children,5th Quintile,No,0.32141,425,1305,0.29606,0.34676
2015,Single parent,1st Quintile,Yes,0.40748,301,708,0.37126,0.44370
2015,Single parent,1st Quintile,No,0.54749,407,708,0.51080,0.58418
2015,Single parent,2nd Quintile,Yes,0.43070,215,425,0.38356,0.47783
2015,Single parent,2nd Quintile,No,0.54209,210,425,0.49466,0.58951
2015,Single parent,3rd Quintile,Yes,0.51251,137,255,0.45104,0.57398
2015,Single parent,3rd Quintile,No,0.46088,118,255,0.39958,0.52219
2015,Single parent,4th Quintile,Yes,0.48472,110,170,0.40937,0.56007
2015,Single parent,4th Quintile,No,0.46415,60,170,0.38896,0.53934
2015,Single parent,5th Quintile,Yes,0.72094,64,64,0.61018,0.83170
2015,Couple with children,1st Quintile,Yes,0.35481,427,1084,0.32631,0.38330
2015,Couple with children,1st Quintile,No,0.60949,657,1084,0.58044,0.63855
2015,Couple with children,2nd Quintile,Yes,0.52587,645,1208,0.49770,0.55404
2015,Couple with children,2nd Quintile,No,0.45101,563,1208,0.42293,0.47908
2015,Couple with children,3rd Quintile,Yes,0.63511,770,1200,0.60786,0.66236
2015,Couple with children,3rd Quintile,No,0.33979,430,1200,0.31298,0.36660
2015,Couple with children,4th Quintile,Yes,0.65935,736,1075,0.63101,0.68770
2015,Couple with children,4th Quintile,No,0.31777,339,1075,0.28993,0.34562
2015,Couple with children,5th Quintile,Yes,0.70931,723,970,0.68072,0.73790
2015,Couple with children,5th Quintile,No,0.26841,247,970,0.24051,0.29631
2015,Other Combinations,1st Quintile,No,0.64518,53,53,0.51513,0.77522
2015,Other Combinations,2nd Quintile,No,0.60394,32,32,0.43178,0.77611
2016,Single-person household,1st Quintile,Yes,0.39597,421,960,0.36502,0.42693
2016,Single-person household,1st Quintile,No,0.55543,539,960,0.52398,0.58689
2016,Single-person household,2nd Quintile,Yes,0.45771,359,719,0.42126,0.49415
2016,Single-person household,2nd Quintile,No,0.53506,360,719,0.49858,0.57155
2016,Single-person household,3rd Quintile,Yes,0.57912,373,632,0.54060,0.61764
2016,Single-person household,3rd Quintile,No,0.41641,259,632,0.37794,0.45487
2016,Single-person household,4th Quintile,Yes,0.58527,327,551,0.54410,0.62645
2016,Single-person household,4th Quintile,No,0.40421,224,551,0.36320,0.44523
2016,Single-person household,5th Quintile,Yes,0.65072,299,478,0.60794,0.69351
2016,Single-person household,5th Quintile,No,0.34369,179,478,0.30107,0.38631
2016,Couple without children,1st Quintile,Yes,0.48860,205,428,0.44118,0.53601
2016,Couple without children,1st Quintile,No,0.48708,223,428,0.43967,0.53449
2016,Couple without children,2nd Quintile,Yes,0.61612,450,705,0.58020,0.65205
2016,Couple without children,2nd Quintile,No,0.37919,255,705,0.34335,0.41503
2016,Couple without children,3rd Quintile,Yes,0.64668,488,754,0.61254,0.68083
2016,Couple without children,3rd Quintile,No,0.34514,266,754,0.31118,0.37910
2016,Couple without children,4th Quintile,Yes,0.71004,641,924,0.68077,0.73931
2016,Couple without children,4th Quintile,No,0.28588,283,924,0.25673,0.31503
2016,Couple without children,5th Quintile,Yes,0.71521,892,1259,0.69027,0.74015
2016,Couple without children,5th Quintile,No,0.27970,367,1259,0.25489,0.30450
2016,Single parent,1st Quintile,Yes,0.42033,290,645,0.38221,0.45846
2016,Single parent,1st Quintile,No,0.55419,355,645,0.51580,0.59258
2016,Single parent,2nd Quintile,Yes,0.45823,214,404,0.40958,0.50687
2016,Single parent,2nd Quintile,No,0.53569,190,404,0.48700,0.58439
2016,Single parent,3rd Quintile,Yes,0.57317,141,225,0.50840,0.63795
2016,Single parent,3rd Quintile,No,0.36961,84,225,0.30640,0.43282
