year,hhtyp,rentown,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,Owner,Yes,0.52968,534,972,0.49828,0.56107
2015,Single-person household,Owner,No,0.45285,438,972,0.42154,0.48416
2015,Single-person household,Tenant,Yes,0.42365,1136,2533,0.40441,0.44290
2015,Single-person household,Tenant,No,0.53737,1397,2533,0.51795,0.55679
2015,Couple without children,Owner,Yes,0.63389,1499,2276,0.61409,0.65369
2015,Couple without children,Owner,No,0.34919,777,2276,0.32960,0.36878
2015,Couple without children,Tenant,Yes,0.51357,1027,1990,0.49161,0.53554
2015,Couple without children,Tenant,No,0.44804,963,1990,0.42618,0.46989
2015,Single parent,Owner,Yes,0.56591,260,405,0.51758,0.61425
2015,Single parent,Owner,No,0.43268,145,405,0.38437,0.48099
2015,Single parent,Tenant,Yes,0.41594,568,1243,0.38853,0.44336
2015,Single parent,Tenant,No,0.53471,675,1243,0.50697,0.56245
2015,Couple with children,Owner,Yes,0.70356,2113,2886,0.68690,0.72023
2015,Couple with children,Owner,No,0.28139,773,2886,0.26498,0.29780
2015,Couple with children,Tenant,Yes,0.43568,1188,2651,0.41681,0.45456
2015,Couple with children,Tenant,No,0.52389,1463,2651,0.50488,0.54291
2015,Multi-generational household,Owner,Yes,0.46913,35,35,0.30139,0.63688
2015,Multi-generational household,Tenant,No,0.62201,51,51,0.48761,0.75642
2015,Other Combinations,Owner,Yes,0.49781,39,71,0.38068,0.61494
2015,Other Combinations,Owner,No,0.50219,32,71,0.38506,0.61932
2015,Other Combinations,Tenant,Yes,0.44779,74,172,0.37326,0.52233
2015,Other Combinations,Tenant,No,0.51462,98,172,0.43971,0.58953
2016,Single-person household,Owner,Yes,0.58387,557,927,0.55212,0.61562
2016,Single-person household,Owner,No,0.41134,370,927,0.37965,0.44303
2016,Single-person household,Tenant,Yes,0.48464,1222,2416,0.46471,0.50457
2016,Single-person household,Tenant,No,0.49924,1194,2416,0.47930,0.51918
2016,Couple without children,Owner,Yes,0.70217,1570,2220,0.68314,0.72120
2016,Couple without children,Owner,No,0.29571,650,2220,0.27672,0.31470
2016,Couple without children,Tenant,Yes,0.60686,1106,1850,0.58459,0.62912
2016,Couple without children,Tenant,No,0.38056,744,1850,0.35843,0.40270
2016,Single parent,Owner,Yes,0.63174,254,382,0.58331,0.68017
2016,Single parent,Owner,No,0.36826,128,382,0.31983,0.41669
2016,Single parent,Tenant,Yes,0.43057,539,1124,0.40161,0.45953
2016,Single parent,Tenant,No,0.54850,585,1124,0.51940,0.57761
2016,Couple with children,Owner,Yes,0.73631,1984,2658,0.71956,0.75307
2016,Couple with children,Owner,No,0.26302,674,2658,0.24628,0.27976
2016,Couple with children,Tenant,Yes,0.51032,1181,2309,0.48992,0.53071
2016,Couple with children,Tenant,No,0.47682,1128,2309,0.45644,0.49720
2016,Multi-generational household,Owner,Yes,0.57945,35,35,0.41351,0.74538
2016,Multi-generational household,Tenant,No,0.37842,32,32,0.20769,0.54915
2016,Other Combinations,Owner,Yes,0.56799,31,31,0.39072,0.74525
2016,Other Combinations,Tenant,Yes,0.45055,65,142,0.36842,0.53268
2016,Other Combinations,Tenant,No,0.54773,77,142,0.46558,0.62989
2017,Single-person household,Owner,Yes,0.61788,624,1017,0.58800,0.64776
2017,Single-person household,Owner,No,0.38181,393,1017,0.35193,0.41168
2017,Single-person household,Tenant,Yes,0.50878,1492,2762,0.49013,0.52743
2017,Single-person household,Tenant,No,0.46431,1270,2762,0.44571,0.48292
2017,Couple without children,Owner,Yes,0.69663,1799,2527,0.67870,0.71455
2017,Couple without children,Owner,No,0.30142,728,2527,0.28353,0.31932
2017,Couple without children,Tenant,Yes,0.59959,1239,2062,0.57843,0.62074
2017,Couple without children,Tenant,No,0.39110,823,2062,0.37003,0.41216
2017,Single parent,Owner,Yes,0.64004,283,410,0.59352,0.68656
2017,Single parent,Owner,No,0.35996,127,410,0.31344,0.40648
2017,Single parent,Tenant,Yes,0.45541,578,1117,0.42619,0.48463
2017,Single parent,Tenant,No,0.51831,539,1117,0.48900,0.54763
2017,Couple with children,Owner,Yes,0.77012,2308,2955,0.75495,0.78529
2017,Couple with children,Owner,No,0.22872,647,2955,0.21357,0.24386
2017,Couple with children,Tenant,Yes,0.53596,1293,2341,0.51576,0.55617
2017,Couple with children,Tenant,No,0.42980,1048,2341,0.40974,0.44986
2017,Multi-generational household,Tenant,No,0.52715,34,34,0.35680,0.69749
2017,Other Combinations,Owner,Yes,0.62271,63,63,0.50205,0.74336
2017,Other Combinations,Tenant,Yes,0.44573,82,164,0.36942,0.52204
2017,Other Combinations,Tenant,No,0.49443,82,164,0.41767,0.57118
2018,Single-person household,Owner,Yes,0.64470,647,1007,0.61512,0.67427
2018,Single-person household,Owner,No,0.35485,360,1007,0.32528,0.38442
2018,Single-person household,Tenant,Yes,0.53960,1676,2971,0.52168,0.55753
2018,Single-person household,Tenant,No,0.43822,1295,2971,0.42038,0.45607
2018,Couple without children,Owner,Yes,0.71757,1773,2460,0.69978,0.73536
2018,Couple without children,Owner,No,0.28053,687,2460,0.26277,0.29829
2018,Couple without children,Tenant,Yes,0.62361,1302,2058,0.60267,0.64455
2018,Couple without children,Tenant,No,0.36183,756,2058,0.34106,0.38259
2018,Single parent,Owner,Yes,0.69698,265,382,0.65083,0.74313
2018,Single parent,Owner,No,0.30171,117,382,0.25562,0.34780
2018,Single parent,Tenant,Yes,0.48119,583,1113,0.45182,0.51056
2018,Single parent,Tenant,No,0.48733,530,1113,0.45795,0.51670
2018,Couple with children,Owner,Yes,0.76662,2158,2757,0.75082,0.78241
2018,Couple with children,Owner,No,0.23139,599,2757,0.21564,0.24713
2018,Couple with children,Tenant,Yes,0.55350,1245,2240,0.53291,0.57409
2018,Couple with children,Tenant,No,0.40736,995,2240,0.38701,0.42771
2018,Multi-generational household,Owner,Yes,0.61546,34,34,0.44947,0.78144
2018,Multi-generational household,Tenant,No,0.38457,32,32,0.21331,0.55583
2018,Other Combinations,Owner,Yes,0.66353,62,62,0.54495,0.78210
2018,Other Combinations,Tenant,Yes,0.46928,67,140,0.38631,0.55225
2018,Other Combinations,Tenant,No,0.41382,73,140,0.33194,0.49570
2019,Single-person household,Owner,Yes,0.61228,596,932,0.58098,0.64357
2019,Single-person household,Owner,No,0.34321,336,932,0.31271,0.37371
2019,Single-person household,Tenant,Yes,0.46830,1321,2304,0.44792,0.48868
2019,Single-person household,Tenant,No,0.38383,983,2304,0.36397,0.40369
2019,Couple without children,Owner,Yes,0.67870,1589,2204,0.65920,0.69820
2019,Couple without children,Owner,No,0.26027,615,2204,0.24195,0.27859
2019,Couple without children,Tenant,Yes,0.52835,1034,1643,0.50421,0.55250
2019,Couple without children,Tenant,No,0.31057,609,1643,0.28819,0.33296
2019,Single parent,Owner,Yes,0.62777,233,338,0.57615,0.67938
2019,Single parent,Owner,No,0.32321,105,338,0.27327,0.37315
2019,Single parent,Tenant,Yes,0.44015,484,883,0.40739,0.47291
2019,Single parent,Tenant,No,0.41895,399,883,0.38639,0.45151
2019,Couple with children,Owner,Yes,0.69987,1834,2354,0.68135,0.71839
2019,Couple with children,Owner,No,0.22152,520,2354,0.20474,0.23830
2019,Couple with children,Tenant,Yes,0.46441,938,1646,0.44030,0.48851
2019,Couple with children,Tenant,No,0.35050,708,1646,0.32745,0.37356
2019,Other Combinations,Owner,Yes,0.58733,49,49,0.44805,0.72660
2019,Other Combinations,Tenant,Yes,0.40035,47,95,0.30129,0.49940
2019,Other Combinations,Tenant,No,0.36201,48,95,0.26486,0.45917
2020,Single-person household,Owner,Yes,0.66048,728,1102,0.63251,0.68845
2020,Single-person household,Owner,No,0.33873,374,1102,0.31077,0.36669
2020,Single-person household,Tenant,Yes,0.55943,1848,3389,0.54271,0.57614
2020,Single-person household,Tenant,No,0.40813,1541,3389,0.39158,0.42468
2020,Couple without children,Owner,Yes,0.70443,1944,2635,0.68701,0.72186
2020,Couple without children,Owner,No,0.29138,691,2635,0.27402,0.30873
2020,Couple without children,Tenant,Yes,0.62686,1409,2332,0.60723,0.64650
2020,Couple without children,Tenant,No,0.35612,923,2332,0.33668,0.37556
2020,Single parent,Owner,Yes,0.68887,268,369,0.64157,0.73617
2020,Single parent,Owner,No,0.31113,101,369,0.26383,0.35843
2020,Single parent,Tenant,Yes,0.48299,503,962,0.45139,0.51458
2020,Single parent,Tenant,No,0.48732,459,962,0.45571,0.51892
2020,Couple with children,Owner,Yes,0.81340,2206,2693,0.79869,0.82812
2020,Couple with children,Owner,No,0.18404,487,2693,0.16940,0.19868
2020,Couple with children,Tenant,Yes,0.57568,1197,2164,0.55486,0.59651
2020,Couple with children,Tenant,No,0.37174,967,2164,0.35137,0.39211
2020,Multi-generational household,Owner,Yes,0.64842,35,35,0.48793,0.80891
2020,Multi-generational household,Tenant,Yes,0.65311,36,36,0.49542,0.81080
2020,Other Combinations,Owner,Yes,0.61860,63,94,0.51988,0.71732
2020,Other Combinations,Owner,No,0.38124,31,94,0.28253,0.47995
2020,Other Combinations,Tenant,Yes,0.53029,92,193,0.45969,0.60089
2020,Other Combinations,Tenant,No,0.36230,101,193,0.29431,0.43029
2021,Single-person household,Owner,Yes,0.59969,527,793,0.56556,0.63381
2021,Single-person household,Owner,No,0.33473,266,793,0.30186,0.36759
2021,Single-person household,Tenant,Yes,0.48237,1127,1960,0.46024,0.50449
2021,Single-person household,Tenant,No,0.36634,833,1960,0.34500,0.38767
2021,Couple without children,Owner,Yes,0.67045,1323,1771,0.64855,0.69235
2021,Couple without children,Owner,No,0.25742,448,1771,0.23705,0.27779
2021,Couple without children,Tenant,Yes,0.53955,818,1330,0.51276,0.56635
2021,Couple without children,Tenant,No,0.34666,512,1330,0.32107,0.37224
2021,Single parent,Owner,Yes,0.64365,174,232,0.58189,0.70541
2021,Single parent,Owner,No,0.27267,58,232,0.21524,0.33010
2021,Single parent,Tenant,Yes,0.42642,328,589,0.38644,0.46639
2021,Single parent,Tenant,No,0.45212,261,589,0.41189,0.49235
2021,Couple with children,Owner,Yes,0.72953,1385,1707,0.70846,0.75061
2021,Couple with children,Owner,No,0.16088,322,1707,0.14344,0.17831
2021,Couple with children,Tenant,Yes,0.51204,658,1148,0.48311,0.54097
