year,hhtyp,regtyp,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,Urban regions,Yes,0.44690,1096,2377,0.42690,0.46689
2015,Single-person household,Urban regions,No,0.52419,1281,2377,0.50411,0.54427
2015,Single-person household,Rural regions,Yes,0.48250,574,1128,0.45333,0.51168
2015,Single-person household,Rural regions,No,0.47827,554,1128,0.44911,0.50744
2015,Couple without children,Urban regions,Yes,0.57248,1559,2699,0.55381,0.59114
2015,Couple without children,Urban regions,No,0.39970,1140,2699,0.38122,0.41819
2015,Couple without children,Rural regions,Yes,0.60314,967,1567,0.57891,0.62738
2015,Couple without children,Rural regions,No,0.37434,600,1567,0.35037,0.39831
2015,Single parent,Urban regions,Yes,0.43249,518,1072,0.40282,0.46216
2015,Single parent,Urban regions,No,0.52092,554,1072,0.49100,0.55084
2015,Single parent,Rural regions,Yes,0.50475,310,576,0.46389,0.54562
2015,Single parent,Rural regions,No,0.47934,266,576,0.43851,0.52017
2015,Couple with children,Urban regions,Yes,0.57828,2105,3664,0.56229,0.59428
2015,Couple with children,Urban regions,No,0.40005,1559,3664,0.38419,0.41592
2015,Couple with children,Rural regions,Yes,0.64037,1196,1873,0.61863,0.66211
2015,Couple with children,Rural regions,No,0.32729,677,1873,0.30603,0.34854
2015,Multi-generational household,Urban regions,Yes,0.38527,31,80,0.27796,0.49259
2015,Multi-generational household,Urban regions,No,0.60971,49,80,0.50214,0.71728
2015,Other Combinations,Urban regions,Yes,0.48117,83,179,0.40777,0.55457
2015,Other Combinations,Urban regions,No,0.49088,96,179,0.41744,0.56432
2015,Other Combinations,Rural regions,No,0.58863,34,34,0.42073,0.75652
2016,Single-person household,Urban regions,Yes,0.50456,1170,2282,0.48405,0.52508
2016,Single-person household,Urban regions,No,0.47636,1112,2282,0.45586,0.49686
2016,Single-person household,Rural regions,Yes,0.53635,609,1062,0.50634,0.56635
2016,Single-person household,Rural regions,No,0.44640,453,1062,0.41648,0.47631
2016,Couple without children,Urban regions,Yes,0.65554,1655,2546,0.63708,0.67401
2016,Couple without children,Urban regions,No,0.33459,891,2546,0.31626,0.35292
2016,Couple without children,Rural regions,Yes,0.67428,1021,1524,0.65074,0.69782
2016,Couple without children,Rural regions,No,0.32343,503,1524,0.29994,0.34693
2016,Single parent,Urban regions,Yes,0.48038,514,980,0.44908,0.51167
2016,Single parent,Urban regions,No,0.50476,466,980,0.47344,0.53608
2016,Single parent,Rural regions,Yes,0.49609,279,526,0.45332,0.53886
2016,Single parent,Rural regions,No,0.47116,247,526,0.42846,0.51386
2016,Couple with children,Urban regions,Yes,0.61395,2032,3280,0.59728,0.63061
2016,Couple with children,Urban regions,No,0.37363,1248,3280,0.35707,0.39019
2016,Couple with children,Rural regions,Yes,0.69937,1133,1687,0.67748,0.72126
2016,Couple with children,Rural regions,No,0.28596,554,1687,0.26439,0.30753
2016,Multi-generational household,Urban regions,Yes,0.59448,36,36,0.43182,0.75715
2016,Other Combinations,Urban regions,Yes,0.48575,64,136,0.40144,0.57007
2016,Other Combinations,Urban regions,No,0.47768,72,136,0.39342,0.56194
2016,Other Combinations,Rural regions,Yes,0.42728,32,32,0.25314,0.60142
2017,Single-person household,Urban regions,Yes,0.54260,1415,2551,0.52327,0.56194
2017,Single-person household,Urban regions,No,0.43584,1136,2551,0.41659,0.45508
2017,Single-person household,Rural regions,Yes,0.54535,701,1228,0.51749,0.57321
2017,Single-person household,Rural regions,No,0.43973,527,1228,0.41196,0.46751
2017,Couple without children,Urban regions,Yes,0.64447,1891,2873,0.62697,0.66198
2017,Couple without children,Urban regions,No,0.34881,982,2873,0.33138,0.36624
2017,Couple without children,Rural regions,Yes,0.68339,1147,1716,0.66138,0.70541
2017,Couple without children,Rural regions,No,0.31466,569,1716,0.29268,0.33664
2017,Single parent,Urban regions,Yes,0.49781,543,983,0.46654,0.52908
2017,Single parent,Urban regions,No,0.47698,440,983,0.44574,0.50822
2017,Single parent,Rural regions,Yes,0.53515,318,544,0.49320,0.57710
2017,Single parent,Rural regions,No,0.45292,226,544,0.41105,0.49479
2017,Couple with children,Urban regions,Yes,0.66157,2361,3494,0.64587,0.67726
2017,Couple with children,Urban regions,No,0.32158,1133,3494,0.30609,0.33707
2017,Couple with children,Rural regions,Yes,0.69951,1240,1802,0.67834,0.72069
2017,Couple with children,Rural regions,No,0.28092,562,1802,0.26016,0.30167
2017,Multi-generational household,Urban regions,Yes,0.43529,34,69,0.31745,0.55314
2017,Multi-generational household,Urban regions,No,0.54890,35,69,0.43063,0.66718
2017,Other Combinations,Urban regions,Yes,0.51796,99,181,0.44496,0.59096
2017,Other Combinations,Urban regions,No,0.42940,82,181,0.35709,0.50171
2017,Other Combinations,Rural regions,Yes,0.46123,46,46,0.31558,0.60688
2018,Single-person household,Urban regions,Yes,0.57062,1572,2721,0.55202,0.58923
2018,Single-person household,Urban regions,No,0.41208,1149,2721,0.39358,0.43057
2018,Single-person household,Rural regions,Yes,0.58252,751,1257,0.55524,0.60979
2018,Single-person household,Rural regions,No,0.40785,506,1257,0.38067,0.43503
2018,Couple without children,Urban regions,Yes,0.67356,1925,2843,0.65632,0.69080
2018,Couple without children,Urban regions,No,0.31948,918,2843,0.30234,0.33662
2018,Couple without children,Rural regions,Yes,0.69098,1150,1675,0.66884,0.71312
2018,Couple without children,Rural regions,No,0.30181,525,1675,0.27982,0.32380
2018,Single parent,Urban regions,Yes,0.54463,560,993,0.51364,0.57562
2018,Single parent,Urban regions,No,0.42909,433,993,0.39829,0.45989
2018,Single parent,Rural regions,Yes,0.54871,288,502,0.50514,0.59229
2018,Single parent,Rural regions,No,0.43708,214,502,0.39365,0.48052
2018,Couple with children,Urban regions,Yes,0.67900,2234,3281,0.66302,0.69498
2018,Couple with children,Urban regions,No,0.30329,1047,3281,0.28756,0.31903
2018,Couple with children,Rural regions,Yes,0.68641,1169,1716,0.66445,0.70836
