year,regtyp,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,Yes,0.51016,5392,10071,0.50039,0.51992
2015,Urban regions,No,0.46188,4679,10071,0.45214,0.47162
2015,Rural regions,Yes,0.55498,3106,5264,0.54155,0.56840
2015,Rural regions,No,0.41343,2158,5264,0.40013,0.42674
2016,Urban regions,Yes,0.57021,5471,9288,0.56015,0.58028
2016,Urban regions,No,0.41483,3817,9288,0.40481,0.42485
2016,Rural regions,Yes,0.61264,3096,4900,0.59900,0.62628
2016,Rural regions,No,0.37425,1804,4900,0.36070,0.38780
2017,Urban regions,Yes,0.59400,6343,10151,0.58445,0.60355
2017,Urban regions,No,0.38903,3808,10151,0.37955,0.39852
2017,Rural regions,Yes,0.61904,3471,5409,0.60610,0.63198
2017,Rural regions,No,0.36907,1938,5409,0.35621,0.38193
2018,Urban regions,Yes,0.62154,6425,10074,0.61207,0.63101
2018,Urban regions,No,0.36277,3649,10074,0.35339,0.37216
2018,Rural regions,Yes,0.63648,3416,5255,0.62347,0.64949
2018,Rural regions,No,0.35291,1839,5255,0.33999,0.36584
2019,Urban regions,Yes,0.56915,5305,8184,0.55842,0.57988
2019,Urban regions,No,0.33171,2879,8184,0.32151,0.34192
2019,Rural regions,Yes,0.58369,2867,4365,0.56906,0.59831
2019,Rural regions,No,0.32593,1498,4365,0.31203,0.33984
2020,Urban regions,Yes,0.63799,6816,10818,0.62893,0.64704
2020,Urban regions,No,0.34191,4002,10818,0.33297,0.35085
2020,Rural regions,Yes,0.64673,3513,5232,0.63377,0.65968
2020,Rural regions,No,0.33746,1719,5232,0.32464,0.35027
2021,Urban regions,Yes,0.56248,4282,6541,0.55046,0.57451
2021,Urban regions,No,0.30939,2259,6541,0.29819,0.32059
2021,Rural regions,Yes,0.59133,2254,3310,0.57458,0.60808
2021,Rural regions,No,0.31147,1056,3310,0.29569,0.32725
2022,Urban regions,Yes,0.61172,8217,12705,0.60325,0.62020
2022,Urban regions,No,0.35305,4488,12705,0.34474,0.36137
2022,Rural regions,Yes,0.65840,4170,5950,0.64635,0.67045
2022,Rural regions,No,0.31922,1780,5950,0.30737,0.33107
